BreedName,AltBreedName,LapCat,Fur,MaleWtKg,Temperment,AvgKittenPrice,MalaysiaPopularity,PopularityUS2017,,,,
Abyssinian,,Lap,Short,4,"Active, Energetic, Independent, Intelligent, Gentle",1050,,7,,,Average Kitten Price,
American Curl,,Lap,Medium,4,"Affectionate, Curious, Intelligent, Interactive, Lively, Playful, Social",1400,,26,,,Mean,860.6060606
American Shorthair,,Lap,Short,6,"Active, Curious, Easygoing, Playful, Calm",900,5,6,,,Median,875
American Wirehair,,Lap,Medium,6,"Affectionate, Curious, Gentle, Intelligent, Interactive, Lively, Loyal, Playful, Sensible, Social",1000,,41,,,Mode,100
Applehead Siamese,,Lap,Short,6,"Active, Agile, Clever, Sociable, Loving, Energetic",1600,,,,,Min,100
Balinese,,Non Lap,Long,4,"Affectionate, Intelligent, Playful",1300,,31,,,Max,2000
Bengal,,Non Lap,Medium,6,"Active, Agile, Lively, Affectionate, Energetic, Rambunctious",1250,8,,,,Range,1900
Birman,,Lap,Long,5,"Affectionate, Active, Gentle, Social",850,,15,,,Quartile 1,500
Bobtail,,Lap,Medium,6,"Intelligent, Interactive, Lively, Playful, Sensitive",800,,36,,,Quartile 3,1237.5
Bombay,,Lap,Short,4,"Affectionate, Dependent, Gentle, Intelligent, Playful",500,,34,,,Inter-Quartile Range,737.5
British Shorthair,,Lap,Short,7,"Affectionate, Easygoing, Gentle, Loyal, Patient, Calm",1750,6,5,,,Variance,240039.627
Burmese,,Lap,Short,5,"Curious, Intelligent, Gentle, Social, Interactive, Playful, Lively",1250,4,16,,,Standard Deviation,489.9383911
Burmilla,,Lap,Long,5,"Easygoing, Friendly, Intelligent, Lively, Playful, Social",600,,38,,,,
Calico,,Generic,Short,6,"Active, Curious, Easygoing, Playful, Calm",100,,,,,,
Canadian Hairless,,Lap,Bald,5,"Loyal, Inquisitive, Friendly, Quiet, Gentle",1450,,8,,,,
Chartreux,,Lap,Short,6,"Affectionate, Loyal, Intelligent, Social, Lively, Playful",1250,,27,,,,
Chausie,,Non Lap,Short,5,"Affectionate, Intelligent, Playful, Social",1500,,,,,,
Chinchilla,,Rodent,Short,1,"Active, Playful",200,,,,,,
Cornish Rex,,Lap,Short,3,"Affectionate, Intelligent, Active, Curious, Playful",1000,,11,,,,
Cymric,,Lap,Long,5,"Gentle, Loyal, Intelligent, Playful",400,,,,,,
Devon Rex,,Lap,Short,3,"Intelligent, Active, Mischevious, Playful",800,,12,,,,
Dilute Calico,,Generic,Short,6,"Active, Curious, Easygoing, Playful, Calm",100,,,,,,
Dilute Tortoiseshell,,Generic,Short,6,"Active, Curious, Easygoing, Playful, Calm",100,,,,,,
Domestic Long Hair,,Generic,Long,6,"Active, Curious, Easygoing, Playful, Calm",100,,,,,,
