Play,Noun_Frequencies,,,,
1,534,,,,
1,173,,,,
1,66,,,,1 = Julius Caesar
1,52,,,,2 = As You Like It
1,37,,,,
1,22,,,,
1,18,,,,
1,6,,,,
1,6,,,,
1,4,,,,
1,6,,,,
1,3,,,,
1,4,,,,
1,7,,,,
1,2,,,,
1,4,,,,
1,1,,,,
1,2,,,,
1,1,,,,
1,2,,,,
1,1,,,,
1,2,,,,
1,2,,,,
1,2,,,,
1,2,,,,
1,1,,,,
1,2,,,,
1,1,,,,
1,1,,,,
1,1,,,,
2,729,,,,
2,214,,,,
2,100,,,,
2,46,,,,
2,27,,,,
2,25,,,,
2,17,,,,
2,13,,,,
2,4,,,,
2,3,,,,
2,14,,,,
2,7,,,,
2,4,,,,
2,4,,,,
2,1,,,,
2,2,,,,
2,4,,,,
2,2,,,,
2,2,,,,
2,1,,,,
2,1,,,,
2,2,,,,
2,2,,,,
2,1,,,,
2,1,,,,
2,1,,,,
2,2,,,,
2,1,,,,
2,1,,,,
2,1,,,,
2,1,,,,
2,1,,,,
2,1,,,,
2,2,,,,
2,1,,,,
2,1,,,,
2,1,,,,
2,1,,,,
