"","nmr1"
"1",-12.062
"2",-10.864
"3",-7.9715
"4",-8.3772
"5",-10.935
"6",-10.49
"7",-11.049
"8",-12.93
"9",-10.837
"10",-6.9829
"11",-8.1689
"12",-10.804
"13",-11.805
"14",-7.8263
"15",-9.9994
"16",-10.88
"17",-9.5402
"18",-9.7051
"19",-8.7593
"20",-13.125
"21",-9.2382
"22",-10.001
"23",-9.3823
"24",-8.7776
"25",-11.174
"26",-8.4517
"27",-9.614
"28",-10.174
"29",-6.7174
"30",-9.0153
"31",-9.3792
"32",-10.373
"33",-8.5752
"34",-8.79
"35",-8.7458
"36",-10.582
"37",-7.4934
"38",-9.6006
"39",-7.7365
"40",-7.6421
"41",-8.5932
"42",-7.4104
"43",-8.8122
"44",-8.4936
"45",-9.7159
"46",-11.246
"47",-7.5915
"48",-10.118
"49",-12.607
"50",-10.752
"51",-8.3361
"52",-8.9785
"53",-8.8589
"54",-10.147
"55",-9.2765
"56",-10.495
"57",-9.5853
"58",-9.4049
"59",-9.8626
"60",-8.7148
"61",-7.5198
"62",-6.0606
"63",-10.389
"64",-8.7539
"65",-12.216
"66",-9.809
"67",-10.599
"68",-8.5074
"69",-7.5574
"70",-10.098
"71",-7.2985
"72",-9.6286
"73",-10.608
"74",-11.458
"75",-10.426
"76",-11.948
"77",-9.3271
"78",-6.8975
"79",-7.6476
"80",-9.4375
"81",-7.2754
"82",-6.8671
"83",-4.7009
"84",-7.0371
"85",-9.9309
"86",-9.6901
"87",-7.5816
"88",-8.5638
"89",-10.253
"90",-9.3194
"91",-6.5723
"92",-10.622
"93",-11.826
"94",-6.3332
"95",-8.3984
"96",-8.1433
"97",-8.2931
"98",-7.5197
"99",-9.9487
"100",-8.6454
"101",-11.448
"102",-8.1211
"103",-8.6595
"104",-8.3879
"105",-11.838
"106",-11.417
"107",-11.726
"108",-8.2871
"109",-10.354
"110",-6.9207
"111",-8.8245
"112",-7.9446
"113",-7.4166
"114",-10.991
"115",-9.1129
"116",-6.5881
"117",-6.8467
"118",-10.123
"119",-5.6526
"120",-9.9591
"121",-10.067
"122",-12.685
"123",-9.25
"124",-7.8781
"125",-9.1433
"126",-5.7921
"127",-8.7656
"128",-3.6136
"129",-5.7074
"130",-8.8209
"131",-8.3387
"132",-10.417
"133",-10.82
"134",-7.9487
"135",-9.2877
"136",-8.145
"137",-10.492
"138",-9.5934
"139",-9.5854
"140",-11.736
"141",-10.438
"142",-8.4115
"143",-6.8178
"144",-8.8079
"145",-10.48
"146",-9.0253
"147",-9.407
"148",-9.801
"149",-9.5073
"150",-9.054
"151",-9.2657
"152",-10.106
"153",-8.6938
"154",-8.6672
"155",-9.745
"156",-10.302
"157",-6.2837
"158",-8.0522
"159",-5.6632
"160",-5.8915
"161",-5.0932
"162",-7.9072
"163",-6.1162
"164",-2.6195
"165",-3.3176
"166",-4.524
"167",-6.5561
"168",-3.3031
"169",-6.8694
"170",-3.8819
"171",-4.4938
"172",-8.253
"173",-4.9462
"174",-2.5295
"175",-2.7917
"176",-3.096
"177",-3.9763
"178",-5.9932
"179",-5.8407
"180",-5.0372
"181",-5.9978
"182",-2.9959
"183",-6.0812
"184",-5.761
"185",-5.0137
"186",-6.6328
"187",-8.6321
"188",-5.3688
"189",-7.7451
"190",-10.187
"191",-6.87
"192",-3.4662
"193",-0.63229
"194",-7.798
"195",-6.2018
"196",-9.1945
"197",-6.4976
"198",-7.4734
"199",-7.0334
"200",-4.1631
"201",-3.8601
"202",-3.5648
"203",0.39856
"204",-4.491
"205",-0.54211
"206",-7.5559
"207",-10.016
"208",-6.9461
"209",-8.1226
"210",-8.1576
"211",-3.6158
"212",-6.0185
"213",-5.9772
"214",-3.6786
"215",-5.6518
"216",-9.4073
"217",-6.837
"218",-7.3101
"219",-2.2266
"220",-4.0187
"221",-4.6799
"222",-5.3308
"223",-7.6675
"224",-2.0291
"225",-5.8341
"226",-6.4929
"227",-11.455
"228",-8.7262
"229",-8.0257
"230",-6.2927
"231",-9.408
"232",-7.338
"233",-9.2222
"234",-7.7313
"235",-5.3904
"236",-3.3485
"237",-5.2615
"238",-7.5334
"239",-3.2319
"240",-4.0069
"241",-5.8743
"242",-3.9075
"243",-6.7397
"244",-6.0433
"245",-6.9694
"246",-5.7229
"247",-4.2603
"248",-5.7809
"249",-4.2897
"250",-1.7674
"251",-6.3545
"252",-6.7137
"253",-8.8489
"254",-6.2172
"255",-3.5833
"256",-3.0948
"257",-8.6415
"258",-4.7244
"259",-7.0197
"260",-8.6662
"261",-5.7568
"262",-4.4398
"263",-6.4364
"264",-7.5759
"265",-5.646
"266",-3.4269
"267",-6.5617
"268",-6.7908
"269",-6.5825
"270",-6.8506
"271",-1.9248
"272",-1.9016
"273",-4.7641
"274",-5.1863
"275",-2.5205
"276",-3.6443
"277",-6.5392
"278",-2.3182
"279",-5.0194
"280",-2.7071
"281",1.272
"282",-3.3858
"283",-3.8687
"284",-5.9493
"285",-6.3156
"286",-4.4553
"287",-4.6804
"288",-7.5994
"289",-4.67
"290",-4.9135
"291",-7.0483
"292",-7.9099
"293",-3.951
"294",-5.0536
"295",-4.8994
"296",-0.78455
"297",-3.8157
"298",-3.1277
"299",-5.1197
"300",-5.1309
"301",0.055111
"302",-2.0544
"303",-1.0038
"304",0.38468
"305",-1.8511
"306",-3.1005
"307",-3.4492
"308",-2.6585
"309",-1.7807
"310",-1.3126
"311",-5.3507
"312",-5.8549
"313",-5.5091
"314",1.868
"315",-2.6425
"316",0.12305
"317",-2.8841
"318",-2.1888
"319",-1.1167
"320",-1.8652
"321",-2.7214
"322",-5.0793
"323",-3.9292
"324",-4.0445
"325",-3.5152
"326",-1.0787
"327",-3.6329
"328",-4.5209
"329",-3.9277
"330",-4.6736
"331",-2.8172
"332",-0.88008
"333",-1.32
"334",-1.659
"335",-4.08
"336",-5.2636
"337",-4.9723
"338",-2.7285
"339",-4.9983
"340",-5.5633
"341",-6.6224
"342",-3.834
"343",-2.8147
"344",-3.1966
"345",-3.4313
"346",-6.2572
"347",-7.1827
"348",-4.1093
"349",-2.012
"350",-1.2078
"351",-1.2589
"352",-0.6961
"353",-5.0536
"354",-3.5226
"355",-4.8204
"356",-1.6915
"357",-6.0731
"358",-1.7591
"359",2.3661
"360",4.6636
"361",4.142
"362",2.5737
"363",4.5002
"364",5.401
"365",2.8131
"366",7.6174
"367",8.91
"368",10.401
"369",10.722
"370",11.077
"371",13.835
"372",17.169
"373",10.994
"374",9.5328
"375",10.597
"376",12.84
"377",13.591
"378",14.421
"379",12.241
"380",11.198
"381",14.378
"382",11.035
"383",5.5751
"384",6.9816
"385",8.2851
"386",4.1687
"387",9.3775
"388",6.5777
"389",4.7014
"390",6.5997
"391",11.44
"392",11.505
"393",10.09
"394",12.339
"395",11.349
"396",11.078
"397",14.333
"398",13.965
"399",15.581
"400",19.394
"401",21.873
"402",21.055
"403",13.268
"404",11.517
"405",12.669
"406",12.386
"407",14.312
"408",11.968
"409",14.024
"410",13.895
"411",8.2937
"412",9.9811
"413",10.996
"414",11.203
"415",11.848
"416",13.626
"417",10.604
"418",13.28
"419",14.359
"420",13.649
"421",17.892
"422",19.115
"423",19.35
"424",18.703
"425",16.224
"426",15.593
"427",17.372
"428",20.017
"429",23.373
"430",25.647
"431",21.88
"432",24.423
"433",24.032
"434",26.143
"435",31.132
"436",31.386
"437",26.222
"438",30.227
"439",27.121
"440",27.766
"441",27.102
"442",25.577
"443",28.083
"444",24.774
"445",26.793
"446",29.335
"447",26.756
"448",24.293
"449",27.114
"450",23.63
"451",24.311
"452",24.117
"453",21.432
"454",22.42
"455",21.73
"456",24.971
"457",23.832
"458",22.169
"459",16.871
"460",21.651
"461",18.465
"462",20.206
"463",19.033
"464",21.376
"465",16.593
"466",17.799
"467",21.558
"468",19.456
"469",16.55
"470",16.386
"471",15.653
"472",15.343
"473",17.552
"474",14.956
"475",16.431
"476",14.784
"477",13.533
"478",12.023
"479",14.833
"480",15.801
"481",18.386
"482",22.381
"483",29.255
"484",30.283
"485",35.56
"486",46.105
"487",58.02
"488",52.606
"489",35.382
"490",26.121
"491",22.407
"492",19.33
"493",19.599
"494",22.09
"495",20.679
"496",21.134
"497",18.374
"498",20.058
"499",16.369
"500",11.51
"501",12.529
"502",15.514
"503",13.803
"504",13.567
"505",11.681
"506",16.552
"507",16.076
"508",16.898
"509",12.129
"510",11.34
"511",15.861
"512",14.328
"513",12.626
"514",12.308
"515",12.161
"516",10.482
"517",8.4978
"518",16.275
"519",11.92
"520",11.878
"521",13.612
"522",13.807
"523",15.225
"524",10.944
"525",19.735
"526",18.436
"527",20.536
"528",21.96
"529",24.343
"530",24.966
"531",21.654
"532",22.58
"533",24.846
"534",26.632
"535",24.105
"536",26.807
"537",24.867
"538",20.621
"539",20.557
"540",18.061
"541",17.937
"542",16.545
"543",13.773
"544",15.778
"545",11.082
"546",8.4759
"547",11.75
"548",15.131
"549",11.514
"550",12.53
"551",11.03
"552",14.179
"553",14.271
"554",10.272
"555",8.1166
"556",10.423
"557",13.053
"558",10.266
"559",9.9994
"560",14.109
"561",12.379
"562",13.565
"563",10.318
"564",6.0743
"565",8.5503
"566",9.7876
"567",10.79
"568",2.9192
"569",6.3764
"570",7.217
"571",7.5917
"572",6.9315
"573",9.0882
"574",7.3948
"575",5.8492
"576",8.0914
"577",8.2355
"578",7.0431
"579",10.858
"580",10.168
"581",6.4982
"582",8.3575
"583",8.1308
"584",9.9135
"585",5.4813
"586",7.8813
"587",8.605
"588",9.6362
"589",10.818
"590",8.0786
"591",5.0663
"592",7.9407
"593",4.7241
"594",8.5473
"595",7.2817
"596",9.5859
"597",6.3083
"598",9.2108
"599",3.5124
"600",4.7019
"601",8.6996
"602",7.4175
"603",6.3397
"604",8.3826
"605",7.5327
"606",10.318
"607",8.412
"608",8.5481
"609",9.2672
"610",9.8352
"611",10.544
"612",12.075
"613",10.525
"614",13.76
"615",14.338
"616",18.476
"617",19.296
"618",21.944
"619",19.549
"620",21.25
"621",18.393
"622",19.941
"623",20.749
"624",19.826
"625",17.951
"626",14.897
"627",19.644
"628",21.856
"629",16.854
"630",12.056
"631",14.234
"632",10.225
"633",12.631
"634",12.214
"635",11.014
"636",8.832
"637",8.4728
"638",9.9506
"639",8.1504
"640",5.867
"641",6.7725
"642",3.0112
"643",4.1089
"644",5.9493
"645",4.75
"646",4.7191
"647",3.7946
"648",6.163
"649",3.8709
"650",3.4714
"651",3.5394
"652",6.3053
"653",4.1265
"654",3.3076
"655",4.4936
"656",6.4734
"657",6.0496
"658",2.114
"659",1.7137
"660",10.669
"661",6.1965
"662",4.4605
"663",1.4655
"664",2.619
"665",5.9912
"666",0.45372
"667",4.6809
"668",6.1873
"669",4.6042
"670",4.341
"671",3.506
"672",1.9532
"673",2.3022
"674",3.3203
"675",4.8399
"676",5.1061
"677",-2.2749
"678",5.2009
"679",0.56478
"680",0.090042
"681",-1.7182
"682",-2.6079
"683",2.8306
"684",0.79951
"685",2.6109
"686",3.9832
"687",-0.15386
"688",-0.55704
"689",1.3843
"690",-2.4296
"691",-1.0328
"692",-1.7597
"693",2.0503
"694",2.5306
"695",-1.0597
"696",1.1517
"697",1.152
"698",-1.4775
"699",0.16024
"700",0.90825
"701",1.1353
"702",2.7274
"703",-1.5458
"704",-0.42097
"705",-2.4284
"706",-0.26205
"707",1.1229
"708",-3.5147
"709",-3.8749
"710",-4.124
"711",-2.9882
"712",1.2134
"713",0.52864
"714",-1.1506
"715",-0.20109
"716",-2.0411
"717",-1.2963
"718",1.8338
"719",-1.0615
"720",0.93975
"721",0.61139
"722",0.093731
"723",-2.4049
"724",-1.1815
"725",-1.3348
"726",-0.45649
"727",-1.9241
"728",-5.1715
"729",0.077708
"730",-3.6411
"731",-2.8253
"732",0.26113
"733",-0.24167
"734",-0.014011
"735",-0.24491
"736",0.59869
"737",-1.4982
"738",-1.9584
"739",-0.63306
"740",-1.3047
"741",-1.6008
"742",-0.39612
"743",0.053928
"744",0.11123
"745",0.82131
"746",-1.1715
"747",-3.1282
"748",-1.3077
"749",3.1392
"750",-0.57835
