Team,FieldGoalsMade,Attempts,FGpercentage,1to19YdA,1to19YdM,20to29YdA,20to29YdM,30to39YdA,30to39YdM,40to49YdA,40to49YdM,50PlusYdA,50PlusYdM,LongestFG,FGsBlocked
49ers,22,26,84.6,0,0,3,3,8,7,11,10,4,2,52,0
Bears,30,32,93.8,0,0,9,9,10,10,10,9,3,2,55,0
Bengals,27,34,79.4,0,0,3,3,15,13,10,8,6,3,55,0
Bills,28,34,82.4,1,1,9,9,9,6,9,8,6,4,58,0
Broncos,28,35,80,0,0,6,6,5,4,8,8,16,10,58,2
Browns,19,24,79.2,0,0,5,5,6,4,12,10,1,0,46,1
Buccaneers,28,31,90,1,1,10,10,9,9,9,7,2,1,50,1
Cardinals,23,30,76.7,0,0,5,5,7,6,15,10,3,2,56,1
Chargers,24,33,72.7,0,0,8,8,6,6,13,8,6,2,53,1
Chiefs,25,27,92.6,2,2,7,7,9,9,5,3,4,4,58,0
Colts,32,37,86.5,0,0,10,10,13,12,11,9,3,1,53,0
Cowboys,34,41,82.9,1,1,5,5,13,13,13,12,9,3,59,0
Dolphins,36,39,92.3,1,1,8,8,7,7,14,12,9,8,56,0
Eagles,14,19,73.7,0,0,3,1,6,6,5,5,5,2,54,0
Falcons,38,40,95,0,0,11,11,12,11,9,8,8,8,54,0
Football Team,27,34,79.4,0,0,5,5,8,7,17,13,4,2,51,0
Giants,31,32,96.9,0,0,4,4,13,13,9,9,6,5,55,0
Jaguars ,18,25,72,0,0,5,4,7,6,4,2,9,6,59,1
Jets,21,28,75,0,0,7,6,10,9,6,3,5,3,55,2
Lions,21,28,75,0,0,4,4,7,7,7,4,10,6,59,0
Packers,16,16,100,1,1,1,1,5,5,5,5,4,4,57,0
Panthers,29,36,80.6,0,0,12,11,10,10,8,7,6,1,56,1
Patriots,26,28,92.9,0,0,6,6,7,7,12,11,3,2,51,0
Raiders,33,35,94.3,0,0,18,18,8,8,5,3,4,4,54,0
Rams,24,30,80,0,0,7,6,11,10,10,7,2,1,51,1
Ravens,26,29,89.7,0,0,8,8,7,6,9,9,5,3,55,0
Saints,23,28,82.1,0,0,6,5,10,10,9,7,3,1,53,0
Seahawks,24,24,100,0,0,2,2,7,7,13,13,2,2,61,0
Steelers,23,24,95.8,0,0,6,6,7,7,10,9,1,1,59,0
Texans,27,31,87.1,0,0,8,8,9,9,8,6,6,4,54,0
Titans,20,28,71.4,0,0,3,2,6,5,11,6,8,7,55,2
Vikings,15,22,68.2,0,0,6,6,4,3,7,4,5,2,53,0
