"Integers","Random_numbers","Categorical_data","NewColumn","newInts","newFloats"
1,0.84824356750838,"Group1",1.84824356750838,1,0.790669433306903
2,0.0938662652010348,"Group2",2.09386626520103,2,0.448590670479462
3,0.0154640906806264,"Group3",3.01546409068063,3,0.736107079079375
4,0.882115091259442,"Group1",4.88211509125944,4,0.349970725132152
5,0.448507757061626,"Group2",5.44850775706163,5,0.836060153087601
6,0.0471741593246222,"Group3",6.04717415932462,6,0.304041321156546
7,0.839614751855802,"Group1",7.8396147518558,7,0.39476272999309
8,0.503931419834839,"Group2",8.50393141983484,8,0.796428634785116
9,0.125371822744646,"Group3",9.12537182274465,9,0.758250525919721
10,0.768230765729953,"Group2",10.76823076573,10,0.576817836379632
