idx	nNN	NNindex	a	b	aNN	bNN	processID	NNprocessID
4654	0	4645	-6.57508092730644	-13.0118419806928	-6.69645486161244	-13.0605057012181	4	0
6248	0	6246	-0.154616993810625	0.0655231580971465	0.177093891022592	-0.0548871299676851	3	1
6797	0	6796	1.83420758297323	7.9798979642386	1.83803729622348	8.27142018253122	2	1
8531	0	8538	8.79780779303492	-1.26533905396459	8.78997664373908	-1.12556852507794	1	3
4410	0	4419	-7.55581394391623	-9.27264851260813	-7.51175894108986	-9.10675830271915	0	4
5452	0	5453	-3.26113618706554	-5.74332642275542	-3.28371926352685	-5.96076312382158	2	3
6693	0	6691	1.53230158973381	-13.016114387183	1.6610714359434	-13.1413856754233	3	1
7057	0	7061	2.86430442328192	9.57436891221637	2.9158706034298	9.79097213197794	2	1
3439	0	3437	-11.5223175989458	-1.00314426443024	-11.2663005221825	-0.837460540602125	4	2
11001	0	11002	18.9019906901149	-17.842308144503	18.9202558759341	-17.7562704835795	1	2
10368	0	10361	15.6435197865478	7.57214488481103	15.9694964847632	7.57219629870241	3	1
1395	0	1404	-19.7957422930527	-0.0544353236032379	-19.7017824365778	-0.164284449208705	0	4
2394	0	2385	-15.9008002781618	-5.9706621313931	-15.4863618076205	-6.03184645837951	4	0
10633	0	10625	16.5330028199365	9.9609053222344	16.5163627769659	9.89703478007575	3	0
6267	0	6515	-0.0055116172767804	3.90788934482108	0.201733923761399	3.81517041680904	2	0
3357	0	3356	-10.9159821566388	-16.8093257504106	-11.1739096815811	-16.6923180176467	2	1
3917	0	3918	-9.38786875660294	-6.71593907596239	-9.58965240790618	-6.88721609113272	2	3
9119	0	8861	9.99870816681911	13.2910266374587	10.0852993173953	13.1404909851	4	1
4945	0	4693	-5.69963455316975	-4.28405808491299	-6.14061450954067	-4.45030449125046	0	3
9052	0	9051	10.8295955117622	0.486284178509929	10.5173924791447	0.226674935092847	2	1
4482	0	4476	-7.4562116806595	3.8711174353793	-7.45150993244076	3.93195734015836	2	1
