when,url,tracker
before-nov-2016,http://wayback.archive.org/web/20161004072420id_/http://alertchild.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161004072420id_/http://alertchild.com/,RevContent
before-nov-2016,http://wayback.archive.org/web/20161004072420id_/http://alertchild.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161004072420id_/http://alertchild.com/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161004072420id_/http://alertchild.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161004072420id_/http://alertchild.com/,Kixer
before-nov-2016,http://wayback.archive.org/web/20161004072420id_/http://alertchild.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161001155200id_/http://areyousleep.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161001155200id_/http://areyousleep.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161001155200id_/http://areyousleep.com/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161001155200id_/http://areyousleep.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161001155200id_/http://areyousleep.com/,Kixer
before-nov-2016,http://wayback.archive.org/web/20161001155200id_/http://areyousleep.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161001172159id_/http://badcriminals.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161001172159id_/http://badcriminals.com/,RevContent
before-nov-2016,http://wayback.archive.org/web/20161001172159id_/http://badcriminals.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161001172159id_/http://badcriminals.com/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161001172159id_/http://badcriminals.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161001172159id_/http://badcriminals.com/,Kixer
before-nov-2016,http://wayback.archive.org/web/20161001172159id_/http://badcriminals.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161002101407id_/http://channel5000.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161002101407id_/http://channel5000.com/,RevContent
before-nov-2016,http://wayback.archive.org/web/20161002101407id_/http://channel5000.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161002101407id_/http://channel5000.com/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161002101407id_/http://channel5000.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161002101407id_/http://channel5000.com/,Kixer
before-nov-2016,http://wayback.archive.org/web/20161002101407id_/http://channel5000.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,Tapad
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,Admeta
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,Turn Inc.
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,Sonobi
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,BidSwitch
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,Adform
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,StickyAds
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,BrightRoll
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,Aggregate Knowledge
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,TradeDesk
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,i-Behavior
