id,type of flower,Days to grow,Work force,Cost to grow,Cost of force,Field m/s,Location,Phone of location
1,Stereocaulaceae,35,6,4.77,1.79,24,Kennedy,693-645-9738
2,Poaceae,36,4,4.27,1.97,30,Ilene,326-571-2442
3,Lamiaceae,25,4,4.47,1.19,38,Old Shore,241-773-9055
4,Thelypteridaceae,36,6,4.93,1.45,38,Grasskamp,386-517-8498
5,Asteraceae,32,3,4.46,1.84,34,Granby,948-910-2731
6,Cuscutaceae,45,4,4.37,1.09,23,Garrison,990-392-4536
7,Potamogetonaceae,25,3,4.41,1.47,20,Mayfield,707-672-8405
8,Pinaceae,29,4,4.28,1.77,26,Kropf,795-807-7390
9,Amblystegiaceae,38,4,4.28,1.24,29,Everett,192-135-2114
10,Solanaceae,44,2,4.96,1.46,33,Lotheville,473-888-2253
11,Poaceae,35,6,4.41,1.13,24,Loomis,105-406-8641
12,Apiaceae,39,2,4.63,1.20,24,Upham,854-178-6127
13,Isoetaceae,30,4,4.47,1.91,21,Shopko,340-515-8076
14,Ranunculaceae,37,7,4.09,1.50,31,Badeau,721-410-6072
15,Cyperaceae,29,7,4.39,1.79,23,Burrows,212-529-0753
16,Cladoniaceae,44,6,4.86,1.56,33,Scott,330-957-6615
17,Burseraceae,25,7,4.60,1.62,20,Buena Vista,318-319-0080
18,Campanulaceae,36,4,4.08,1.74,35,Lindbergh,932-818-3807
19,Dicranaceae,29,2,4.32,1.90,31,Rowland,475-511-3906
20,Poaceae,37,4,4.03,1.01,34,Bobwhite,550-165-8553
21,Fabaceae,41,7,4.76,1.86,22,Waywood,310-769-7350
22,Zingiberaceae,30,6,4.94,1.39,20,Kenwood,542-290-6820
23,Polemoniaceae,39,6,4.52,1.00,32,Crescent Oaks,841-714-3527
24,Ranunculaceae,36,4,4.47,1.09,34,Harper,229-760-6014
25,Juncaceae,26,6,4.17,1.86,33,Iowa,842-103-7508
26,Lamiaceae,39,5,4.18,1.41,20,3rd,395-605-5895
27,Marsileaceae,39,7,4.78,1.11,33,Eliot,119-228-5823
28,Caryophyllaceae,43,7,4.32,1.06,25,Messerschmidt,717-561-2085
29,Poaceae,41,6,4.06,1.12,33,Center,252-138-3771
30,Asteraceae,35,7,4.15,1.10,39,Eliot,180-178-4507
31,Brassicaceae,40,6,4.15,1.43,21,Melby,415-174-9603
32,Fabaceae,34,2,4.18,1.20,26,Moland,889-795-3447
33,Fabaceae,44,3,4.77,1.57,27,Ridgeway,906-423-2318
34,Asteraceae,31,3,4.63,1.86,36,Mariners Cove,551-240-9613
35,Chenopodiaceae,34,7,4.82,1.74,31,Lake View,743-781-6882
36,Cyrillaceae,42,3,4.36,1.96,20,Blaine,502-954-4733
37,Rosaceae,38,4,4.10,1.31,28,Forster,177-380-4998
38,Scrophulariaceae,43,3,4.32,1.58,26,Crowley,918-999-2382
39,Malvaceae,35,2,4.26,1.03,20,Toban,184-856-5320
40,Parmeliaceae,45,2,4.85,1.55,20,Rockefeller,584-586-0618
41,Hydrangeaceae,42,6,4.24,1.04,39,Magdeline,652-866-3607
42,Chenopodiaceae,25,3,4.27,1.04,28,Atwood,640-808-4573
43,Polemoniaceae,34,3,4.27,1.51,21,Graceland,197-896-0366
44,Apiaceae,38,6,4.68,1.05,30,Declaration,349-190-3728
45,Asteraceae,35,3,4.79,1.78,37,Nobel,530-302-0409
46,Chrysobalanaceae,25,7,4.93,1.59,35,Surrey,755-308-6835
47,Rutaceae,26,4,4.19,1.72,34,Linden,114-714-0996
48,Poaceae,39,2,4.11,1.96,34,Farmco,807-298-2937
49,Cactaceae,30,3,4.00,1.61,23,Hudson,536-220-9677
50,Asteraceae,28,2,4.09,1.19,33,John Wall,906-328-9705
51,Apiaceae,44,7,4.72,1.03,27,Montana,586-766-8132
52,Liliaceae,27,5,4.65,1.98,24,Prairie Rose,411-872-5458
53,Saxifragaceae,43,7,4.99,1.11,33,Alpine,908-932-0124
54,Ericaceae,26,4,4.57,1.57,39,Barnett,659-305-7407
55,Aspleniaceae,35,5,4.44,1.02,31,Mcguire,490-933-9349
56,Amblystegiaceae,28,7,4.48,1.00,34,Doe Crossing,717-316-2897
57,Campanulaceae,42,4,4.00,1.22,26,Oakridge,766-420-2113
58,Asteraceae,25,4,4.43,1.57,25,Blue Bill Park,610-333-4790
59,Cyperaceae,27,4,4.70,1.55,36,Grayhawk,251-636-5769
60,Fabaceae,33,7,4.73,1.36,36,Arizona,352-520-9685
61,Lamiaceae,34,4,4.54,1.85,29,Boyd,495-309-7028
62,Potamogetonaceae,42,2,4.46,1.07,38,Holy Cross,316-772-5394
63,Polygonaceae,36,7,4.67,1.90,31,Oak Valley,138-150-7983
64,Parmeliaceae,32,5,4.70,1.35,21,Quincy,869-281-9884
65,Onagraceae,34,5,4.35,1.79,28,Lakewood Gardens,697-684-5736
66,Rhamnaceae,28,4,4.33,1.45,22,Merrick,100-393-4192
67,Fabaceae,27,2,4.00,1.43,23,Bunker Hill,993-111-4897
68,Apiaceae,25,4,4.50,1.60,40,Prentice,573-671-2883
69,Fabaceae,27,3,4.37,1.99,38,Acker,557-351-0840
70,Agavaceae,29,7,4.46,1.05,34,Clyde Gallagher,556-319-3780
71,Sapindaceae,38,5,4.85,1.87,34,Algoma,164-433-2019
72,Apiaceae,33,7,4.70,1.67,25,Union,182-116-8267
73,Brassicaceae,35,5,4.59,1.67,24,Grayhawk,679-396-4880
74,Fabaceae,27,4,4.97,1.17,28,Darwin,695-705-8144
75,Aspleniaceae,30,5,4.03,1.55,27,Chive,350-442-2380
76,Micareaceae,29,4,4.48,1.71,27,Alpine,258-454-4011
77,Asteraceae,35,6,4.72,1.96,32,Delladonna,722-788-4125
78,Ericaceae,27,4,4.60,1.62,25,Maple Wood,120-778-2636
79,Betulaceae,33,7,4.79,1.84,34,Texas,203-505-1672
80,Asteraceae,42,3,4.85,1.11,34,Hazelcrest,930-590-5293
81,Pittosporaceae,42,3,4.85,1.48,34,Hermina,204-836-0548
82,Parmeliaceae,27,7,4.03,1.06,32,Mariners Cove,301-663-0613
83,Collemataceae,38,6,4.90,1.28,40,Cardinal,190-623-9891
84,Asteraceae,37,4,4.20,1.89,32,Pine View,342-253-1427
85,Ranunculaceae,32,3,4.40,1.65,36,Mandrake,136-788-7179
86,Asteraceae,26,7,4.53,1.62,20,Spaight,788-623-1054
87,Cyperaceae,37,4,4.15,1.15,36,Evergreen,318-724-9219
88,Polemoniaceae,34,4,4.09,1.05,34,Boyd,488-976-6827
89,Cyperaceae,39,2,4.27,1.22,26,Swallow,547-612-9599
90,Lamiaceae,26,2,4.52,1.34,22,Park Meadow,430-129-6742
91,Saxifragaceae,34,6,4.83,1.68,40,La Follette,658-184-5745
92,Cyperaceae,28,7,4.11,1.44,25,Nancy,168-928-5044
93,Lentibulariaceae,25,2,4.12,1.78,40,Morning,405-469-4467
94,Balsaminaceae,33,5,4.63,1.88,39,Londonderry,564-482-7086
95,Polemoniaceae,34,3,4.65,1.33,22,Logan,762-441-3585
96,Araceae,26,2,4.87,1.16,22,Gerald,991-110-4303
97,Rosaceae,35,4,4.28,1.79,36,Milwaukee,904-156-6355
98,Asteraceae,36,7,4.73,1.69,23,Waywood,698-957-9919
99,Hydrophyllaceae,26,2,4.28,1.39,31,Barby,808-442-4020
100,Verrucariaceae,32,6,4.62,1.16,36,Canary,256-782-1135
101,Poaceae,38,6,4.49,1.48,23,Westend,800-132-0191
102,Apiaceae,38,3,4.87,1.89,31,Granby,568-786-4253
103,Lamiaceae,31,2,4.27,1.50,34,Monterey,109-928-7740
104,Theaceae,30,6,4.76,1.60,28,Moland,275-599-5524
105,Ebenaceae,26,3,4.25,1.81,27,Melvin,315-732-8467
106,Poaceae,28,7,4.50,1.57,36,Anthes,269-627-3651
107,Fabaceae,31,6,4.20,1.43,27,Union,496-751-4711
108,Crassulaceae,42,7,4.07,1.71,25,Dawn,162-374-3480
109,Pteridaceae,41,7,4.51,1.85,39,Green Ridge,850-408-1629
110,Fabaceae,34,6,4.85,1.52,38,East,513-450-5970
111,Gentianaceae,40,6,4.92,1.21,33,Mayfield,702-960-9916
112,Polygonaceae,45,4,4.43,1.53,31,Michigan,538-270-4226
113,Clusiaceae,38,3,4.87,1.01,21,Lindbergh,836-221-9000
114,Fabaceae,39,3,4.22,1.19,39,Sullivan,201-853-2980
115,Orthotrichaceae,37,6,4.81,1.33,22,Lerdahl,395-911-6926
116,Nyctaginaceae,31,7,4.09,1.18,39,Laurel,930-711-3527
117,Liliaceae,29,5,4.70,1.48,21,Sundown,107-104-1846
118,Celastraceae,29,3,4.43,1.99,40,Lien,791-575-3695
119,Apiaceae,39,5,4.17,1.76,24,Menomonie,706-877-9522
120,Poaceae,31,6,4.74,1.53,26,Mockingbird,405-390-9131
121,Saxifragaceae,45,2,4.88,1.44,28,Moose,635-814-0086
122,Campanulaceae,30,6,4.07,1.83,27,Tony,222-867-6667
123,Verbenaceae,37,7,4.11,1.27,39,Johnson,440-418-5688
124,Cyperaceae,35,3,4.49,1.24,33,Meadow Ridge,670-444-1091
125,Cornaceae,40,4,4.83,1.66,25,Maywood,256-437-8700
