Collection/Population Locality,SpecimenNumber,Genus,Species,Length
12 Mile Creek,112916,Bison,antiquus,8
12 Mile Creek,112917,Bison,antiquus,7
12 Mile Creek,112918,Bison,antiquus,7
12 Mile Creek,112919,Bison,antiquus,8
12 Mile Creek,112921,Bison,antiquus,9
12 Mile Creek,112925,Bison,antiquus,9
Agate Basin-Agate Basin,458,Bison,antiquus,7
Agate Basin-Agate Basin,460,Bison,antiquus,8
Agate Basin-Agate Basin,465,Bison,antiquus,7
Agate Basin-Agate Basin,2606,Bison,antiquus,8
Agate Basin-Agate Basin,2770,Bison,antiquus,7
Agate Basin-Agate Basin,2785,Bison,antiquus,8
Agate Basin-Agate Basin,2789,Bison,antiquus,7
Agate Basin-Agate Basin,2790,Bison,antiquus,9
Agate Basin-Agate Basin,2791,Bison,antiquus,9
Agate Basin-Agate Basin,2794,Bison,antiquus,7
Agate Basin-Agate Basin,2908,Bison,antiquus,9
Agate Basin-Agate Basin,3110,Bison,antiquus,8
Agate Basin-Agate Basin,4051,Bison,antiquus,9
Agate Basin-Agate Basin,5538,Bison,antiquus,8
Agate Basin-Agate Basin,6240,Bison,antiquus,7
Agate Basin-Agate Basin,6346,Bison,antiquus,7
Agate Basin-Agate Basin,6554,Bison,antiquus,9
Agate Basin-Agate Basin,6810,Bison,antiquus,9
Agate Basin-Agate Basin,6833,Bison,antiquus,7
Agate Basin-Agate Basin,7921,Bison,antiquus,9
Agate Basin-Agate Basin,7924,Bison,antiquus,9
Agate Basin-Agate Basin,7927,Bison,antiquus,7
Agate Basin-Folsom,F1320,Bison,antiquus,7
Agate Basin-Folsom,F1738,Bison,antiquus,8
Agate Basin-Hell Gap,3458,Bison,antiquus,9
Agate Basin-Hell Gap,4049,Bison,antiquus,9
Agate Basin-Hell Gap,4050,Bison,antiquus,9
Agate Basin-Hell Gap,4399,Bison,antiquus,9
Agate Basin-Hell Gap,4402,Bison,antiquus,8
Baker Cave,104,Bison,bison,9
Baker Cave,123,Bison,bison,9
Baker Cave,232,Bison,bison,8
Baker Cave,245,Bison,bison,9
Baker Cave,400,Bison,bison,9
Baker Cave,500,Bison,bison,7
Baker Cave,799,Bison,bison,7
Baker Cave,806,Bison,bison,9
Baker Cave,2111,Bison,bison,7
Baker Cave,2112,Bison,bison,8
Baker Cave,2198,Bison,bison,7
Baker Cave,2199,Bison,bison,7
Baker Cave,3083,Bison,bison,9
Baker Cave,3085,Bison,bison,9
Baker Cave,3160,Bison,bison,7
Baker Cave,3259,Bison,bison,8
Baker Cave,3261,Bison,bison,7
Baker Cave,3367,Bison,bison,8
Baker Cave,3438,Bison,bison,7
Baker Cave,3531,Bison,bison,8
Baker Cave,3536,Bison,bison,7
Baker Cave,3958,Bison,bison,7
Baker Cave,3970,Bison,bison,7
Baker Cave,3975,Bison,bison,7
Baker Cave,3979,Bison,bison,7
Big Bone Lick,1949-62,Bison,bison,7
Big Bone Lick,1972-62,Bison,bison,9
Big Bone Lick,1978-62,Bison,bison,7
Big Bone Lick,1985-62,Bison,bison,9
Big Bone Lick,1993-62,Bison,bison,8
Big Bone Lick,3505-66,Bison,bison,8
Big Bone Lick,3547-66,Bison,bison,8
Big Bone Lick,3567-66,Bison,bison,7
Big Bone Lick,3589-66,Bison,bison,9
Big Bone Lick,3609-66,Bison,bison,8
Big Bone Lick,3641-66,Bison,bison,8
Big Bone Lick,4001-65,Bison,bison,9
Big Bone Lick,4133-65,Bison,bison,8
Big Bone Lick,4289-65,Bison,bison,7
Big Bone Lick,4308-65,Bison,bison,9
Big Bone Lick,4346-65,Bison,bison,7
Big Bone Lick,4349-65,Bison,bison,7
Big Bone Lick,4352-65,Bison,bison,7
Big Bone Lick,4468-63,Bison,bison,9
Big Bone Lick,4524-65,Bison,bison,7
Big Bone Lick,4550-63,Bison,bison,8
Big Bone Lick,4550-63,Bison,bison,8
Big Bone Lick,4565-63,Bison,bison,7
Big Bone Lick,4565-63,Bison,bison,8
Big Bone Lick,4575-65,Bison,bison,7
Big Bone Lick,511-62,Bison,bison,8
Big Bone Lick,537-62,Bison,bison,8
Big Bone Lick,569-62,Bison,bison,9
Big Goose,1,Bison,bison,8
Big Goose,2,Bison,bison,7
Big Goose,3,Bison,bison,7
Big Goose,4,Bison,bison,7
Big Goose,5,Bison,bison,8
Big Goose,6,Bison,bison,8
Big Goose,7,Bison,bison,8
Big Goose,8,Bison,bison,9
Big Goose,9,Bison,bison,9
Big Goose,10,Bison,bison,7
Big Goose,12,Bison,bison,8
Big Goose,14,Bison,bison,9
Big Goose,15,Bison,bison,9
Big Goose,16,Bison,bison,9
Big Goose,18,Bison,bison,9
Big Goose,19,Bison,bison,7
