Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Date,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,Processor_Graphics_,Graphics_Base_Frequency,Graphics_Max_Dynamic_Frequency,Graphics_Video_Max_Memory,Graphics_Output,Support_4k,Max_Resolution_HDMI,Max_Resolution_DP,Max_Resolution_eDP_Integrated_Flat_Panel,DirectX_Support,OpenGL_Support,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit
7th Generation Intel® Core™ i7 Processors,Mobile,i7-7Y75,Launched,Q3'16,14 nm,$393.00 ,2,4,1.30 GHz,3.60 GHz,4 MB SmartCache,4 GT/s OPI,4.5 W,No,Yes,16 GB,"LPDDR3-1866, DDR3L-1600",2,29.8 GB/s,No,,300 MHz,1.05 GHz,16 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",10,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
8th Generation Intel® Core™ i5 Processors,Mobile,i5-8250U,Launched,Q3'17,14 nm,$297.00 ,4,8,1.60 GHz,3.40 GHz,6 MB SmartCache,4 GT/s OPI,15 W,No,Yes,32 GB,"DDR4-2400, LPDDR3-2133",2,34.1 GB/s,No,,300 MHz,1.10 GHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",12,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
8th Generation Intel® Core™ i7 Processors,Mobile,i7-8550U,Launched,Q3'17,14 nm,$409.00 ,4,8,1.80 GHz,4.00 GHz,8 MB SmartCache,4 GT/s OPI,15 W,No,Yes,32 GB,"DDR4-2400, LPDDR3-2133",2,34.1 GB/s,No,,300 MHz,1.15 GHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",12,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
Intel® Core™ X-series Processors,Desktop,i7-3820,End of Life,Q1'12,32 nm,$305.00 ,4,8,3.60 GHz,3.80 GHz,10 MB SmartCache,5 GT/s DMI2,130 W,No,,64.23 GB,DDR3 1066/1333/1600,4,51.2 GB/s,No,,,,,,,,,,,,2,,40,66.8°C,Yes,Yes,Yes,64-bit,"SSE4.2, AVX, AES",Yes,Yes,,Yes
7th Generation Intel® Core™ i5 Processors,Mobile,i5-7Y57,Launched,Q1'17,14 nm,$281.00 ,2,4,1.20 GHz,3.30 GHz,4 MB SmartCache,4 GT/s OPI,4.5 W,No,Yes,16 GB,"LPDDR3-1866, DDR3L-1600",2,29.8 GB/s,No,,300 MHz,950 MHz,16 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",10,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
Intel® Celeron® Processor 3000 Series,Mobile,3205U,Launched,Q1'15,14 nm,$107.00 ,2,2,1.50 GHz,,2 MB,5 GT/s DMI2,15 W,No,Yes,16 GB,DDR3L 1333/1600 LPDDR3 1333/1600,2,25.6 GB/s,,,100 MHz,800 MHz,,eDP/DP/HDMI,,,,,11.2/12,,2,4x1 2x4,12,105°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,Yes,Yes
Intel® Celeron® Processor N Series,Mobile,N2805,Launched,Q3'13,22 nm,N/A,2,2,1.46 GHz,,1 MB,,4.3 W,No,Yes,4 GB,DDR3L 1066,1,,,,313 MHz,667 MHz,,,,,,,,,2,1x4,4,80°C ,No,Yes,Yes,64-bit,,Yes,,,Yes
Intel® Celeron® Processor J Series,Desktop,J1750,Launched,Q3'13,22 nm,N/A,2,2,2.41 GHz,,1 MB L2,,10 W,No,Yes,8 GB,DDR3L 1333,2,,No,,688 MHz,750 MHz,,,,,,,,,2,"X4, X2, X1",4,100°C ,No,Yes,Yes,64-bit,,,,,Yes
Intel® Celeron® Processor G Series,Desktop,G1610,Launched,Q1'13,22 nm,$42.00 ,2,2,2.60 GHz,,2 MB SmartCache,5 GT/s DMI,55 W,No,Yes,32 GB,DDR3 1333,2,21 GB/s,Yes,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,No,Yes
Legacy Intel® Pentium® Processor,Mobile,518,End of Interactive Support,,90 nm,N/A,1,,2.80 GHz,,1 MB L2,533 MHz FSB,88 W,No,,,,,,,,,,,,,,,,,,,,,75°C,Yes,No,No,32-bit,,No,,,No
Intel® Pentium® Processor 2000 Series,Mobile,2020M,Launched,Q3'12,22 nm,$134.00 ,2,2,2.40 GHz,,2 MB SmartCache,5 GT/s DMI,35 W,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,650 MHz,1.10 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,90 C,No,Yes,Yes,64-bit,SSE4.x,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Mobile,773,End of Interactive Support,,90 nm,N/A,1,,1.30 GHz,,2 MB L2,400 MHz FSB,5.5 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes
Intel® Pentium® Processor 3000 Series,Mobile,3825U,Launched,Q1'15,14 nm,$161.00 ,2,4,1.90 GHz,,2 MB,5 GT/s DMI2,15 W,No,Yes,16 GB,DDR3L 1333/1600 LPDDR3 1333/1600,2,25.6 GB/s,,,300 MHz,850 MHz,,eDP/DP/HDMI,,,,,11.2/12,,2,4x1 2x4,12,105°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,Yes,Yes
