,state,colonies_number,yield_per_colony,production,stocks,average_price,value_of_production,year
0,Alabama,16000,58,928000,28000,62.0,575000,1995
1,Arizona,52000,79,4108000,986000,68.0,2793000,1995
2,Arkansas,50000,60,3000000,900000,64.0,1920000,1995
3,California,420000,93,39060000,4687000,60.0,23436000,1995
4,Colorado,45000,60,2700000,1404000,68.0,1836000,1995
5,Florida,230000,86,19780000,1780000,63.0,12461000,1995
6,Georgia,70000,62,4340000,260000,69.0,2995000,1995
7,Hawaii,8000,129,1032000,103000,55.0,568000,1995
8,Idaho,125000,48,6000000,1020000,65.0,3900000,1995
9,Illinois,11000,74,814000,212000,102.0,830000,1995
10,Indiana,12000,63,756000,166000,68.0,514000,1995
11,Iowa,50000,68,3400000,612000,72.0,2448000,1995
12,Kansas,17000,67,1139000,182000,71.0,809000,1995
13,Kentucky,3000,44,132000,30000,103.0,136000,1995
14,Louisiana,33000,119,3927000,275000,61.0,2395000,1995
15,Maine,11000,45,495000,223000,100.0,495000,1995
16,Maryland,7000,35,245000,81000,114.0,279000,1995
17,Michigan,97000,92,8924000,3570000,72.0,6425000,1995
18,Minnesota,165000,82,13530000,1218000,66.0,8930000,1995
19,Mississippi,16000,70,1120000,146000,64.0,717000,1995
20,Missouri,23000,67,1541000,308000,65.0,1002000,1995
21,Montana,106000,80,8480000,1781000,66.0,5597000,1995
22,Nebraska,60000,73,4380000,1402000,68.0,2978000,1995
23,Nevada,9000,29,261000,34000,96.0,251000,1995
24,NewJersey,8000,34,272000,57000,71.0,193000,1995
25,NewMexico,19000,65,1235000,247000,68.0,840000,1995
26,NewYork,70000,75,5250000,2100000,66.0,3465000,1995
27,NorthCarolina,12000,52,624000,162000,81.0,505000,1995
28,NorthDakota,220000,108,23760000,3802000,63.0,14969000,1995
29,Ohio,25000,62,1550000,930000,72.0,1116000,1995
30,Oklahoma,5000,76,380000,141000,91.0,346000,1995
31,Oregon,52000,52,2704000,2488000,71.0,1920000,1995
32,Pennsylvania,25000,43,1075000,376000,69.0,742000,1995
33,SouthCarolina,9000,90,810000,65000,128.0,1037000,1995
34,SouthDakota,240000,85,20400000,4896000,65.0,13260000,1995
35,Tennessee,4000,53,212000,70000,114.0,242000,1995
36,Texas,84000,106,8904000,1959000,64.0,5699000,1995
37,Utah,32000,33,1056000,232000,61.0,644000,1995
38,Vermont,5000,67,335000,131000,83.0,278000,1995
39,Virginia,9000,45,405000,97000,55.0,223000,1995
40,Washington,60000,59,3540000,637000,54.0,1912000,1995
41,WestVirginia,13000,41,533000,48000,116.0,618000,1995
42,Wisconsin,73000,79,5767000,2134000,71.0,4095000,1995
43,Wyoming,38000,36,1368000,150000,68.0,930000,1995
44,Alabama,16000,64,1024000,102000,86.0,881000,1996
45,Arizona,32000,60,1920000,307000,84.0,1613000,1996
46,Arkansas,40000,84,3360000,336000,87.0,2923000,1996
47,California,390000,70,27300000,4641000,84.0,22932000,1996
48,Colorado,30000,74,2220000,1132000,79.0,1754000,1996
49,Florida,240000,105,25200000,2268000,91.0,22932000,1996
50,Georgia,75000,68,5100000,306000,89.0,4539000,1996
51,Hawaii,8000,155,1240000,62000,80.0,992000,1996
52,Idaho,110000,45,4950000,1535000,90.0,4455000,1996
53,Illinois,11000,74,814000,285000,130.0,1058000,1996
54,Indiana,9000,75,675000,412000,107.0,722000,1996
55,Iowa,58000,67,3886000,933000,98.0,3808000,1996
56,Kansas,16000,51,816000,294000,96.0,783000,1996
57,Kentucky,3000,60,180000,23000,127.0,229000,1996
58,Louisiana,37000,106,3922000,784000,84.0,3294000,1996
59,Maine,10000,23,230000,23000,126.0,290000,1996
60,Maryland,7000,32,224000,40000,111.0,249000,1996
61,Michigan,90000,96,8640000,4320000,110.0,9504000,1996
62,Minnesota,150000,77,11550000,1617000,91.0,10511000,1996
63,Mississippi,17000,80,1360000,299000,85.0,1156000,1996
64,Missouri,22000,74,1628000,326000,92.0,1498000,1996
65,Montana,117000,60,7020000,1825000,88.0,6178000,1996
66,Nebraska,65000,75,4875000,1755000,92.0,4485000,1996
67,Nevada,14000,61,854000,68000,105.0,897000,1996
68,NewJersey,5000,45,225000,119000,106.0,239000,1996
69,NewMexico,15000,77,1155000,219000,94.0,1086000,1996
70,NewYork,68000,80,5440000,2557000,88.0,4787000,1996
71,NorthCarolina,12000,44,528000,53000,106.0,560000,1996
72,NorthDakota,230000,86,19780000,4945000,90.0,17802000,1996
73,Ohio,24000,70,1680000,840000,98.0,1646000,1996
74,Oklahoma,4000,59,236000,54000,107.0,253000,1996
75,Oregon,55000,59,3245000,1071000,92.0,2985000,1996
76,Pennsylvania,23000,46,1058000,370000,99.0,1047000,1996
77,SouthCarolina,9000,90,810000,81000,113.0,915000,1996
78,SouthDakota,240000,97,23280000,6751000,91.0,21185000,1996
79,Tennessee,5000,64,320000,90000,137.0,438000,1996
80,Texas,82000,83,6806000,1361000,87.0,5921000,1996
81,Utah,34000,46,1564000,328000,85.0,1329000,1996
82,Vermont,4000,83,332000,93000,108.0,359000,1996
83,Virginia,7000,50,350000,119000,136.0,476000,1996
84,Washington,57000,58,3306000,1025000,89.0,2942000,1996
85,WestVirginia,10000,59,590000,207000,169.0,997000,1996
