Rank,Gr2de,Channel name,Video Uploads,Subscribers,Video views
1st,0,Zee TV,82757,18752951,20869786591
2nd,0,T-Series,12661,61196302,47548839843
3rd,0,Cocomelon - Nursery Rhymes,373,19238251,9793305082
4th,0,SET India,27323,31180559,22675948293
5th,0,WWE,36756,32852346,26273668433
6th,0,Movieclips,30243,17149705,16618094724
7th,0,netd müzik,8500,11373567,23898730764
8th,0,ABS-CBN Entertainment,100147,12149206,17202609850
9th,0,Ryan ToysReview,1140,16082927,24518098041
10th,0,Zee Marathi,74607,2841811,2591830307
11th,1,5-Minute Crafts,2085,33492951,8587520379
12th,1,Canal KondZilla,822,39409726,19291034467
13th,1,Like Nastya Vlog,150,7662886,2540099931
14th,1,Ozuna,50,18824912,8727783225
15th,1,Wave Music,16119,15899764,10989179147
16th,1,Ch3Thailand,49239,11569723,9388600275
17th,1,WORLDSTARHIPHOP,4778,15830098,11102158475
18th,1,Vlad and Nikita,53,-- ,1428274554
19th,1,Badabun,3060,23603062,5860444053
20th,1,WorkpointOfficial,24287,17687229,14022189654
21st,1,xxxtentacion,48,11593509,2029279311
22nd,1,Zee Music Company,3403,23440427,11666909155
23rd,1,SAB TV,19358,11347420,9572788450
24th,1,DeadloxMC,1833,2137907,245437560
25th,1,ETV Andhra Pradesh,186194,712562,349096736
26th,1,Shemaroo Filmi Gaane,5076,14469618,6585569190
27th,1,ibighit,277,16924523,3437613314
28th,1,El Reino Infantil,555,15836366,16395683234
29th,1,Zee Telugu,92250,2902714,2754482753
30th,1,Kirin AMV's,230,459906,224608044
31st,1,Zee Bangla,79497,3102246,2867901827
32nd,1,Stacy Toys,91,5992452,1576070985
33rd,1,Toys and Colors,127,4746069,2250065105
34th,1,InfantiLandia,710,7504480,2135402141
35th,1,Top Breaking News,848,1120620,291002673
36th,1,Colors TV,23504,12466776,8354699608
37th,1,Goldmines Telefilms,206,14011180,555853544
38th,1,one31,47805,10878372,7614312491
39th,1,[토이푸딩] ToyPudding TV,2201,18777612,11920370065
40th,1,CKN Toys,431,8816598,7498069721
41st,1,GMA Network,65757,6270681,7373478009
42nd,1,Zé Neto e Cristiano,102,6154173,3232954352
43rd,1,Inside Edition,14643,4391875,5542203386
44th,1,GRAMMY GOLD OFFICIAL,2943,7385239,6480263464
45th,1,RedeTV,15672,5604245,3317197927
46th,1,Bouncing Baby TV,30,2869857,493923518
47th,1,Speed Records,5704,14903053,7823927253
48th,1,GR6 EXPLODE,2517,16813027,7609346952
