Date,Time,Transaction,Item
10/30/2016,9:58:11 AM,1,Bread
10/30/2016,10:05:34 AM,2,Scandinavian
10/30/2016,10:05:34 AM,2,Scandinavian
10/30/2016,10:07:57 AM,3,Hot chocolate
10/30/2016,10:07:57 AM,3,Jam
10/30/2016,10:07:57 AM,3,Cookies
10/30/2016,10:08:41 AM,4,Muffin
10/30/2016,10:13:03 AM,5,Coffee
10/30/2016,10:13:03 AM,5,Pastry
10/30/2016,10:13:03 AM,5,Bread
10/30/2016,10:16:55 AM,6,Medialuna
10/30/2016,10:16:55 AM,6,Pastry
10/30/2016,10:16:55 AM,6,Muffin
10/30/2016,10:19:12 AM,7,Medialuna
10/30/2016,10:19:12 AM,7,Pastry
10/30/2016,10:19:12 AM,7,Coffee
10/30/2016,10:19:12 AM,7,Tea
10/30/2016,10:20:51 AM,8,Pastry
10/30/2016,10:20:51 AM,8,Bread
10/30/2016,10:21:59 AM,9,Bread
10/30/2016,10:21:59 AM,9,Muffin
10/30/2016,10:25:58 AM,10,Scandinavian
10/30/2016,10:25:58 AM,10,Medialuna
10/30/2016,10:27:21 AM,11,Bread
10/30/2016,10:27:21 AM,11,Medialuna
10/30/2016,10:27:21 AM,11,Bread
10/30/2016,10:27:21 AM,11,NONE
10/30/2016,10:30:14 AM,12,Jam
10/30/2016,10:30:14 AM,12,Coffee
10/30/2016,10:30:14 AM,12,Tartine
10/30/2016,10:30:14 AM,12,Pastry
10/30/2016,10:30:14 AM,12,Tea
10/30/2016,10:31:24 AM,13,Basket
10/30/2016,10:31:24 AM,13,Bread
10/30/2016,10:31:24 AM,13,Coffee
10/30/2016,10:32:46 AM,14,Bread
10/30/2016,10:32:46 AM,14,Medialuna
10/30/2016,10:32:46 AM,14,Pastry
10/30/2016,10:34:36 AM,15,NONE
10/30/2016,10:34:36 AM,15,NONE
10/30/2016,10:34:36 AM,15,Mineral water
10/30/2016,10:34:36 AM,15,Scandinavian
10/30/2016,10:37:08 AM,16,Bread
10/30/2016,10:37:08 AM,16,Medialuna
10/30/2016,10:37:08 AM,16,Coffee
10/30/2016,10:38:04 AM,17,Hot chocolate
10/30/2016,10:41:56 AM,18,Farm House
10/30/2016,10:43:08 AM,19,Farm House
10/30/2016,10:43:08 AM,19,Bread
10/30/2016,10:45:22 AM,20,Bread
10/30/2016,10:45:22 AM,20,Medialuna
10/30/2016,10:49:29 AM,21,Coffee
10/30/2016,10:49:29 AM,21,Coffee
10/30/2016,10:49:29 AM,21,Medialuna
10/30/2016,10:49:29 AM,21,Bread
10/30/2016,10:52:15 AM,22,Jam
10/30/2016,10:53:49 AM,23,Scandinavian
10/30/2016,10:53:49 AM,23,Muffin
10/30/2016,10:54:33 AM,24,Bread
10/30/2016,10:55:22 AM,25,Scandinavian
10/30/2016,10:56:08 AM,26,Fudge
10/30/2016,11:02:19 AM,27,Scandinavian
10/30/2016,11:03:24 AM,28,Coffee
10/30/2016,11:03:24 AM,28,Bread
10/30/2016,11:05:30 AM,29,Bread
10/30/2016,11:05:30 AM,29,Jam
10/30/2016,11:05:30 AM,29,NONE
10/30/2016,11:07:19 AM,30,Bread
10/30/2016,11:12:56 AM,31,Basket
10/30/2016,11:16:15 AM,32,Scandinavian
10/30/2016,11:16:15 AM,32,Muffin
10/30/2016,11:22:49 AM,33,Coffee
10/30/2016,11:25:45 AM,34,Coffee
10/30/2016,11:25:45 AM,34,Muffin
10/30/2016,11:27:34 AM,35,Muffin
10/30/2016,11:27:34 AM,35,Scandinavian
10/30/2016,11:33:08 AM,36,Tea
10/30/2016,11:33:08 AM,36,Bread
10/30/2016,11:37:10 AM,37,Coffee
10/30/2016,11:37:10 AM,37,Bread
10/30/2016,11:37:10 AM,37,NONE
10/30/2016,11:42:40 AM,38,Bread
10/30/2016,11:42:40 AM,38,Tea
10/30/2016,11:44:31 AM,39,Scandinavian
10/30/2016,11:55:51 AM,40,Juice
10/30/2016,11:55:51 AM,40,NONE
10/30/2016,11:55:51 AM,40,Tartine
10/30/2016,11:55:51 AM,40,Coffee
10/30/2016,11:55:51 AM,40,Muffin
10/30/2016,11:57:06 AM,41,Scandinavian
10/30/2016,11:57:45 AM,42,Bread
10/30/2016,11:57:45 AM,42,Tea
10/30/2016,12:00:22 PM,43,Scandinavian
10/30/2016,12:00:22 PM,43,Fudge
10/30/2016,12:05:47 PM,44,Coffee
10/30/2016,12:05:47 PM,44,Medialuna
10/30/2016,12:08:36 PM,45,Coffee
10/30/2016,12:08:36 PM,45,Hot chocolate
10/30/2016,12:08:36 PM,45,Medialuna
10/30/2016,12:09:04 PM,46,Coffee
10/30/2016,12:15:29 PM,47,Ella's Kitchen Pouches
10/30/2016,12:15:29 PM,47,Juice
10/30/2016,12:15:29 PM,47,Bread
10/30/2016,12:15:29 PM,47,Muffin
10/30/2016,12:15:29 PM,47,Jam
10/30/2016,12:17:02 PM,48,Coffee
10/30/2016,12:23:01 PM,49,Coffee
10/30/2016,12:23:01 PM,49,Coffee
10/30/2016,12:23:01 PM,49,Medialuna
10/30/2016,12:25:11 PM,50,Bread
10/30/2016,12:25:11 PM,50,Victorian Sponge
10/30/2016,12:26:58 PM,51,Bread
10/30/2016,12:28:07 PM,52,Scandinavian
10/30/2016,12:33:08 PM,54,Bread
10/30/2016,12:38:06 PM,55,Frittata
10/30/2016,12:38:06 PM,55,Coffee
10/30/2016,12:38:06 PM,55,Tea
10/30/2016,12:38:06 PM,55,Hearty & Seasonal
10/30/2016,12:39:27 PM,56,Coffee
10/30/2016,12:39:27 PM,56,Frittata
10/30/2016,12:45:48 PM,57,Scandinavian
10/30/2016,12:59:29 PM,58,Victorian Sponge
10/30/2016,12:59:29 PM,58,Hot chocolate
10/30/2016,12:59:29 PM,58,Tea
10/30/2016,12:59:29 PM,58,Soup
10/30/2016,1:02:04 PM,59,Tea
10/30/2016,1:02:04 PM,59,NONE
10/30/2016,1:14:04 PM,60,Cookies
10/30/2016,1:14:04 PM,60,Coffee
10/30/2016,1:14:04 PM,60,Juice
10/30/2016,1:14:04 PM,60,Coffee
10/30/2016,1:15:38 PM,61,Coffee
10/30/2016,1:24:00 PM,62,Pick and Mix Bowls
10/30/2016,1:24:00 PM,62,Hearty & Seasonal
10/30/2016,1:24:00 PM,62,Hearty & Seasonal
10/30/2016,1:24:00 PM,62,Coffee
10/30/2016,1:24:00 PM,62,Smoothies
10/30/2016,1:24:00 PM,62,Coffee
10/30/2016,1:33:12 PM,63,Coffee
10/30/2016,1:34:07 PM,64,Cake
10/30/2016,1:37:25 PM,65,NONE
10/30/2016,1:37:25 PM,65,Tartine
10/30/2016,1:37:25 PM,65,Mighty Protein
10/30/2016,1:37:25 PM,65,Tea
10/30/2016,1:37:25 PM,65,Coffee
10/30/2016,1:40:20 PM,66,Hearty & Seasonal
10/30/2016,1:40:20 PM,66,Frittata
10/30/2016,1:40:20 PM,66,Mineral water
10/30/2016,1:46:48 PM,67,Hearty & Seasonal
10/30/2016,1:46:48 PM,67,NONE
10/30/2016,1:46:48 PM,67,Mineral water
10/30/2016,1:46:48 PM,67,Muffin
10/30/2016,1:49:36 PM,68,Frittata
10/30/2016,1:49:36 PM,68,Coffee
10/30/2016,1:49:36 PM,68,Tea
10/30/2016,1:49:36 PM,68,Scandinavian
10/30/2016,1:49:36 PM,68,Chicken sand
10/30/2016,1:51:49 PM,69,Bread
10/30/2016,1:51:49 PM,69,Tea
10/30/2016,1:51:49 PM,69,Victorian Sponge
10/30/2016,1:54:42 PM,70,Fudge
10/30/2016,1:56:08 PM,71,Muffin
10/30/2016,2:21:38 PM,72,Coffee
10/30/2016,2:21:38 PM,72,Bread
10/30/2016,2:22:39 PM,73,Bread
10/30/2016,2:24:03 PM,74,Coffee
10/30/2016,2:24:03 PM,74,Bread
10/30/2016,2:32:26 PM,75,NONE
10/30/2016,2:32:26 PM,75,Jam
10/30/2016,2:32:26 PM,75,Frittata
10/30/2016,2:32:49 PM,76,Coffee
10/30/2016,2:35:36 PM,77,Scandinavian
10/30/2016,2:42:29 PM,78,Fudge
10/30/2016,2:45:44 PM,79,Fudge
10/30/2016,2:45:44 PM,79,Tea
10/30/2016,2:45:44 PM,79,Coffee
10/30/2016,2:45:44 PM,79,Muffin
10/30/2016,2:48:40 PM,80,Frittata
10/30/2016,2:48:40 PM,80,Bread
10/30/2016,2:48:40 PM,80,Coffee
10/31/2016,8:28:31 AM,81,Coffee
10/31/2016,8:28:31 AM,81,Cake
10/31/2016,8:47:05 AM,82,Tartine
10/31/2016,8:47:05 AM,82,NONE
10/31/2016,8:47:05 AM,82,Bread
10/31/2016,8:57:47 AM,83,Coffee
10/31/2016,8:57:47 AM,83,Bread
10/31/2016,9:04:06 AM,84,Bread
10/31/2016,9:10:09 AM,85,Coffee
10/31/2016,9:10:09 AM,85,Coffee
10/31/2016,9:10:09 AM,85,Pastry
10/31/2016,9:10:09 AM,85,Medialuna
10/31/2016,9:11:08 AM,86,Juice
10/31/2016,9:12:56 AM,87,Bread
10/31/2016,9:16:01 AM,88,Coffee
10/31/2016,9:16:01 AM,88,Coffee
10/31/2016,9:16:01 AM,88,Jam
10/31/2016,9:19:41 AM,89,Bread
10/31/2016,9:20:12 AM,90,Bread
10/31/2016,9:20:12 AM,90,Coffee
10/31/2016,9:22:48 AM,91,Tea
10/31/2016,9:22:48 AM,91,NONE
10/31/2016,9:27:11 AM,92,Coffee
10/31/2016,9:29:23 AM,93,Bread
10/31/2016,9:29:23 AM,93,Coke
10/31/2016,9:39:09 AM,94,Coffee
10/31/2016,9:39:09 AM,94,Coffee
10/31/2016,9:43:37 AM,95,Tea
10/31/2016,9:43:37 AM,95,Pastry
10/31/2016,9:43:37 AM,95,Farm House
10/31/2016,9:46:48 AM,96,Pastry
10/31/2016,9:46:48 AM,96,Pastry
10/31/2016,9:46:48 AM,96,Coffee
10/31/2016,9:46:48 AM,96,Juice
10/31/2016,9:51:11 AM,97,Coffee
10/31/2016,9:51:11 AM,97,Pastry
10/31/2016,9:51:11 AM,97,Juice
10/31/2016,9:52:22 AM,98,Farm House
10/31/2016,9:56:37 AM,99,Pastry
10/31/2016,9:56:37 AM,99,Pastry
10/31/2016,9:56:37 AM,99,Coffee
10/31/2016,9:56:37 AM,99,Bread
10/31/2016,9:58:06 AM,100,Bread
10/31/2016,10:04:02 AM,101,Coffee
10/31/2016,10:04:02 AM,101,Pastry
10/31/2016,10:04:44 AM,102,Farm House
10/31/2016,10:07:40 AM,103,NONE
10/31/2016,10:07:40 AM,103,Bread
10/31/2016,10:12:48 AM,104,Coffee
10/31/2016,10:12:48 AM,104,Coffee
10/31/2016,10:12:48 AM,104,Medialuna
10/31/2016,10:12:48 AM,104,Muffin
10/31/2016,10:12:48 AM,104,Coffee
10/31/2016,10:21:29 AM,105,Coffee
10/31/2016,10:21:29 AM,105,Tea
10/31/2016,10:21:29 AM,105,NONE
10/31/2016,10:21:29 AM,105,Cake
10/31/2016,10:24:21 AM,106,Coffee
10/31/2016,10:24:21 AM,106,Coffee
10/31/2016,10:24:21 AM,106,Pastry
10/31/2016,10:24:21 AM,106,Pastry
10/31/2016,10:27:30 AM,107,Coffee
10/31/2016,10:27:30 AM,107,Tea
10/31/2016,10:31:05 AM,108,Farm House
10/31/2016,10:31:05 AM,108,Muffin
10/31/2016,10:35:23 AM,109,Bread
10/31/2016,10:35:23 AM,109,Muffin
10/31/2016,10:35:23 AM,109,Pastry
10/31/2016,10:36:37 AM,110,Pastry
10/31/2016,10:38:09 AM,111,Coffee
10/31/2016,10:59:17 AM,112,Coffee
10/31/2016,11:02:37 AM,113,Coffee
10/31/2016,11:02:37 AM,113,Cake
10/31/2016,11:05:45 AM,114,Farm House
10/31/2016,11:08:53 AM,115,Bread
