cancel date,cancel date month,code,service code,service desc,staff,booking date,booking date month,canceled by,days in adv,avg price
3/10/2018,March,KOOM01,SHCW,Women's hair cut,JJ,4/3/2018,April,JJ,24,88.44
3/27/2018,March,WIL*01,SHCW,Women's hair cut,JJ,3/29/2018,March,JJ,2,88.44
4/3/2018,April,BUDG02,SHCM,Men's hair cut,SINEAD,4/21/2018,April,BECKY,18,41.41
4/3/2018,April,HILJ01,CFC,Color full color,KELLY,4/3/2018,April,JJ,0,63.13
4/3/2018,April,STEM01,SHCW,Women's hair cut,BECKY,4/21/2018,April,JJ,18,67.84
4/3/2018,April,STRH01,CHLFH,Highlights full,KELLY,4/4/2018,April,JJ,1,120
4/4/2018,April,KEN*01,SHCW,Women's hair cut,SINEAD,5/29/2018,May,KELLY,55,74.67
4/4/2018,April,SARA01,CBAL,Balayage,KELLY,4/4/2018,April,KELLY,0,155.56
4/8/2018,April,HUDM01,SHCW,Women's hair cut,JJ,4/8/2018,April,JJ,0,88.44
4/10/2018,April,DOWR01,SBD,Blowdry,SINEAD,4/11/2018,April,JJ,1,45.11
4/10/2018,April,MOIB01,CTU,Color touch up,KELLY,4/26/2018,April,JJ,16,52.5
4/11/2018,April,HILJ01,SBD,Blowdry,SINEAD,4/11/2018,April,ADMIN,0,45.11
4/11/2018,April,HENI01,SHCW,Women's hair cut,JJ,5/3/2018,May,SINEAD,22,88.44
4/12/2018,April,CHOC01,SHCW,Women's hair cut,BECKY,4/13/2018,April,JJ,1,67.84
4/13/2018,April,MOLA01,SHCW,Women's hair cut,JJ,4/20/2018,April,BECKY,7,88.44
4/18/2018,April,KUKK01,SBD,Blowdry,SINEAD,4/26/2018,April,SINEAD,8,45.11
4/22/2018,April,COLS01,SBD,Blowdry,BECKY,4/22/2018,April,BECKY,0,45.26
4/22/2018,April,BREF01,SHCM,Men's hair cut,JJ,4/24/2018,April,JJ,2,49.48
4/24/2018,April,BUSM01,SBD,Blowdry,SINEAD,4/26/2018,April,ADMIN,2,45.11
4/25/2018,April,ROLD01,SHCM,Men's hair cut,JJ,4/25/2018,April,SINEAD,0,49.48
4/25/2018,April,NIES02,SHCM,Men's hair cut,JJ,4/26/2018,April,SINEAD,1,49.48
4/27/2018,April,LEGL01,SHCW,Women's hair cut,SINEAD,4/28/2018,April,JJ,1,74.67
4/27/2018,April,GOSD01,SHCW,Women's hair cut,JJ,5/17/2018,May,BECKY,20,88.44
4/28/2018,April,BISJ01,SBD,Blowdry,JJ,4/28/2018,April,SINEAD,0,44.55
4/28/2018,April,TAYE01,SHCM,Men's hair cut,JJ,4/28/2018,April,JJ,0,49.48
5/2/2018,May,GUYD01,CCAMO,Men's camo color,BECKY,5/3/2018,May,JJ,1,40
5/2/2018,May,GUYD01,SHCM,Men's hair cut,BECKY,5/3/2018,May,JJ,1,41.15
5/2/2018,May,NELT01,SBD,Blowdry,SINEAD,5/3/2018,May,JJ,1,45.11
5/2/2018,May,RODP01,SHCW,Women's hair cut,SINEAD,5/10/2018,May,SINEAD,8,74.67
5/4/2018,May,CAND01,CCAMO,Men's camo color,JJ,5/4/2018,May,JJ,0,32.08
5/4/2018,May,MCPL01,SBD,Blowdry,BECKY,5/8/2018,May,JJ,4,45.26
5/4/2018,May,PENM01,SBD,Blowdry,BECKY,5/4/2018,May,JJ,0,45.26
5/4/2018,May,MCGV01,SBD,Blowdry,BECKY,5/4/2018,May,JJ,0,45.26
5/5/2018,May,IRWE01,CON,Consultation,JOANNE,6/2/2018,June,JJ,28,0
5/5/2018,May,NELT01,SBD,Blowdry,BECKY,5/6/2018,May,JJ,1,45.26
5/6/2018,May,KIRR01,SHCM,Men's hair cut,BECKY,5/6/2018,May,JJ,0,41.15
5/6/2018,May,ROUT01,SBD,Blowdry,JJ,5/6/2018,May,JJ,0,44.55
5/8/2018,May,CARB01,CON,Consultation,BECKY,5/8/2018,May,JJ,0,0
5/8/2018,May,KATM01,CON,Consultation,JOANNE,5/10/2018,May,ADMIN,2,0
