CommonName,HeadLength,BodyLength
Estuarine Crocodile,24,161
Estuarine Crocodile,24,179
Estuarine Crocodile,32,226
Estuarine Crocodile,35,259
Estuarine Crocodile,40,287
Estuarine Crocodile,40,300
Estuarine Crocodile,46,342
Estuarine Crocodile,48,333
Estuarine Crocodile,52,406
Estuarine Crocodile,61,459
Estuarine Crocodile,51,376
Estuarine Crocodile,54,380
Estuarine Crocodile,38,265
Estuarine Crocodile,46,349
Estuarine Crocodile,38,264
Estuarine Crocodile,49,358
Estuarine Crocodile,39,276
Estuarine Crocodile,49,356
Estuarine Crocodile,40,270
Estuarine Crocodile,53,392
Estuarine Crocodile,61,442
Estuarine Crocodile,53,377
Estuarine Crocodile,44,322
Estuarine Crocodile,54,390
Estuarine Crocodile,50,377
Estuarine Crocodile,57,419
Estuarine Crocodile,40,276
Estuarine Crocodile,51,368
