Ship,Line,YearBlt,Tonnage,passngrs,Length,Cabins,Crew,PassSpcR,outcab
Journey,Azamara,2007,30277,694,594,355,355,42.64,329
Quest,Azamara,2007,30277,694,594,355,355,42.64,329
Celebration,Carnival,1987,47262,1486,722,743,670,31.8,453
Conquest,Carnival,2002,110000,2974,953,1488,1910,36.99,892
Destiny,Carnival,1996,101353,2642,892,1321,1000,38.36,740
Ecstasy,Carnival,1991,70367,2052,855,1020,920,34.29,618
Elation ,Carnival,1998,70367,2052,855,1020,920,34.29,618
Fantasy,Carnival,1990,70367,2056,855,1022,920,34.23,620
Fascination,Carnival,1994,70367,2052,855,1020,920,34.29,618
Freedom,Carnival,2007,110239,3700,951,1487,1150,29.79,917
Glory,Carnival,2003,110000,2974,951,1487,1160,36.99,917
Holiday,Carnival,1985,46052,1452,727,726,660,31.72,447
Imagination,Carnival,1995,70367,2052,855,1020,920,34.29,618
Inspiration,Carnival,1996,70367,2052,855,1020,920,34.29,618
Legend,Carnival,2002,86000,2124,963,1062,930,40.49,850
Liberty*,Carnival,2005,110000,2974,951,1487,1160,36.99,849
Miracle,Carnival,2004,88500,2124,963,1062,1030,41.67,849
Paradise,Carnival,1998,70367,2052,855,1020,920,34.29,618
Pride,Carnival,2001,88500,2124,963,1162,930,41.67,930
Sensation,Carnival,1993,70367,2052,855,1020,920,34.29,618
Spirit,Carnival,2001,88500,2124,963,1056,1029,41.67,843
Triumph,Carnival,1999,101509,2758,893,1321,1000,36.81,740
Valor,Carnival,2004,110000,2974,952,1487,1160,36.99,917
Victory,Carnival,2000,101509,2758,893,1379,1150,36.81,853
Century,Celebrity,1995,70606,1770,815,875,858,39.89,571
Constellation,Celebrity,2002,91000,2032,965,975,999,44.78,780
Galaxy,Celebrity,1996,77713,1890,866,935,909,41.12,639
Infinity,Celebrity,2001,91000,2032,965,975,999,44.78,780
Mercury,Celebrity,1997,77713,1882,866,935,909,41.29,639
Millenium,Celebrity,2000,91000,2032,965,975,999,44.78,780
Solstice,Celebrity,2008,122000,2850,1033,687,670,34.57,541
Summit,Celebrity,2001,91000,2032,965,975,999,44.78,780
Xpedition,Celebrity,2001,2329,94,296,45,60,24.78,45
Zenith,Celebrity,1992,47225,1366,682,687,670,34.57,541
Allegra,Costa,1992,28430,808,616,410,400,35.19,218
Atlantica,Costa,2000,85619,2114,957,1056,920,40.5,843
Classica,Costa,1991,52926,1302,718,654,617,40.65,438
Europa,Costa,1986,53872,1494,798,767,636,36.06,517
Fortuna,Costa,2003,105000,2720,890,1356,1068,38.6,841
Magica,Costa,2004,105000,2720,890,1356,1068,38.6,841
Marina,Costa,1990,25000,776,622,386,385,32.22,183
Mediterranea,Costa,2003,86000,2114,960,1056,920,40.68,843
Romantica,Costa,1993,53049,1344,722,678,600,39.47,462
Serena,Costa,2007,112000,3800,951,1500,1090,29.47,914
Victoria,Costa,1996,75166,1928,828,964,766,38.99,573
Serenity,Crystal,2003,68000,1080,790,550,636,62.96,550
Symphony,Crystal,1995,51004,940,781,480,545,54.26,480
Queen Elizabeth II,Cunard,1969,70327,1791,963,950,921,39.27,671
Queen Mary 2,Cunard,2003,151400,2620,1132,1134,1253,57.79,850
Queen Victoria,Cunard,2007,90000,2000,964,1029,900,45,879
Magic,Disney,1998,83338,1750,964,875,945,47.62,720
Wonder,Disney,1999,83000,1750,964,875,945,47.43,720
Amsterdam,Holland American,2000,61000,1380,780,688,600,44.2,555
