" Cloud Service Provider"," Cloud Service Offering"," Type"," Service Model"," Leveraged A T O"," Authorization Date"," Announcement Date"," Agency"," Subagency"," Independent Assessor"," Package Id"
18F,18F Cloud.gov,JAB,PaaS,No,01/18/2017,02/02/2017,JAB Authorization,,"SecureIT ",F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,General Services Administration,,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Department of Defense,Defense Information Systems Agency,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Department of the Treasury,Internal Revenue Service,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Federal Election Commission,,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Department of Agriculture,United States Forest Service,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Environmental Protection Agency,,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,United States Agency for International Development,,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Department of Agriculture,,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,National Science Foundation,,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Office of Personnel Management,,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Federal Retirement Thrift Investment Board,,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Department of the Interior,Office of Natural Resources Revenue,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Social Security Administration,,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Department of Education,,,F1607067912
1901 Group,in3sight,Agency,SaaS,No,01/12/2022,05/01/2016,United States Access Board,,"Coalfire Systems, Inc.",F1305012100
1901 Group,in3sight,Agency,SaaS,Yes,,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",,F1305012100
1901 Group,in3sight High,Agency,SaaS,No,,,United States Access Board,,"Coalfire Systems, Inc.",F1305012100A
1901 Group,in3sight High,Agency,SaaS,Yes,,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",,F1305012100A
3M,Grouper Plus Content Services (GPCS),Agency,SaaS,No,,,Department of Veterans Affairs,,"Coalfire Systems, Inc.",FR2200458671
3M,RevCycle Health Services Platform (RHSP),Agency,SaaS,No,02/04/2022,05/12/2022,Department of Veterans Affairs,,"Coalfire Systems, Inc.",FR2135915901
"Absolute Software ","Absolute Secure Endpoint product suite ",,SaaS,No,,,,,Kratos,FR2307441316
Acadis,Acadis Readiness Suite,Agency,SaaS,No,05/31/2022,06/05/2019,Department of State,,Kratos,FR1707156421
Acadis,Acadis Readiness Suite,Agency,SaaS,Yes,,,Department of Homeland Security,,,FR1707156421
Acadis,Acadis Readiness Suite,Agency,SaaS,Yes,,,Department of Homeland Security,Customs and Border Protection,,FR1707156421
Acadis,Acadis Readiness Suite,Agency,SaaS,Yes,,,Department of Homeland Security,Immigration and Customs Enforcement,,FR1707156421
Acadis,Acadis Readiness Suite,Agency,SaaS,Yes,,,Department of Energy,National Nuclear Security Administration / Nevada Field Office,,FR1707156421
Acadis,Acadis Readiness Suite,Agency,SaaS,Yes,,,Department of Homeland Security,,,FR1707156421
Acadis,Acadis Readiness Suite,Agency,SaaS,Yes,,,Department of Homeland Security,Federal Law Enforcement Training Center,,FR1707156421
Acadis,Acadis Readiness Suite,Agency,SaaS,Yes,,,Department of Veterans Affairs,,,FR1707156421
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,No,03/09/2018,06/01/2017,Department of the Interior,,"Coalfire Systems, Inc.",F1511167634
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,Yes,,,Corporation for National & Community Service (CNCS),,,F1511167634
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,Yes,,,Department of Veterans Affairs,VA Office of the Inspector General,,F1511167634
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,Yes,,,Federal Housing Finance Agency,FHFA Office of the Inspector General,,F1511167634
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,Yes,,,Department of Labor,,,F1511167634
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,Yes,,,National Science Foundation,,,F1511167634
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,Yes,,,Council of the Inspectors General on Integrity and Efficiency,,,F1511167634
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,Yes,,,Department of Agriculture,,,F1511167634
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,Yes,,,Other Executive Branch Agency,,,F1511167634
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,Yes,,,Federal Trade Commission,,,F1511167634
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,Yes,,,Department of State,,,F1511167634
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,Yes,,,Department of Commerce,,,F1511167634
Accenture Federal Services,Accenture Extended Detection and Response (XDR) for government,Agency,SaaS,No,10/18/2019,01/28/2020,National Gallery of Art,,"Coalfire Systems, Inc.",FR1834336116
Accenture Federal Services,Accenture Extended Detection and Response (XDR) for government,Agency,SaaS,Yes,,,Department of Education,Federal Student Aid,,FR1834336116
Accenture Federal Services,Accenture Extended Detection and Response (XDR) for government,Agency,SaaS,Yes,,,Department of Commerce,,,FR1834336116
Accenture Federal Services,Accenture Extended Detection and Response (XDR) for government,Agency,SaaS,Yes,,,Department of the Interior,Office of Natural Resources Revenue,,FR1834336116
Accenture Federal Services,Accenture Extended Detection and Response (XDR) for government,Agency,SaaS,Yes,,,Federal Retirement Thrift Investment Board,,,FR1834336116
Accenture Federal Services,Accenture Federal Cloud ERP,Agency,SaaS,No,08/11/2021,06/24/2016,National Science Foundation,,"Coalfire Systems, Inc.",F1404043549
Accenture Federal Services,Accenture Federal Cloud ERP,Agency,SaaS,Yes,,,Department of Energy,Federal Energy Regulatory Commission,,F1404043549
Accenture Federal Services,Accenture Federal Cloud ERP,Agency,SaaS,Yes,,,Department of Commerce,,,F1404043549
Accenture Federal Services,Accenture Insights Platform (AIP) For Government,JAB,PaaS,No,07/23/2021,07/27/2021,JAB Authorization,,"Schellman Compliance, LLC",FR1704369518
Accenture Federal Services,Accenture Insights Platform (AIP) For Government,JAB,PaaS,Yes,,,Universal Service Administrative Company,,,FR1704369518
Accenture Federal Services,Accenture Insights Platform (AIP) For Government,JAB,PaaS,Yes,,,National Science Foundation,,,FR1704369518
Accenture Federal Services,Accenture Insights Platform (AIP) For Government,JAB,PaaS,Yes,,,Department of Agriculture,,,FR1704369518
Accenture Federal Services,Accenture Insights Platform (AIP) For Government,JAB,PaaS,Yes,,,Federal Retirement Thrift Investment Board,,,FR1704369518
Accenture Federal Services,Accenture Insights Platform (AIP) For Government,JAB,PaaS,Yes,,,Department of Commerce,,,FR1704369518
"Acendre, Inc.",Acendre Talent Management Solution Suite,Agency,SaaS,No,07/12/2018,08/10/2018,Federal Housing Finance Agency,,SecureIT,F1604217888
"Acendre, Inc.",Acendre Talent Management Solution Suite,Agency,SaaS,Yes,,,Department of Commerce,,,F1604217888
"AchieveIt Online, LLC",AchieveIt,Agency,SaaS,No,02/11/2021,07/29/2021,Department of Veterans Affairs,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",FR2106555313
Acquia Inc.,Acquia Cloud,Agency,PaaS,No,05/21/2021,04/13/2016,Department of the Treasury,,"Schellman Compliance, LLC",F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Social Security Administration,,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of Commerce,National Institute of Standards and Technology,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of the Treasury,Internal Revenue Service,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of Justice,Justice Management Division,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of Commerce,National Oceanic and Atmospheric Administration,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Corporation for National & Community Service (CNCS),,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Commodity Futures Trading Commission,,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,United States Securities and Exchange Commission,,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Pension Benefit Guaranty Corporation,,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of Justice,Office of Justice Programs,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Nuclear Regulatory Commission,,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of Health and Human Services,Health Resources and Services Administration,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of Health and Human Services,National Institute of Environmental Health Sciences,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of Commerce,Bureau of Economic Analysis,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Social Security Administration,,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of Education,,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of Health and Human Services,Food and Drug Administration,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of the Interior,,,F1302201919
"Acuant, Inc.","Connect, Ozone, & Facial Recognition System (COFRS)",JAB,SaaS,No,11/24/2021,11/24/2021,JAB Authorization,,Kratos,FR2104942200
