Month,AA,AS,B6,DL,EV,F9,HA,MQ,NK,OO,UA,US,VX,WN
1,6.955843432,-0.320888145,7.347280539,-2.043846975,8.53749688,18.35723831,3.512640449,18.16497388,11.39805375,10.8898939,6.352728635,3.107457356,1.420701528,3.389465633
2,7.530204411,-0.782923179,18.65767285,5.614745218,10.41723604,27.42417853,6.029967088,21.30162665,16.47446563,9.588894909,7.26066189,7.114455084,7.784410459,3.501363468
3,6.693586859,-0.54473091,10.74131747,2.077965364,6.730101205,20.07485465,3.468382587,11.01841762,10.03911822,3.181693132,4.892211518,3.330787292,5.348206839,3.263340633
4,4.931777541,-3.009002521,2.780105432,0.083342606,4.821252727,12.64043993,0.01102155,5.131227758,8.76622411,3.223796268,4.37609201,2.660289603,0.995506536,2.996398787
5,5.17387815,-1.716398494,-0.709019327,0.149333298,7.724289708,13.00755418,0.826425678,5.466789592,22.39734694,4.141161863,6.827694693,0.681604831,7.102021174,5.680776827
6,8.191016646,-0.220620621,5.047154545,4.419593538,13.95279298,19.71295111,0.882785532,9.639323079,35.56150134,8.338476905,16.93266287,5.766295848,5.779414578,10.74346223
7,3.870440174,0.377407666,5.841453657,1.204861543,6.926420794,14.46454342,2.001585928,3.980288601,14.35238189,6.790332572,10.26255096,,7.13577266,10.50494169
8,3.193906591,2.503898696,9.280949545,0.653114348,5.154422254,9.175737381,7.448029197,1.89656515,20.51901828,5.606689067,5.014040631,,5.10622128,5.532107942
9,-1.432732411,-1.813799888,3.539153615,-3.703377345,0.851061867,0.978460362,3.696915293,-2.167267657,8.000101338,1.530895842,-1.794264699,,0.07099786,-1.336259851
10,-0.580929812,-2.993617316,3.676787193,-5.01151634,2.303760165,0.082127396,0.467073562,-3.735053783,6.810736136,1.750897166,-2.456541729,,2.254277829,-0.688850874
11,0.772630312,-1.916516473,1.418299137,-3.17541379,4.415930266,11.16452742,-2.719893546,0.220061042,7.543880597,4.925548168,0.281063548,,0.11637044,0.995684292
12,4.149684328,-1.846680643,13.83928956,2.504595379,6.685175583,9.346221003,-1.70647482,0.66248569,12.73312327,10.94761221,7.012078771,,13.49872029,6.720893444
