ID,game_id,team_id,HoA,won,settled_in,head_coach,goals,shots,hits,pim
20120302213,2012030221,3,away,FALSE,OT,John Tortorella,2,35,44,8
20120302216,2012030221,6,home,TRUE,OT,Claude Julien,3,48,51,6
20120302223,2012030222,3,away,FALSE,REG,John Tortorella,2,37,33,11
20120302226,2012030222,6,home,TRUE,REG,Claude Julien,5,32,36,19
20120302236,2012030223,6,away,TRUE,REG,Claude Julien,2,34,28,6
20120302233,2012030223,3,home,FALSE,REG,John Tortorella,1,24,37,2
20120302246,2012030224,6,away,FALSE,OT,Claude Julien,3,40,24,8
20120302243,2012030224,3,home,TRUE,OT,John Tortorella,4,32,40,8
20120302253,2012030225,3,away,FALSE,REG,John Tortorella,1,29,25,13
20120302256,2012030225,6,home,TRUE,REG,Claude Julien,3,32,35,11
20120303116,2012030311,6,away,TRUE,REG,Claude Julien,3,30,19,17
20120303115,2012030311,5,home,FALSE,REG,Dan Bylsma,0,29,34,28
20120303126,2012030312,6,away,TRUE,REG,Claude Julien,6,29,19,6
20120303125,2012030312,5,home,FALSE,REG,Dan Bylsma,1,27,37,4
20120303135,2012030313,5,away,FALSE,OT,Dan Bylsma,1,54,46,16
20120303136,2012030313,6,home,TRUE,OT,Claude Julien,2,40,34,18
20120303145,2012030314,5,away,FALSE,REG,Dan Bylsma,0,26,33,8
20120303146,2012030314,6,home,TRUE,REG,Claude Julien,1,24,25,8
201203023117,2012030231,17,away,FALSE,REG,Mike Babcock,1,21,43,10
201203023116,2012030231,16,home,TRUE,REG,Joel Quenneville,4,42,24,10
201203023217,2012030232,17,away,TRUE,REG,Mike Babcock,4,30,26,6
201203023216,2012030232,16,home,FALSE,REG,Joel Quenneville,1,20,36,10
201203023316,2012030233,16,away,FALSE,REG,Joel Quenneville,1,40,22,22
201203023317,2012030233,17,home,TRUE,REG,Mike Babcock,3,30,28,10
201203023416,2012030234,16,away,FALSE,REG,Joel Quenneville,0,28,22,10
201203023417,2012030234,17,home,TRUE,REG,Mike Babcock,2,27,30,10
201203023517,2012030235,17,away,FALSE,REG,Mike Babcock,1,26,25,10
201203023516,2012030235,16,home,TRUE,REG,Joel Quenneville,4,45,22,12
201203023616,2012030236,16,away,TRUE,REG,Joel Quenneville,4,28,16,10
201203023617,2012030236,17,home,FALSE,REG,Mike Babcock,3,38,29,12
201203023717,2012030237,17,away,FALSE,OT,Mike Babcock,1,27,38,10
201203023716,2012030237,16,home,TRUE,OT,Joel Quenneville,2,35,36,6
20120301219,2012030121,9,away,TRUE,REG,Paul MacLean,4,31,31,23
20120301218,2012030121,8,home,FALSE,REG,Michel Therrien,2,50,24,6
20120301229,2012030122,9,away,FALSE,REG,Paul MacLean,1,30,26,8
20120301228,2012030122,8,home,TRUE,REG,Michel Therrien,3,34,37,12
20120301238,2012030123,8,away,FALSE,REG,Michel Therrien,1,34,44,129
20120301239,2012030123,9,home,TRUE,REG,Paul MacLean,6,30,47,107
20120301248,2012030124,8,away,FALSE,OT,Michel Therrien,2,28,46,6
20120301249,2012030124,9,home,TRUE,OT,Paul MacLean,3,34,61,2
20120301259,2012030125,9,away,TRUE,REG,Paul MacLean,6,29,16,22
20120301258,2012030125,8,home,FALSE,REG,Michel Therrien,1,34,22,32
201203015130,2012030151,30,away,FALSE,OT,Mike Yeo,1,27,36,6
201203015116,2012030151,16,home,TRUE,OT,Joel Quenneville,2,37,40,8
201203015230,2012030152,30,away,FALSE,REG,Mike Yeo,2,28,43,10
201203015216,2012030152,16,home,TRUE,REG,Joel Quenneville,5,48,35,6
201203015316,2012030153,16,away,FALSE,OT,Joel Quenneville,2,27,13,8
201203015330,2012030153,30,home,TRUE,OT,Mike Yeo,3,37,34,6
201203015416,2012030154,16,away,TRUE,REG,Joel Quenneville,3,24,10,12
201203015430,2012030154,30,home,FALSE,REG,Mike Yeo,0,25,20,4
201203015530,2012030155,30,away,FALSE,REG,Mike Yeo,1,22,32,18
201203015516,2012030155,16,home,TRUE,REG,Joel Quenneville,5,33,23,6
201203018126,2012030181,26,away,FALSE,OT,Darryl Sutter,1,29,41,12
201203018119,2012030181,19,home,TRUE,OT,Ken Hitchcock,2,42,38,8
201203018226,2012030182,26,away,FALSE,REG,Darryl Sutter,1,29,38,8
201203018219,2012030182,19,home,TRUE,REG,Ken Hitchcock,2,25,38,8
201203018319,2012030183,19,away,FALSE,REG,Ken Hitchcock,0,30,39,10
201203018326,2012030183,26,home,TRUE,REG,Darryl Sutter,1,21,53,10
201203018419,2012030184,19,away,FALSE,REG,Ken Hitchcock,3,22,46,8
