state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
AL,9000,66,594000,214000,1.9,1129000,2008
AZ,25000,64,1600000,336000,1.26,2016000,2008
AR,28000,75,2100000,525000,1.35,2835000,2008
CA,360000,51,18360000,4039000,1.39,25520000,2008
CO,27000,45,1215000,656000,1.51,1835000,2008
FL,150000,79,11850000,1304000,1.32,15642000,2008
GA,65000,71,4615000,369000,1.52,7015000,2008
HI,10000,90,9.00E+05,225000,1.59,1431000,2008
ID,90000,40,3600000,1440000,1.46,5256000,2008
IL,8000,56,448000,116000,2.59,1160000,2008
IN,7000,67,469000,150000,1.68,788000,2008
IA,24000,62,1488000,580000,1.58,2351000,2008
KS,10000,61,610000,128000,1.55,946000,2008
KY,4000,39,156000,27000,2.44,381000,2008
LA,40000,77,3080000,493000,1.36,4189000,2008
ME,7000,42,294000,79000,1.57,462000,2008
MI,71000,73,5183000,2021000,1.44,7464000,2008
MN,122000,78,9516000,2569000,1.39,13227000,2008
MS,14000,98,1372000,110000,1.3,1784000,2008
MO,11000,53,583000,152000,1.68,979000,2008
MT,134000,70,9380000,4596000,1.37,12851000,2008
NE,36000,67,2412000,1254000,1.45,3497000,2008
NV,10000,29,290000,52000,1.42,412000,2008
NJ,9000,40,360000,122000,1.62,583000,2008
NM,6000,48,288000,95000,1.48,426000,2008
NY,50000,70,3500000,1260000,1.65,5775000,2008
NC,12000,52,624000,137000,2.18,1360000,2008
ND,4.00E+05,90,3.60E+07,8640000,1.36,48960000,2008
OH,14000,53,742000,371000,1.68,1247000,2008
OR,50000,43,2150000,1097000,1.41,3032000,2008
PA,23000,48,1104000,276000,1.65,1822000,2008
SD,225000,95,21375000,11970000,1.34,28643000,2008
TN,7000,61,427000,149000,2.09,892000,2008
TX,77000,64,4928000,1380000,1.34,6604000,2008
UT,28000,48,1344000,242000,1.57,2110000,2008
VT,5000,66,330000,119000,2.2,726000,2008
VA,6000,42,252000,45000,2.42,610000,2008
WA,49000,44,2156000,862000,1.51,3256000,2008
WV,6000,43,258000,49000,2.16,557000,2008
WI,58000,80,4640000,2366000,1.5,6960000,2008
WY,39000,61,2379000,381000,1.37,3259000,2008
AL,9000,50,450000,68000,1.86,837000,2009
AZ,20000,52,1040000,562000,1.45,1508000,2009
AR,24000,57,1368000,301000,1.42,1943000,2009
CA,355000,33,11715000,2109000,1.39,16284000,2009
CO,28000,53,1484000,326000,1.43,2122000,2009
FL,170000,68,11560000,1618000,1.42,16415000,2009
GA,65000,41,2665000,346000,1.47,3918000,2009
HI,10000,95,950000,323000,1.76,1672000,2009
ID,103000,46,4738000,1706000,1.52,7202000,2009
IL,8000,34,272000,57000,2.55,694000,2009
IN,9000,32,288000,101000,2.02,582000,2009
IA,26000,42,1092000,339000,1.6,1747000,2009
KS,9000,63,567000,164000,1.85,1049000,2009
KY,5000,35,175000,25000,2.71,474000,2009
LA,37000,103,3811000,610000,1.36,5183000,2009
ME,6000,50,3.00E+05,51000,1.95,585000,2009
MI,66000,60,3960000,1505000,1.55,6138000,2009
MN,122000,65,7930000,1427000,1.44,11419000,2009
MS,14000,104,1456000,87000,1.32,1922000,2009
MO,11000,47,517000,57000,1.99,1029000,2009
MT,146000,70,10220000,3577000,1.46,14921000,2009
NE,48000,56,2688000,1102000,1.46,3924000,2009
NJ,11000,32,352000,70000,2.36,831000,2009
NM,7000,60,420000,143000,1.59,668000,2009
NY,45000,65,2925000,936000,1.93,5645000,2009
NC,11000,45,495000,84000,2.57,1272000,2009
ND,450000,77,34650000,7623000,1.38,47817000,2009
OH,11000,50,550000,132000,2.81,1546000,2009
OR,55000,34,1870000,767000,1.54,2880000,2009
PA,21000,40,840000,319000,2.03,1705000,2009
SD,270000,66,17820000,6237000,1.42,25304000,2009
TN,7000,51,357000,86000,2.37,846000,2009
TX,89000,63,5607000,1065000,1.39,7794000,2009
UT,26000,38,988000,198000,1.46,1442000,2009
VT,5000,49,245000,69000,2.01,492000,2009
VA,6000,39,234000,56000,3.45,807000,2009
WA,62000,44,2728000,1064000,1.58,4310000,2009
WV,5000,37,185000,33000,2.6,481000,2009
WI,63000,60,3780000,1588000,1.58,5972000,2009
WY,37000,48,1776000,391000,1.43,2540000,2009
AL,9000,54,486000,73000,2.4,1166000,2010
AZ,24000,77,1848000,665000,1.52,2809000,2010
AR,25000,60,1500000,360000,1.47,2205000,2010
CA,410000,67,27470000,6318000,1.55,42579000,2010
CO,34000,56,1904000,533000,1.52,2894000,2010
FL,2.00E+05,69,13800000,1794000,1.56,21528000,2010
GA,55000,46,2530000,152000,1.67,4225000,2010
HI,10000,77,770000,239000,2.75,2118000,2010
ID,97000,27,2619000,1179000,1.61,4217000,2010
IL,9000,41,369000,92000,2.78,1026000,2010
IN,10000,43,430000,151000,2.23,959000,2010
IA,27000,49,1323000,463000,1.92,2540000,2010
KS,9000,52,468000,103000,2.02,945000,2010
KY,5000,67,335000,67000,2.72,911000,2010
LA,36000,80,2880000,288000,1.5,4320000,2010
ME,5000,41,205000,33000,2.05,420000,2010
MI,71000,58,4118000,1524000,1.67,6877000,2010
MN,128000,66,8448000,1774000,1.55,13094000,2010
MS,16000,98,1568000,78000,1.44,2258000,2010
MO,11000,52,572000,92000,1.8,1030000,2010
MT,157000,74,11618000,2905000,1.58,18356000,2010
NE,41000,55,2255000,902000,1.51,3405000,2010
NJ,13000,35,455000,73000,1.9,865000,2010
NM,7000,66,462000,157000,1.58,730000,2010
NY,45000,64,2880000,1123000,1.96,5645000,2010
NC,13000,46,598000,144000,2.66,1591000,2010
ND,510000,91,46410000,12995000,1.5,69615000,2010
OH,18000,62,1116000,346000,2.28,2544000,2010
OR,59000,39,2301000,874000,1.63,3751000,2010
PA,30000,37,1110000,377000,2.13,2364000,2010
SD,265000,58,15370000,4765000,1.51,23209000,2010
TN,8000,63,504000,106000,2.5,1260000,2010
TX,1.00E+05,72,7200000,792000,1.51,10872000,2010
UT,26000,30,780000,195000,1.53,1193000,2010
VT,4000,65,260000,73000,3.1,806000,2010
VA,5000,37,185000,37000,3.32,614000,2010
WA,71000,37,2627000,1077000,1.57,4124000,2010
WV,5000,40,2.00E+05,40000,2.39,478000,2010
WI,64000,64,4096000,1556000,1.68,6881000,2010
WY,34000,36,1224000,282000,1.59,1946000,2010
AL,9000,50,450000,63000,2.51,1130000,2011
AZ,23000,53,1219000,427000,1.55,1889000,2011
AR,22000,64,1408000,239000,1.62,2281000,2011
CA,370000,48,17760000,3730000,1.65,29304000,2011
CO,31000,55,1705000,443000,2,3410000,2011
FL,180000,61,10980000,988000,1.68,18446000,2011
GA,65000,43,2795000,196000,1.65,4612000,2011
HI,9000,74,666000,246000,3.65,2431000,2011
ID,87000,36,3132000,1879000,1.78,5575000,2011
IL,7000,50,350000,98000,3.9,1365000,2011
IN,8000,51,408000,147000,2.14,873000,2011
IA,25000,62,1550000,961000,1.96,3038000,2011
