JRC_code,purchCntry,prodCntry,Pb,sdPb,shade,prodType,priceCatgry
C135,NL,NL,3.75,0.24,Red,LP,2
C18,FI,FI,2.29,0.07,Red,LP,2
C20,FI,IT,1.27,0.06,Red,LP,2
C164,DE,FR,1.21,0.06,Red,LP,2
C71,MT,UK,0.85,0.04,Red,LP,2
C35,EL,FR,0.79,0.14,Red,LP,3
C140,NL,NL,0.77,0.03,Red,LP,2
C49,FR,FR,0.76,0.12,Red,LP,2
C206,UK,CA,0.58,0.05,Red,LP,2
C61,MT,IT,0.48,0.01,Red,LP,1
C165,DE,DE,0.47,0.22,Red,LP,2
C46,FR,FR,0.45,0.03,Red,LP,2
C145,LT,FI,0.43,0.15,Red,LP,2
C37,EL,EL,0.4,0.01,Red,LP,2
C64,MT,FR,0.37,0.01,Red,LP,2
C224,BE,FR,0.29,0.01,Red,LP,3
C173,CZ,FR,0.28,0.02,Red,LP,2
C33,EL,USA,0.27,0.02,Red,LP,2
C214,BE,FR,0.26,0.01,Red,LP,2
C120,AT,FR,0.23,0.01,Red,LP,2
C193,PT,FR,0.19,0.04,Red,LP,2
C153,LT,FR,0.17,0.04,Red,LP,2
C117,AT,FR,0.13,0.01,Red,LP,3
C147,LT,FR,0.1,0.02,Red,LP,2
C55,FR,FR,0.1,0.01,Red,LP,2
C88,ES,IT,0.09,0.04,Red,LP,2
C6,PL,FR,0.08,0.01,Red,LP,2
C194,PT,FR,0.08,0.01,Red,LP,2
C103,IT,IT,0.05,0.01,Red,LP,1
C115,AT,FR,0.04,0.01,Red,LP,3
C219,BE,FR,0.04,0.01,Red,LP,3
C81,ES,IT,2.45,0.03,Purple,LP,2
C22,FI,UK,2.29,0.05,Purple,LP,2
C50,FR,FR,1.84,0.13,Purple,LP,2
C113,AT,FR,1.48,0.12,Purple,LP,2
C138,NL,UK,1.4,0.37,Purple,LP,2
C211,BE,USA,1.37,0.1,Purple,LP,3
C131,NL,NL,1.33,0.01,Purple,LP,2
C121,AT,SE,1.2,0.08,Purple,LP,2
C149,LT,FR,1.16,0.05,Purple,LP,2
C215,BE,FR,1.11,0.07,Purple,LP,2
C119,AT,FR,1.09,0.02,Purple,LP,2
C152,LT,UK,1.04,0.02,Purple,LP,2
C207,UK,USA,1.02,0.05,Purple,LP,2
C15,PL,FR,0.92,0.02,Purple,LP,2
C99,IT,DE,0.58,0.02,Purple,LP,1
C151,LT,FR,0.5,0.17,Purple,LP,2
C220,BE,USA,0.47,0.05,Purple,LP,3
C101,IT,IT,0.46,0.05,Purple,LP,1
C157,DE,DE,0.31,0.02,Purple,LP,1
C139,NL,Unknown,0.31,0.02,Purple,LP,1
C34,EL,UK,0.28,0.04,Purple,LP,1
C205,UK,USA,0.25,0.05,Purple,LP,2
C3,PL,FR,0.24,0.08,Purple,LP,3
C133,NL,FR,0.11,0.01,Purple,LP,2
C112,AT,FR,0.06,0.02,Purple,LP,3
C16,FI,FI,2.61,0.11,Pink,LP,2
C68,MT,USA,2.11,0.12,Pink,LP,2
C142,LT,IT,1.96,0.12,Pink,LP,2
C134,NL,IT,1.92,0.02,Pink,LP,2
C132,NL,NL,1.71,0.23,Pink,LP,2
C102,IT,IT,1.65,0.01,Pink,LP,1
C177,CZ,DE,1.51,0.08,Pink,LP,2
C118,AT,UK,1.45,0.08,Pink,LP,2
C23,FI,FI,1.43,0.01,Pink,LP,2
C143,LT,IT,1.43,0.16,Pink,LP,2
C156,LT,DE,1.32,0.01,Pink,LP,1
C169,CZ,FR,1.07,0.06,Pink,LP,2
C21,FI,FI,1.04,0.02,Pink,LP,2
C114,AT,DE,1.02,0.01,Pink,LP,2
C62,MT,UK,1.02,0.08,Pink,LP,2
C223,BE,USA,0.98,0.07,Pink,LP,3
C170,CZ,FR,0.97,0.26,Pink,LP,2
C43,EL,IT,0.94,0.01,Pink,LP,2
C19,FI,FI,0.92,0.19,Pink,LP,2
C9,PL,PL,0.87,0.03,Pink,LP,1
C8,PL,FR,0.86,0.16,Pink,LP,2
C105,IT,IT,0.81,0.02,Pink,LP,1
C70,MT,Unknown,0.77,0.02,Pink,LP,1
C10,PL,PL,0.68,0.05,Pink,LP,1
C83,ES,DE,0.64,0.04,Pink,LP,2
C163,DE,DE,0.62,0.1,Pink,LP,1
C150,LT,FR,0.59,0.05,Pink,LP,2
C181,CZ,FR,0.58,0.01,Pink,LP,3
C208,UK,FR,0.57,0.01,Pink,LP,3
C39,EL,FR,0.55,0.08,Pink,LP,3
C190,PT,FR,0.51,0.01,Pink,LP,3
C82,ES,IT,0.49,0.09,Pink,LP,2
C48,FR,FR,0.48,0.02,Pink,LP,2
C95,IT,IT,0.45,0.03,Pink,LP,1
C159,DE,DE,0.41,0.12,Pink,LP,1
C146,LT,FI,0.39,0.01,Pink,LP,2
C180,CZ,FR,0.39,0.01,Pink,LP,3
C213,BE,FR,0.37,0.01,Pink,LP,2
C187,PT,FR,0.33,0.01,Pink,LP,3
C96,IT,DE,0.33,0.08,Pink,LP,1
C196,PT,FR,0.32,0.02,Pink,LP,2
C58,FR,FR,0.32,0.02,Pink,LP,2
