"","term","loan_status","Date","home_ownership"
"1"," 36 months","Fully Paid","12/1/2011","RENT"
"2"," 60 months","Charged Off","12/1/2011","RENT"
"3"," 36 months","Fully Paid","12/1/2011","RENT"
"4"," 36 months","Fully Paid","12/1/2011","RENT"
"5"," 60 months","Current","12/1/2011","RENT"
"6"," 36 months","Fully Paid","12/1/2011","RENT"
"7"," 60 months","Fully Paid","12/1/2011","RENT"
"8"," 36 months","Fully Paid","12/1/2011","RENT"
"9"," 60 months","Charged Off","12/1/2011","OWN"
"10"," 60 months","Charged Off","12/1/2011","RENT"
"11"," 60 months","Fully Paid","12/1/2011","OWN"
"12"," 36 months","Fully Paid","12/1/2011","OWN"
"13"," 36 months","Charged Off","12/1/2011","RENT"
"14"," 36 months","Fully Paid","12/1/2011","RENT"
"15"," 36 months","Charged Off","12/1/2011","RENT"
"16"," 36 months","Fully Paid","12/1/2011","RENT"
"17"," 36 months","Fully Paid","12/1/2011","RENT"
"18"," 36 months","Fully Paid","12/1/2011","RENT"
"19"," 60 months","Fully Paid","12/1/2011","RENT"
"20"," 36 months","Charged Off","12/1/2011","RENT"
"21"," 36 months","Fully Paid","12/1/2011","OWN"
"22"," 36 months","Fully Paid","12/1/2011","RENT"
"23"," 36 months","Charged Off","12/1/2011","RENT"
"24"," 36 months","Charged Off","12/1/2011","RENT"
"25"," 60 months","Charged Off","12/1/2011","RENT"
"26"," 36 months","Fully Paid","12/1/2011","RENT"
"27"," 60 months","Current","12/1/2011","RENT"
"28"," 36 months","Fully Paid","12/1/2011","RENT"
"29"," 36 months","Fully Paid","12/1/2011","RENT"
"30"," 36 months","Fully Paid","12/1/2011","RENT"
"31"," 36 months","Fully Paid","12/1/2011","RENT"
"32"," 36 months","Fully Paid","12/1/2011","RENT"
"33"," 36 months","Fully Paid","12/1/2011","RENT"
"34"," 60 months","Current","12/1/2011","RENT"
"35"," 36 months","Fully Paid","12/1/2011","RENT"
"36"," 36 months","Fully Paid","12/1/2011","RENT"
"37"," 36 months","Fully Paid","12/1/2011","RENT"
"38"," 36 months","Fully Paid","12/1/2011","RENT"
"39"," 36 months","Fully Paid","12/1/2011","RENT"
"40"," 36 months","Fully Paid","12/1/2011","RENT"
"41"," 36 months","Fully Paid","12/1/2011","RENT"
"42"," 36 months","Fully Paid","12/1/2011","RENT"
"43"," 36 months","Fully Paid","12/1/2011","RENT"
"44"," 36 months","Charged Off","12/1/2011","RENT"
"45"," 36 months","Fully Paid","12/1/2011","RENT"
"46"," 60 months","Charged Off","12/1/2011","RENT"
"47"," 60 months","Fully Paid","12/1/2011","RENT"
"48"," 36 months","Fully Paid","12/1/2011","OWN"
"49"," 36 months","Fully Paid","12/1/2011","RENT"
"50"," 60 months","Fully Paid","12/1/2011","RENT"
"51"," 60 months","Fully Paid","12/1/2011","RENT"
"52"," 36 months","Fully Paid","12/1/2011","RENT"
"53"," 60 months","Charged Off","12/1/2011","RENT"
"54"," 60 months","Charged Off","12/1/2011","RENT"
"55"," 36 months","Fully Paid","12/1/2011","RENT"
"56"," 60 months","Charged Off","12/1/2011","RENT"
"57"," 36 months","Fully Paid","12/1/2011","OWN"
"58"," 36 months","Charged Off","12/1/2011","RENT"
"59"," 36 months","Fully Paid","12/1/2011","RENT"
"60"," 36 months","Fully Paid","12/1/2011","RENT"
"61"," 36 months","Fully Paid","12/1/2011","OWN"
"62"," 36 months","Fully Paid","12/1/2011","RENT"
"63"," 60 months","Fully Paid","12/1/2011","RENT"
"64"," 36 months","Fully Paid","12/1/2011","RENT"
"65"," 36 months","Fully Paid","12/1/2011","RENT"
"66"," 36 months","Fully Paid","12/1/2011","RENT"
"67"," 36 months","Fully Paid","12/1/2011","RENT"
"68"," 36 months","Fully Paid","12/1/2011","RENT"
"69"," 60 months","Current","12/1/2011","RENT"
"70"," 36 months","Fully Paid","12/1/2011","RENT"
"71"," 36 months","Fully Paid","12/1/2011","RENT"
"72"," 36 months","Fully Paid","12/1/2011","RENT"
"73"," 60 months","Fully Paid","12/1/2011","RENT"
"74"," 36 months","Fully Paid","12/1/2011","RENT"
"75"," 36 months","Fully Paid","12/1/2011","OWN"
"76"," 60 months","Current","12/1/2011","RENT"
"77"," 60 months","Current","12/1/2011","RENT"
"78"," 36 months","Charged Off","12/1/2011","RENT"
"79"," 60 months","Current","12/1/2011","RENT"
"80"," 36 months","Fully Paid","12/1/2011","OWN"
"81"," 36 months","Fully Paid","12/1/2011","RENT"
"82"," 60 months","Charged Off","12/1/2011","RENT"
"83"," 36 months","Fully Paid","12/1/2011","RENT"
"84"," 36 months","Fully Paid","12/1/2011","RENT"
"85"," 36 months","Fully Paid","12/1/2011","RENT"
"86"," 36 months","Fully Paid","12/1/2011","OWN"
"87"," 36 months","Charged Off","12/1/2011","RENT"
"88"," 36 months","Fully Paid","12/1/2011","RENT"
"89"," 36 months","Fully Paid","12/1/2011","RENT"
"90"," 36 months","Fully Paid","12/1/2011","RENT"
"91"," 36 months","Charged Off","12/1/2011","RENT"
"92"," 36 months","Fully Paid","12/1/2011","RENT"
"93"," 36 months","Fully Paid","12/1/2011","RENT"
"94"," 60 months","Charged Off","12/1/2011","RENT"
"95"," 36 months","Fully Paid","12/1/2011","RENT"
"96"," 36 months","Fully Paid","12/1/2011","RENT"
"97"," 60 months","Fully Paid","12/1/2011","RENT"
"98"," 36 months","Fully Paid","12/1/2011","RENT"
"99"," 36 months","Fully Paid","12/1/2011","RENT"
"100"," 36 months","Fully Paid","12/1/2011","RENT"
"101"," 36 months","Fully Paid","12/1/2011","RENT"
"102"," 36 months","Fully Paid","12/1/2011","RENT"
"103"," 36 months","Fully Paid","12/1/2011","RENT"
"104"," 36 months","Charged Off","12/1/2011","RENT"
"105"," 36 months","Fully Paid","12/1/2011","RENT"
"106"," 36 months","Fully Paid","12/1/2011","RENT"
"107"," 36 months","Fully Paid","12/1/2011","RENT"
"108"," 36 months","Fully Paid","12/1/2011","RENT"
"109"," 36 months","Charged Off","12/1/2011","RENT"
"110"," 60 months","Fully Paid","12/1/2011","RENT"
"111"," 60 months","Fully Paid","12/1/2011","OWN"
"112"," 60 months","Fully Paid","12/1/2011","RENT"
"113"," 36 months","Charged Off","12/1/2011","RENT"
"114"," 60 months","Charged Off","12/1/2011","RENT"
"115"," 36 months","Fully Paid","12/1/2011","RENT"
"116"," 36 months","Fully Paid","12/1/2011","RENT"
"117"," 36 months","Fully Paid","12/1/2011","RENT"
"118"," 36 months","Fully Paid","12/1/2011","RENT"
"119"," 36 months","Fully Paid","12/1/2011","RENT"
"120"," 60 months","Fully Paid","12/1/2011","RENT"
"121"," 36 months","Fully Paid","12/1/2011","OWN"
"122"," 36 months","Fully Paid","12/1/2011","RENT"
"123"," 60 months","Fully Paid","12/1/2011","OWN"
"124"," 36 months","Charged Off","12/1/2011","OWN"
"125"," 36 months","Fully Paid","12/1/2011","RENT"
"126"," 36 months","Fully Paid","12/1/2011","RENT"
"127"," 36 months","Fully Paid","12/1/2011","RENT"
"128"," 36 months","Fully Paid","12/1/2011","RENT"
"129"," 36 months","Fully Paid","12/1/2011","RENT"
"130"," 36 months","Charged Off","12/1/2011","RENT"
"131"," 36 months","Charged Off","12/1/2011","RENT"
"132"," 60 months","Charged Off","12/1/2011","RENT"
"133"," 36 months","Fully Paid","12/1/2011","RENT"
"134"," 60 months","Charged Off","12/1/2011","RENT"
"135"," 36 months","Fully Paid","12/1/2011","RENT"
"136"," 36 months","Fully Paid","12/1/2011","RENT"
"137"," 36 months","Charged Off","12/1/2011","RENT"
"138"," 36 months","Charged Off","12/1/2011","RENT"
"139"," 36 months","Charged Off","12/1/2011","RENT"
"140"," 36 months","Fully Paid","12/1/2011","RENT"
"141"," 36 months","Fully Paid","12/1/2011","RENT"
"142"," 36 months","Fully Paid","12/1/2011","RENT"
"143"," 60 months","Fully Paid","12/1/2011","RENT"
"144"," 36 months","Fully Paid","12/1/2011","RENT"
"145"," 36 months","Fully Paid","12/1/2011","RENT"
"146"," 36 months","Fully Paid","12/1/2011","RENT"
"147"," 36 months","Fully Paid","12/1/2011","RENT"
"148"," 36 months","Fully Paid","12/1/2011","RENT"
"149"," 36 months","Fully Paid","12/1/2011","RENT"
"150"," 36 months","Charged Off","12/1/2011","RENT"
"151"," 36 months","Fully Paid","12/1/2011","RENT"
"152"," 36 months","Fully Paid","12/1/2011","RENT"
"153"," 36 months","Fully Paid","12/1/2011","RENT"
