userID,Upayment
U1001,cash
U1002,cash
U1003,cash
U1004,cash
U1004,bank_debit_cards
U1005,cash
U1006,cash
U1007,cash
U1008,cash
U1009,cash
U1010,cash
U1011,cash
U1012,cash
U1012,bank_debit_cards
U1013,MasterCard-Eurocard
U1013,cash
U1014,cash
U1015,cash
U1016,cash
U1017,cash
U1017,VISA
U1018,cash
U1019,cash
U1020,cash
U1020,bank_debit_cards
U1021,cash
U1022,cash
U1023,cash
U1026,cash
U1026,bank_debit_cards
U1027,cash
U1028,cash
U1029,cash
U1030,cash
U1031,cash
U1031,American_Express
U1032,cash
U1033,cash
U1034,cash
U1035,cash
U1035,VISA
U1036,cash
U1037,cash
U1038,cash
U1039,cash
U1040,cash
U1041,bank_debit_cards
U1041,cash
U1041,American_Express
U1041,VISA
U1042,bank_debit_cards
U1043,cash
U1044,VISA
U1044,bank_debit_cards
U1044,cash
U1044,MasterCard-Eurocard
U1045,cash
U1046,cash
U1047,cash
U1048,cash
U1049,cash
U1050,cash
U1051,VISA
U1051,cash
U1052,cash
U1053,cash
U1054,cash
U1055,cash
U1056,cash
U1057,cash
U1057,VISA
U1058,cash
U1059,cash
U1060,cash
U1061,cash
U1061,bank_debit_cards
U1062,VISA
U1062,cash
U1063,cash
U1064,cash
U1065,cash
U1066,cash
U1066,bank_debit_cards
U1067,cash
U1068,cash
U1069,MasterCard-Eurocard
U1069,cash
U1070,cash
U1071,cash
U1072,bank_debit_cards
U1072,cash
U1073,cash
U1074,bank_debit_cards
U1074,cash
U1075,cash
U1076,VISA
U1076,cash
U1076,bank_debit_cards
U1077,VISA
U1077,cash
U1077,bank_debit_cards
U1078,VISA
U1078,bank_debit_cards
U1078,cash
U1079,cash
U1080,cash
U1081,cash
U1082,cash
U1083,cash
U1084,cash
U1085,cash
U1086,VISA
U1086,bank_debit_cards
U1086,cash
U1087,cash
U1089,cash
U1090,cash
U1091,cash
U1092,cash
U1093,American_Express
U1093,VISA
U1094,cash
U1095,cash
U1096,cash
U1097,cash
U1098,cash
U1099,cash
U1099,VISA
U1100,cash
U1101,cash
U1102,cash
U1103,cash
U1103,bank_debit_cards
U1104,VISA
U1104,cash
U1105,cash
U1106,bank_debit_cards
U1106,cash
U1107,bank_debit_cards
U1107,cash
U1108,VISA
U1108,cash
U1108,MasterCard-Eurocard
U1109,cash
U1110,cash
U1111,cash
U1112,cash
U1113,VISA
U1113,cash
U1114,cash
U1115,cash
U1116,cash
U1116,bank_debit_cards
U1116,VISA
U1117,bank_debit_cards
U1117,cash
U1118,cash
U1119,cash
U1120,cash
U1121,cash
U1121,bank_debit_cards
U1123,cash
U1124,cash
U1125,cash
U1126,cash
U1127,cash
U1128,cash
U1129,cash
U1131,cash
U1132,cash
U1133,bank_debit_cards
U1133,cash
U1134,cash
U1135,cash
U1136,cash
U1137,cash
U1138,cash
