State,Cases
Michigan,5
Michigan,7
Michigan,6
Michigan,4
Michigan,6
Michigan,2
Michigan,4
Michigan,9
Vermont,7
Vermont,2
Vermont,6
Vermont,2
Vermont,7
West Virginia,3
West Virginia,7
West Virginia,15
West Virginia,9
West Virginia,5
West Virginia,8
West Virginia,4
West Virginia,6
West Virginia,12
West Virginia,5
West Virginia,8
West Virginia,6
Tennessee,3
Tennessee,5
Tennessee,10
Tennessee,9
Tennessee,5
Tennessee,6
Georgia,11
Georgia,3
Georgia,6
Georgia,8
Georgia,3
Georgia,6
Georgia,4
Georgia,8
