,name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
6,Adam Monroe,Male,blue,-,Blond,-99,NBC - Heroes,-,good,-99
8,Agent 13,Female,blue,-,Blond,173,Marvel Comics,-,good,61
10,Agent Zero,Male,-,-,-,191,Marvel Comics,-,good,104
11,Air-Walker,Male,blue,-,White,188,Marvel Comics,-,bad,108
13,Alan Scott,Male,blue,-,Blond,180,DC Comics,-,good,90
15,Alex Woolsly,Male,-,-,-,-99,NBC - Heroes,-,good,-99
18,Allan Quatermain,Male,-,-,-,-99,Wildstorm,-,good,-99
21,Ando Masahashi,Male,-,-,-,-99,NBC - Heroes,-,good,-99
22,Angel,Male,blue,-,Blond,183,Marvel Comics,-,good,68
25,Angel Salvadore,Female,brown,-,Black,163,Marvel Comics,-,good,54
26,Angela,Female,-,-,-,-99,Image Comics,-,bad,-99
28,Annihilus,Male,green,-,No Hair,180,Marvel Comics,-,bad,90
32,Anti-Spawn,Male,-,-,-,-99,Image Comics,-,bad,-99
35,Aquababy,Male,blue,-,Blond,-99,DC Comics,-,good,-99
40,Arclight,Female,violet,-,Purple,173,Marvel Comics,-,bad,57
42,Ares,Male,brown,-,Brown,185,Marvel Comics,-,good,270
43,Ariel,Female,purple,-,Pink,165,Marvel Comics,-,good,59
44,Armor,Female,black,-,Black,163,Marvel Comics,-,good,50
46,Astro Boy,Male,brown,-,Black,-99,,-,good,-99
49,Atom,Male,blue,-,Red,178,DC Comics,-,good,68
50,Atom,Male,-,-,-,-99,DC Comics,-,good,-99
51,Atom Girl,Female,black,-,Black,168,DC Comics,-,good,54
53,Atom III,Male,-,-,Red,-99,DC Comics,-,good,-99
54,Atom IV,Male,brown,-,Black,-99,DC Comics,-,good,72
58,Aztar,Male,-,-,-,-99,DC Comics,-,good,-99
61,Bantam,Male,brown,-,Black,165,Marvel Comics,-,good,54
62,Batgirl,Female,-,-,-,-99,DC Comics,-,good,-99
64,Batgirl III,Female,-,-,-,-99,DC Comics,-,good,-99
66,Batgirl V,Female,-,-,-,-99,DC Comics,-,good,-99
67,Batgirl VI,Female,blue,-,Blond,168,DC Comics,-,good,61
71,Battlestar,Male,brown,-,Black,198,Marvel Comics,-,good,133
73,Beak,Male,black,-,White,175,Marvel Comics,-,good,63
