{us:gov:federal:hc}DayCode,{us:gov:federal:hc}HrsWrk,{us:gov:federal:hc}RecordID,{us:gov:federal:hc}SSPTimeCode,{us:gov:federal:hc}TimeCode,{us:gov:federal:hc}WeekCode
2,8,64,1037,1037,1
3,8,65,1037,1037,1
4,8,66,1037,1037,1
5,8,67,1037,1037,1
6,8,68,1037,1037,1
2,8,69,1037,1037,2
3,8,70,1037,1037,2
4,8,71,1037,1037,2
5,8,72,1037,1037,2
6,8,73,1037,1037,2
2,8,74,1037,1037,1
3,8,75,1037,1037,1
4,8,76,1037,1037,1
5,8,77,1037,1037,1
6,8,78,1037,1037,1
2,8,79,1037,1037,2
3,8,80,1037,1037,2
4,8,81,1037,1037,2
5,8,82,1037,1037,2
6,8,83,1037,1037,2
2,8,84,1037,1037,1
3,8,85,1037,1037,1
4,8,86,1037,1037,1
5,8,87,1037,1037,1
6,8,88,1037,1037,1
2,8,89,1037,1037,2
3,8,90,1037,1037,2
4,8,91,1037,1037,2
5,8,92,1037,1037,2
6,8,93,1037,1037,2
2,8,94,1037,1037,1
3,8,95,1037,1037,1
4,8,96,1037,1037,1
5,8,97,1037,1037,1
6,8,98,1037,1037,1
2,8,99,1037,1037,2
3,8,100,1037,1037,2
4,8,101,1037,1037,2
5,8,102,1037,1037,2
6,8,103,1037,1037,2
2,8,104,1037,1037,1
3,8,105,1037,1037,1
4,8,106,1037,1037,1
5,8,107,1037,1037,1
6,8,108,1037,1037,1
2,8,109,1037,1037,2
3,8,110,1037,1037,2
4,8,111,1037,1037,2
5,8,112,1037,1037,2
6,8,113,1037,1037,2
2,8,114,1037,1037,1
3,8,115,1037,1037,1
4,8,116,1037,1037,1
5,8,117,1037,1037,1
6,8,118,1037,1037,1
2,8,119,1037,1037,2
3,8,120,1037,1037,2
4,8,121,1037,1037,2
5,8,122,1037,1037,2
6,8,123,1037,1037,2
2,8,124,1037,1037,1
3,8,125,1037,1037,1
4,8,126,1037,1037,1
5,8,127,1037,1037,1
6,8,128,1037,1037,1
2,8,129,1037,1037,2
3,8,130,1037,1037,2
4,8,131,1037,1037,2
5,8,132,1037,1037,2
6,8,133,1037,1037,2
2,8,134,1037,1037,1
3,8,135,1037,1037,1
4,8,136,1037,1037,1
5,8,137,1037,1037,1
6,8,138,1037,1037,1
2,8,139,1037,1037,2
3,8,140,1037,1037,2
4,8,141,1037,1037,2
5,8,142,1037,1037,2
6,8,143,1037,1037,2
2,8,144,1037,1037,1
3,8,145,1037,1037,1
4,8,146,1037,1037,1
5,8,147,1037,1037,1
6,8,148,1037,1037,1
2,8,149,1037,1037,2
3,8,150,1037,1037,2
4,8,151,1037,1037,2
5,8,152,1037,1037,2
6,8,153,1037,1037,2
2,8,154,1037,1037,1
3,8,155,1037,1037,1
4,8,156,1037,1037,1
5,8,157,1037,1037,1
6,8,158,1037,1037,1
2,8,159,1037,1037,2
3,8,160,1037,1037,2
4,8,161,1037,1037,2
5,8,162,1037,1037,2
6,8,163,1037,1037,2
2,8,164,1037,1037,1
3,8,165,1037,1037,1
4,8,166,1037,1037,1
5,8,167,1037,1037,1
6,8,168,1037,1037,1
2,8,169,1037,1037,2
3,8,170,1037,1037,2
4,8,171,1037,1037,2
