Month,Day,Year,Heart Attacks
May,"1,",2003,12
May,"2,",2003,12
May,"3,",2003,6
May,"4,",2003,16
May,"5,",2003,13
May,"6,",2003,17
May,"7,",2003,14
May,"8,",2003,16
May,"9,",2003,12
May,"10,",2003,12
May,"11,",2003,16
May,"12,",2003,13
May,"13,",2003,13
May,"14,",2003,14
May,"15,",2003,18
May,"16,",2003,11
May,"17,",2003,11
May,"18,",2003,14
May,"19,",2003,6
May,"20,",2003,13
May,"21,",2003,23
May,"22,",2003,15
May,"23,",2003,17
May,"24,",2003,17
May,"25,",2003,18
May,"26,",2003,13
May,"27,",2003,20
May,"28,",2003,10
May,"29,",2003,8
May,"30,",2003,21
May,"31,",2003,10
June,"1,",2003,6
June,"2,",2003,11
June,"3,",2003,8
June,"4,",2003,12
June,"5,",2003,11
June,"6,",2003,18
June,"7,",2003,15
June,"8,",2003,17
June,"9,",2003,17
June,"10,",2003,10
June,"11,",2003,16
June,"12,",2003,13
June,"13,",2003,17
June,"14,",2003,11
June,"15,",2003,5
June,"16,",2003,18
June,"17,",2003,15
June,"18,",2003,23
June,"19,",2003,16
June,"20,",2003,9
June,"21,",2003,13
June,"22,",2003,18
June,"23,",2003,12
June,"24,",2003,16
June,"25,",2003,10
June,"26,",2003,11
June,"27,",2003,15
June,"28,",2003,8
June,"29,",2003,21
June,"30,",2003,10
July,"1,",2003,13
July,"2,",2003,18
July,"3,",2003,9
July,"4,",2003,17
July,"5,",2003,10
July,"6,",2003,17
July,"7,",2003,11
July,"8,",2003,16
July,"9,",2003,9
July,"10,",2003,16
July,"11,",2003,23
July,"12,",2003,13
July,"13,",2003,13
July,"14,",2003,9
July,"15,",2003,10
July,"16,",2003,6
July,"17,",2003,14
July,"18,",2003,19
July,"19,",2003,13
July,"20,",2003,16
July,"21,",2003,18
July,"22,",2003,17
July,"23,",2003,18
July,"24,",2003,16
July,"25,",2003,14
July,"26,",2003,17
July,"27,",2003,19
July,"28,",2003,27
July,"29,",2003,11
July,"30,",2003,18
