animal_id,sex,life_stage,pregnant,with_calf,death_cause,study_site,deploy_on_longitude,deploy_on_latitude,deploy_on_comments,deploy_off_longitude,deploy_off_latitude,deploy_off_type,deploy_off_comments,Date
HR_151.510,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,12/31/2019
GR_C04,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,12/31/2019
GR_C03,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,12/31/2019
HR_151.805,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,12/30/2019
HR_151.760,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,12/28/2019
HR_151.720,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,12/28/2019
GR_C18,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,12/25/2019
KE_car120,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,removal,NA,12/24/2019
KE_car118,f,NA,NA,NA,Unknown,Kennedy,NA,NA,NA,-122.6404902,55.26054377,dead,NA,12/23/2019
HR_151.579,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,12/22/2019
GR_C13,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,12/21/2019
HR_151.744,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,12/20/2019
GR_GC13,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,12/19/2019
GR_C06,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,12/18/2019
HR_151.535,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,12/18/2019
HR_151.600,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,12/18/2019
GR_C08,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,12/17/2019
GR_GC08,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,12/17/2019
HR_152.641,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,12/16/2019
HR_151.660,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,12/16/2019
HR_151.735,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,12/14/2019
GR_C20,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,12/12/2019
