Bank A,Bank B,Bank C,Bank D,Bank E
15515.5,23231.72,14202.23,23231.72,23231.72
22620.97,17258.06,13988.59,12880.28,5156.36
18788.25,20652.91,5970.47,24071.53,19729.92
15284.78,20845.06,10687.73,14020,4892.59
19501.43,22296.64,9214.33,16467.7,14099.38
16081.84,22928.85,11769.83,10580.35,13491.5
19959.21,16467.7,12913.68,11175.7,8399.01
15312.54,17576.38,5405.18,23013.6,9931.12
16367.51,17428.7,4579.16,10739.36,4763.15
16365.08,21225.45,13969.48,15809.94,6181.83
17817.88,19788.74,7082.78,10399.75,5550.52
15116.33,16900.5,8050.96,18523.67,5365.55
20736,15859.28,10145.09,19885.09,9639.62
19436.92,21499.89,5882.23,16186.03,10038.55
20386.26,17707.34,10727.38,20738.97,14760.57
19325.74,17401.61,8076.04,13934.38,9305.31
18756.31,19445.17,7365,16610.01,10759.03
21572.84,17383.02,11070.38,15936.68,4710.57
21529.09,16056.39,8357.57,17867.23,10920.05
19341.47,20658.05,11744.09,12865.98,4225.66
21295.9,10321.17,8171.56,19009.77,6327.76
21357.23,19423.97,12397.44,13267.37,13924.18
17802.39,14702.58,12552.26,19328.94,14761.16
15101.01,12180.86,4242.14,17503.87,9723.83
16507.61,12972.11,11430.54,16620.06,6902.14
24804.81,12068.83,6643.65,11930.67,14633.35
27358.65,16064.42,9970.1,15408.9,14036.49
20168.19,10884.26,8964.64,12197.76,17429.03
22076.18,16070.54,6571.26,18995.51,16736.73
25026.51,15452.79,13451.59,19185.1,19973.46
18729.35,28099,123321.92,11621.37,14310.88
22231.97,28488.23,123214.72,13249.01,12946.15
28596.74,21263.29,24071.53,11909.33,11689.35
23013.16,26565.04,19056.28,18115.39,15142.06
26746.56,25885.56,23122.71,10748.41,13847.22
20319.76,28735.66,89722.62,18147.63,21352.25
28345.51,25485.87,2319.41,17706.24,26311.1
21265.56,28805.94,123332.99,20198.9,20101.5
22498.52,18369.52,65721.98,15277.19,25777.74
22506.78,,22892.31,14344.31,22170
27618.91,,90822.89,,19137.13
27873.73,,17226.87,,24876.87
,,27238.13,,
,,23111.8,,
,,12333.5,,
,,45266.9,,
,,26076.76,,
,,21771.2,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
