SAGE,Elsevier,Wiley-Blackwell,Springer Nature
644,122642,47455,23868
1202,100190,219519,14560
2416,10525,84141,17098
6565,40064,3710,30740
2824,5317,3096,17948
4456,9556,7015,40970
4205,16095,96959,15525
2773,2164,12717,34443
2338,8801,3063,25294
1327,18962,3555,1190
8885,24547,7805,243894
3199,25482,232037,36274
1911,10960,29405,33363
1634,16389,7244,9616
24070,25190,2144,11978
604,21769,6794,24010
14220,8302,5654,11930
7092,27658,2932,24404
1518,8727,13998,4145
1027,17942,7201,12629
749,45598,11411,13446
5593,283,495,18950
6530,7725,54144,8277
1352,14700,18925,25093
1570,9757,14765,23851
1467,5303,3024,24639
,847,1829,12961
,22759,23254,2615
,8331,4273,7763
,7153,3659,20275
,115176,2830,14967
,99584,1166,6069
,36000,9605,766
,29362,2370,7611
,2635,1168,14305
,31576,12575,15286
,27305,1775,16725
,1938,2205,13929
,3955,988,7856
,2778,1826,384
,11012,4370,12253
,72695,6294,7685
,8314,26353,6182
,7530,10026,8372
,7473,2609,11116
,8730,10907,10823
,6733,24982,17498
,8510,2566,2269
,6270,3536,6830
,15275,2623,333517
,10273,2996,4902
,1192,1783,4297
,6217,4423,17436
,5799,5725,7003
,8115,5994,3225
,4793,6702,6355
,5665,1429,2361
,3916,4267,11040
,1592,8685,5205
,4549,6834,8589
,5957,5953,9057
,43396,1433,4128
,1316,13504,14475
,4166,8482,3182
,4935,8966,11463
,65422,14794,8305
,8296,1932,2906
,4666,9621,8628
,4684,1021,28773
,4951,869,13057
,1896,13890,744
,4677,6920,1691
,7723,6326,3406
,12523,4392,3224
,13127,17123,14523
,2403,3968,3155
,583,18668,6769
,9626,5491,10356
,112989,2864,2597
,7289,727,13575
,6763,9196,4028
,1776,6188,2845
,478,10489,1842
,9379,15952,4280
,2839,10877,3560
,124041,5350,1844
,6985,10526,609
,2040,1716,4437
,12052,12111,2145
,27422,2854,11111
,10787,1030,1704
,29510,965,286
,7896,4709,8879
,5946,10412,566
,11559,20990,1143
,14706,8426,5403
,4606,3991,11151
,5597,5250,4771
,1091,5809,5906
,4975,3795,2979
,1501,1272,607
,8074,6726,1227
,1053,1781,9813
,50375,20689,86310
,27418,2791,2125
,77690,7170,2675
,6548,1185,14252
,3283,1588,3108
,15813,4194,1181
,11727,9392,782
,58870,12859,3294
,6804,5478,1953
,14553,80260,6045
,16466,3911,914
,6013,3147,8773
,43050,8594,5893
,25891,7587,4159
,13447,6801,370
,2862,,3785
,5439,,11057
,60679,,291
,4569,,1240
,5313,,663
,398,,1680
,1518,,2180
,5673,,1926
,9661,,1996
,49867,,1141
,19457,,2145
,4994,,2475
,54245,,1996
,6926,,10490
,3787,,347
,82946,,2202
,8825,,2682
,6694,,3825
,12555,,
,11282,,
,685,,
,9093,,
,3118,,
,59045,,
,16285,,
,24362,,
,17269,,
,4403,,
,41316,,
,10777,,
,3010,,
,12795,,
,15437,,
,29270,,
,1545,,
,18761,,
,2731,,
,28702,,
,2115,,
,96329,,
,21173,,
,58156,,
,6148,,
,9446,,
,5883,,
,18487,,
,1299,,
,16711,,
,6396,,
,1752,,
,7325,,
,26102,,
,17791,,
,1535,,
,4855,,
,1257,,
,3321,,
,1932,,
,33568,,
,1801,,
,1666,,
,52930,,
,40794,,
,17740,,
,4137,,
,9267,,
,28380,,
,3526,,
,52174,,
,384,,
,8542,,
,15596,,
,10179,,
,1750,,
,137661,,
,5062,,
,422,,
,6422,,
,6673,,
,1581,,
,477,,
,2134,,
,11305,,
,18096,,
,331,,
,81471,,
,13327,,
,23100,,
,6523,,
,6868,,
,26039,,
,553,,
,3541,,
,12104,,
,1271,,
,864,,
,7829,,
,6553,,
,4690,,
,2577,,
,9193,,
,359,,
,1634,,
,26067,,
,21536,,
,7204,,
,45525,,
,37122,,
,4850,,
,4160,,
,1764,,
,7964,,
,3875,,
,334,,
,768,,
,4080,,
,3936,,
,89876,,
,6975,,
,309,,
,8377,,
,79730,,
,33044,,
,20104,,
,5751,,
,13391,,
,9074,,
,2758,,
,13062,,
,16433,,
,2845,,
,5093,,
,7373,,
,10186,,
,14661,,
,12091,,
,21703,,
,4735,,
,608,,
,9160,,
,20218,,
,11764,,
,4173,,
,5584,,
,13874,,
,1140,,
,49125,,
,160,,
,4349,,
,8109,,
,9913,,
,11447,,
,357,,
,32975,,
,3983,,
,1192,,
,84,,
,7986,,
,3456,,
,3747,,
,47665,,
,568,,
,297,,
,1866,,
,3264,,
,7510,,
,980,,
,254,,
,58617,,
,5111,,
,5832,,
,12093,,
,871,,
,8172,,
,9077,,
,6695,,
,4826,,
,7600,,
,249,,
,4571,,
,16770,,
,10518,,
,16094,,
,18010,,
,6690,,
,7239,,
,689,,
,64431,,
,71122,,
,581,,
,1710,,
,4147,,
