ID,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage
20120302213,3,0,44.8
20120302216,4,1,55.2
20120302223,5,0,51.7
20120302226,1,0,48.3
20120302236,0,0,61.8
20120302233,2,0,38.2
20120302246,4,2,53.7
20120302243,4,1,46.3
20120302253,2,1,50.9
20120302256,3,1,49.1
20120303116,4,0,66.7
20120303115,4,0,33.3
20120303126,1,0,50.9
20120303125,2,0,49.1
20120303135,6,0,57.3
20120303136,5,0,42.7
20120303145,3,0,47.5
20120303146,3,0,52.5
201203023117,3,0,52.5
201203023116,3,1,47.5
201203023217,4,0,55.4
201203023216,2,0,44.6
201203023316,4,0,43.9
201203023317,5,0,56.1
201203023416,3,0,48.3
201203023417,3,1,51.7
201203023517,4,0,50.8
201203023516,3,2,49.2
201203023616,5,1,39
201203023617,3,0,61
201203023717,2,0,52.5
201203023716,4,0,47.5
20120301219,2,0,39.4
20120301218,5,1,60.6
20120301229,4,0,42.1
20120301228,2,0,57.9
20120301238,6,1,47.7
20120301239,11,3,52.3
20120301248,1,0,44.3
20120301249,3,0,55.7
20120301259,5,3,50.7
20120301258,5,1,49.3
201203015130,4,0,50
201203015116,3,1,50
201203015230,2,0,45.6
201203015216,4,0,54.4
201203015316,2,0,44.4
201203015330,3,0,55.6
201203015416,2,0,53.7
201203015430,6,0,46.3
201203015530,2,0,52.5
201203015516,2,1,47.5
201203018126,2,0,36.2
201203018119,5,1,63.8
201203018226,4,1,44.8
201203018219,4,0,55.2
201203018319,4,0,50.9
201203018326,4,0,49.1
201203018419,2,1,48.3
201203018426,2,0,51.7
201203018526,2,1,50
201203018519,1,0,50
201203018619,1,0,47.2
201203018626,1,0,52.8
201203016117,4,1,51.8
201203016124,4,2,48.2
201203016217,6,3,61.5
201203016224,5,1,38.5
201203016324,6,2,49.2
201203016317,6,0,50.8
201203016424,3,0,55.7
201203016417,1,0,44.3
201203016517,3,1,51.5
201203016524,3,1,48.5
201203016624,0,0,46.9
201203016617,3,1,53.1
201203016717,2,0,50.6
201203016724,4,1,49.4
20120301112,4,0,51.6
20120301115,4,2,48.4
20120301122,4,1,39
20120301125,4,1,61
20120301135,5,3,47.5
20120301132,3,0,52.5
20120301145,2,0,46.3
20120301142,4,1,53.7
20120301152,2,0,36.2
20120301155,5,1,63.8
20120301165,1,0,39.7
20120301162,3,0,60.3
20120301313,4,0,48.4
201203013115,5,1,51.6
20120301323,3,0,48.6
201203013215,2,1,51.4
201203013315,3,0,52.6
20120301333,6,1,47.4
201203013415,2,0,35.8
20120301343,4,1,64.2
20120301353,4,0,41.7
201203013515,2,1,58.3
201203013615,0,0,40
20120301363,5,0,60
20120301373,2,0,40.6
201203013715,2,0,59.4
201203032126,2,0,51.6
201203032116,4,0,48.4
201203032226,5,1,50.8
201203032216,2,1,49.2
201203032316,2,0,41.4
201203032326,5,0,58.6
201203032416,4,0,44.2
201203032426,3,0,55.8
201203032526,2,1,55.7
201203032516,2,0,44.3
201603017120,5,1,37.2
201603017124,7,2,62.8
201603017220,3,1,41.2
201603017224,4,1,58.8
201603017324,0,0,47.3
201603017320,5,3,52.7
201603017424,2,0,42.1
201603017420,3,1,57.9
201403041116,3,0,47.4
201403041114,2,0,52.6
