ID,giveaways,takeaways
0,20120302213,17,7
1,20120302216,4,5
2,20120302223,1,4
3,20120302226,16,6
4,20120302236,10,7
5,20120302233,7,9
6,20120302246,8,6
7,20120302243,9,7
8,20120302253,5,3
9,20120302256,12,9
10,20120303116,1,5
11,20120303115,8,9
12,20120303126,2,5
13,20120303125,12,5
14,20120303135,8,10
15,20120303136,10,13
16,20120303145,8,1
17,20120303146,11,5
18,201203023117,6,4
19,201203023116,2,11
20,201203023217,6,6
21,201203023216,7,9
22,201203023316,5,6
23,201203023317,9,3
24,201203023416,8,4
25,201203023417,10,8
26,201203023517,5,3
27,201203023516,7,7
28,201203023616,3,5
29,201203023617,12,4
30,201203023717,6,6
31,201203023716,14,9
32,20120301219,9,1
33,20120301218,11,10
34,20120301229,4,0
35,20120301228,7,6
36,20120301238,13,8
37,20120301239,8,6
38,20120301248,6,3
39,20120301249,12,5
40,20120301259,14,3
41,20120301258,10,4
42,201203015130,9,10
43,201203015116,17,14
44,201203015230,3,4
45,201203015216,6,14
46,201203015316,3,2
47,201203015330,7,9
48,201203015416,4,5
49,201203015430,14,4
50,201203015530,6,4
51,201203015516,9,12
52,201203018126,6,6
53,201203018119,10,5
54,201203018226,2,6
55,201203018219,2,11
56,201203018319,13,2
57,201203018326,17,9
58,201203018419,12,5
59,201203018426,8,7
60,201203018526,2,7
61,201203018519,7,7
62,201203018619,7,2
63,201203018626,21,7
64,201203016117,13,3
65,201203016124,8,2
66,201203016217,5,4
67,201203016224,11,3
68,201203016324,3,5
69,201203016317,9,5
70,201203016424,3,5
71,201203016417,11,5
72,201203016517,12,6
73,201203016524,15,5
74,201203016624,4,2
75,201203016617,12,4
76,201203016717,5,9
77,201203016724,9,4
78,20120301112,4,3
79,20120301115,2,7
80,20120301122,2,4
81,20120301125,11,4
82,20120301135,8,6
83,20120301132,14,19
84,20120301145,12,10
85,20120301142,8,13
86,20120301152,2,4
87,20120301155,8,5
88,20120301165,10,6
89,20120301162,7,15
90,20120301313,7,9
91,201203013115,11,6
92,20120301323,7,5
93,201203013215,8,11
94,201203013315,6,4
95,20120301333,13,11
96,201203013415,9,2
97,20120301343,4,8
98,20120301353,14,9
99,201203013515,13,13
100,201203013615,5,3
101,20120301363,7,6
102,20120301373,8,6
103,201203013715,7,7
104,201203032126,6,6
105,201203032116,10,18
106,201203032226,4,3
107,201203032216,8,8
108,201203032316,15,1
109,201203032326,11,7
110,201203032416,3,4
111,201203032426,8,1
112,201203032526,8,8
113,201203032516,6,15
114,201603017120,11,8
115,201603017124,12,5
116,201603017220,11,5
117,201603017224,21,4
118,201603017324,5,4
119,201603017320,10,6
120,201603017424,6,6
121,201603017420,9,7
122,201403041116,11,5
123,201403041114,12,5
124,201403041216,8,4
125,201403041214,11,6
126,201403041314,10,7
127,201403041316,14,9
128,201403041414,5,7
129,201403041416,16,7
130,201403041516,9,11
131,201403041514,13,9
132,201403041614,10,5
133,201403041616,10,7
134,20150301413,2,3
135,20150301415,10,4
136,20150301423,3,3
137,20150301425,10,2
138,20150301435,5,6
139,20150301433,11,11
140,20150301445,9,8
141,20150301443,17,8
142,20150301453,5,5
143,20150301455,6,9
144,201503018128,8,2
145,201503018126,20,4
146,201503018228,7,2
147,201503018226,14,0
148,201503018326,8,5
149,201503018328,17,11
150,201503018426,13,6
151,201503018428,17,7
152,201503018528,11,1
153,201503018526,16,1
154,201303016116,12,6
155,201303016119,8,16
156,201303016216,1,8
157,201303016219,1,8
158,201303016319,3,9
159,201303016316,13,3
160,201303016419,4,10
161,201303016416,13,6
162,201303016516,3,11
163,201303016519,3,9
164,201303016619,5,5
165,201303016616,7,2
166,20150301314,9,7
167,201503013115,5,7
168,20150301324,7,7
169,201503013215,9,5
170,201503013315,5,10
171,20150301334,17,2
172,201503013415,11,9
173,20150301344,12,5
174,20150301354,5,3
175,201503013515,4,7
176,201503013615,13,10
177,20150301364,14,7
178,20140301315,7,7
179,20140301313,11,8
180,20140301325,4,6
181,20140301323,13,9
182,20140301333,3,3
183,20140301335,8,3
184,20140301343,1,4
185,20140301345,6,2
186,20140301355,10,4
187,20140301353,19,13
188,201403031114,6,4
189,20140303113,8,10
190,201403031214,10,5
191,20140303123,14,8
192,20140303133,10,6
193,201403031314,11,8
194,20140303143,12,6
195,201403031414,11,10
196,201403031514,7,7
197,20140303153,6,6
198,20140303163,8,9
199,201403031614,11,7
200,201403031714,5,9
201,20140303173,15,5
202,201303015130,1,11
203,201303015121,6,11
204,201303015230,3,7
205,201303015221,3,9
206,201303015321,3,4
207,201303015330,3,11
208,201303015421,7,5
209,201303015430,5,10
210,201303015530,2,11
211,201303015521,8,6
212,201303015621,4,1
213,201303015630,6,9
214,201303015730,2,15
215,201303015721,8,12
216,201503015130,3,3
217,201503015125,9,7
218,201503015230,6,5
219,201503015225,17,11
220,201503015325,4,6
