Group A,Group B,Group C,Group D
21383.06,17077.54,13636.38,14582.73
19729.92,17258.06,5156.36,12880.28
24071.53,20652.91,4446.92,16412.72
19056.28,20845.06,4892.59,14020.00
19147.18,22296.64,14099.38,16467.70
24912.08,22928.85,13491.50,10580.35
20949.51,19223.46,8399.01,11175.70
18783.71,17576.38,9931.12,11285.81
23013.60,17428.70,4763.15,10739.36
22892.31,21225.45,6181.83,15809.94
25688.52,19788.74,5550.52,10399.75
18060.32,16900.50,5365.55,18523.67
27238.13,15859.28,9639.62,19885.09
23672.50,21499.89,10038.55,16186.03
17160.90,17707.34,14760.57,20738.97
19281.21,17401.61,9305.31,13934.38
26076.76,19445.17,10759.03,16610.01
21771.20,17383.02,4710.57,15936.68
21352.25,16056.39,10920.05,17867.23
26311.10,20658.05,4225.66,12865.98
20101.50,15515.50,6327.76,19009.77
25777.74,22620.97,13924.18,13267.37
22170.00,18788.25,14761.16,19328.94
19137.13,15284.78,9723.83,17503.87
24876.87,19501.43,6902.14,16620.06
24804.81,16081.84,14202.23,11930.67
27358.65,19959.21,13988.59,15408.90
20168.19,15312.54,5970.47,12197.76
22076.18,16367.51,10687.73,18995.51
25026.51,16365.08,9214.33,19185.10
18729.35,17817.88,11769.83,14633.35
22231.97,15116.33,12913.68,14036.49
28596.74,20736.00,5405.18,17429.03
23013.16,19436.92,4579.16,16736.73
26746.56,20386.26,13969.48,19973.46
20319.76,19325.74,7082.78,14310.88
28345.51,18756.31,8050.96,12946.15
21265.56,21572.84,10145.09,11689.35
22498.52,21529.09,5882.23,15142.06
22506.78,19341.47,10727.38,13847.22
27618.91,21295.90,8076.04,11621.37
27873.73,21357.23,7365.00,13249.01
28099.00,17802.39,11070.38,11909.33
28488.23,15101.01,8357.57,18115.39
21263.29,16507.61,11744.09,10748.41
26565.04,16070.54,8171.56,18147.63
25885.56,15452.79,12397.44,17706.24
28735.66,,12552.26,20198.90
25485.87,,4242.14,15277.19
28805.94,,11430.54,14344.31
18369.52,,6643.65,10321.17
,,9970.10,19423.97
,,8964.64,14702.58
,,6571.26,12180.86
,,13451.59,12972.11
,,,12068.83
,,,16064.42
,,,10884.26
