Rank,NA_Sales,EU_Sales,JP_Sales,Other_Sales
1,41.49,29.02,3.77,8.46
2,29.08,3.58,6.81,0.77
3,15.85,12.88,3.79,3.31
4,15.75,11.01,3.28,2.96
5,11.27,8.89,10.22,1
6,23.2,2.26,4.22,0.58
7,11.38,9.23,6.5,2.9
8,14.03,9.2,2.93,2.85
9,14.59,7.06,4.7,2.26
10,26.93,0.63,0.28,0.47
11,9.07,11,1.93,2.75
12,9.81,7.57,4.13,1.92
13,9,6.18,7.2,0.71
14,8.94,8.03,3.6,2.15
15,9.09,8.59,2.53,1.79
16,14.97,4.94,0.24,1.67
17,7.01,9.27,0.97,4.14
18,9.43,0.4,0.41,10.57
19,12.78,3.75,3.54,0.55
20,4.75,9.26,4.16,2.05
21,6.42,4.52,6.04,1.37
22,10.83,2.71,4.18,0.42
23,9.54,3.44,3.84,0.46
24,9.63,5.31,0.06,1.38
25,8.41,5.49,0.47,1.78
26,6.06,3.9,5.38,0.5
27,5.57,3.28,5.65,0.82
28,3.44,5.36,5.32,1.18
29,6.85,5.09,1.87,1.16
30,9.03,4.28,0.13,1.32
31,5.89,5.04,3.12,0.59
32,9.67,3.73,0.11,1.13
33,5.17,4.05,4.34,0.79
34,5.77,5.81,0.35,2.31
35,4.99,5.88,0.65,2.52
36,8.25,4.3,0.07,1.12
37,8.52,3.63,0.08,1.29
38,5.54,5.82,0.49,1.62
39,6.99,4.51,0.3,1.3
40,6.75,2.61,2.66,1.02
41,5.98,4.44,0.48,1.83
42,2.55,3.52,5.33,0.88
43,4.74,3.91,2.67,0.89
44,7.97,2.83,0.13,1.21
45,3.8,5.81,0.36,2.02
46,4.4,2.77,3.96,0.77
47,6.91,2.85,1.91,0.23
48,3.01,0.01,1.1,7.53
49,6.16,3.4,1.2,0.76
50,4.23,3.37,3.08,0.65
51,6.16,2.04,2.69,0.29
52,6.76,3.1,0.14,1.03
53,4.02,3.87,2.54,0.52
54,4.89,2.99,2.13,0.78
55,2.96,4.88,0.81,2.12
56,4.99,3.69,0.38,1.63
57,4.76,3.76,0.44,1.62
58,5.99,2.15,2.12,0.29
59,4.34,2.65,3.15,0.35
60,5.08,3.11,1.25,0.98
61,6.05,3.15,0,1.07
62,6.72,2.63,0.04,0.82
63,7.03,1.98,0.08,0.78
64,5.55,1.94,2.23,0.15
65,3.66,3.07,2.47,0.63
66,6.63,2.36,0.04,0.73
67,3.01,2.47,3.28,0.96
68,4.09,3.73,0.38,1.38
69,5.84,2.89,0.01,0.78
70,3.88,3.42,1.69,0.5
71,5.91,2.38,0.13,0.9
72,4.36,1.71,3,0.23
73,5.58,2.83,0.02,0.77
74,2.01,2.32,4.36,0.41
75,4.46,1.88,1.98,0.7
76,5.03,2.86,0.1,0.85
77,3.54,1.24,3.81,0.18
78,1.11,6.06,0.06,1.26
79,1.79,3.53,2.49,0.68
80,6.82,1.53,0.05,0.08
81,3.81,2.3,1.58,0.73
82,2.91,1.86,3.14,0.43
83,1.06,5.05,0.13,2.01
84,0.98,6.42,0,0.71
85,5.8,2.01,0.13,0.15
86,2.58,3.9,0.66,0.91
87,2.91,2.07,2.73,0.33
88,2.28,1.72,3.63,0.23
89,2.82,1.78,2.69,0.55
90,7.28,0.45,0,0.08
91,2.9,2.83,0.24,1.75
92,3.66,2.42,0.98,0.64
93,2.93,3.29,0.22,1.23
94,2.8,3.3,0.14,1.37
95,4.1,1.89,1.45,0.16
96,3.78,2.17,1.31,0.31
97,5.39,1.18,0.7,0.19
98,3.24,1.35,2.42,0.43
99,4.79,1.9,0,0.69
100,4.46,2.13,0.06,0.69
101,3.83,2.19,0.6,0.7
102,4.52,2.09,0.01,0.67
103,3.51,3.03,0,0.73
104,2.85,2.93,0.35,1.1
105,3.27,2.83,0.08,1.02
106,3.27,2.22,1.4,0.29
107,3.68,1.75,1.42,0.28
108,4.41,1.04,1.39,0.22
109,3.13,2.07,1.27,0.49
110,2.47,3.15,0.24,1.1
111,4.12,1.77,0.87,0.19
112,4.14,2.21,0,0.56
113,0.78,4.32,0.07,1.73
114,2.71,3.02,0.08,1.09
115,2.93,2.75,0.17,0.99
116,2.77,2.8,0.19,1.06
117,3.23,2.35,0.94,0.3
118,3.5,2.64,0,0.67
119,4.15,1.92,0.06,0.64
120,3.27,2.25,0.21,1
121,3.1,2.3,0.28,1.04
122,0.84,4.32,0.11,1.42
123,1.67,2.78,1.6,0.62
124,2.79,2.61,0.17,1.03
125,0.79,4.29,0.05,1.47
126,3.25,1.84,1.03,0.47
127,2.55,2.71,0.25,1.05
128,3.74,0.93,1.69,0.14
129,2.64,2.56,0.16,1.14
130,4.98,1.3,0.08,0.07
131,2.57,1.58,2.06,0.21
132,3.64,1.2,1.49,0.07
133,2.55,1.56,1.29,0.99
134,4.34,1.35,0.06,0.61
135,3.7,1.97,0.09,0.57
136,4.01,1.26,0.87,0.17
137,2.47,0.83,2.87,0.12
138,0.07,6.21,0,0
139,3.11,2.8,0.02,0.33
140,3.92,1.78,0.03,0.51
141,4.05,1.62,0.07,0.49
142,3.54,1.9,0.07,0.6
143,2.45,2.01,0.87,0.72
144,4.47,1.2,0.16,0.19
145,2.63,1.74,0.83,0.83
146,3.18,1.83,0.78,0.24
147,2.41,2.28,0.28,1.01
148,1.88,0,2.33,1.74
149,2.8,2.05,0.17,0.9
150,0.66,0.69,4.35,0.15
151,3.66,1.63,0,0.53
152,1.88,1.47,2.02,0.45
153,2.26,1.89,1.36,0.23
154,3.13,1.94,0.07,0.58
155,2.49,2.05,0.16,0.96
156,2.97,0.69,1.81,0.11
157,2.54,1.95,0.21,0.87
158,2.95,0.6,1.97,0.04
159,3.28,1.65,0.07,0.55
160,2.7,1.91,0.11,0.8
161,2.99,1.92,0.1,0.51
162,0.47,0.57,4.13,0.34
163,3.14,1.24,0.91,0.2
164,2.62,1.64,0.99,0.23
165,3.21,1.11,0.95,0.2
166,3.18,1.24,0.94,0.09
167,2.72,1.87,0,0.84
168,2.07,2.29,0.24,0.82
169,1.97,2.51,0,0.94
170,1.74,1.24,1.87,0.52
171,2.18,0.96,2,0.2
172,3.02,1.12,1.01,0.16
173,3.13,1.71,0.03,0.44
174,1.62,0.77,2.78,0.14
175,1.92,1.08,2.11,0.17
176,3.33,0.79,1.09,0.06
177,3.1,1.56,0.08,0.51
178,1.22,2.48,1.03,0.52
179,2.3,2.46,0.2,0.28
180,4.26,0.26,0.01,0.71
181,0.65,0.75,3.61,0.2
182,2.43,2.15,0,0.62
183,2.93,1.25,0.83,0.2
184,2.32,1.3,1.27,0.31
185,2.49,0.98,1.57,0.15
186,1.08,3.48,0.03,0.58
187,1.9,1.83,0.95,0.49
188,2.1,0.74,2.2,0.11
189,0.96,2.02,1.89,0.28
190,1.64,2.48,0.44,0.58
