Date,AvgTemp,MaxTemp,MinTemp,Precip,Snowfall,SnowDepth
1/1/1942,,27,6,0.06,1,5
1/2/1942,,20,3,0.66,8,13
1/3/1942,,9,-6,0.01,0.5,
1/4/1942,,17,-9,0,0.1,
1/5/1942,,10,-16,0,0,
1/6/1942,,9,-21,0.05,0.8,
1/7/1942,,,-16,0.38,3.5,16
1/8/1942,,14,-13,0,0,
1/9/1942,,10,-9,0,0.2,
1/10/1942,,14,-30,0.05,0.8,
1/11/1942,,16,-6,0.07,1.8,16
1/12/1942,,27,-7,0,0,
1/13/1942,,24,7,0,0.1,
1/14/1942,,33,8,0.02,0.5,14
1/15/1942,,32,2,0.1,1.8,15
1/16/1942,,24,-1,0,0,
1/17/1942,,40,7,0,0,
1/18/1942,,42,32,0,0,
1/19/1942,,34,23,0,0,11
1/20/1942,,34,25,0,0,
1/21/1942,,40,10,0,0,
1/22/1942,,38,21,0,0,
1/23/1942,,42,26,0,0,11
1/24/1942,,37,25,0,0,
1/25/1942,,24,12,0,0,
1/26/1942,,25,18,0,0,
1/27/1942,,34,24,0.01,0.1,
1/28/1942,,28,,0,0,
1/29/1942,,12,-5,0,0,
1/30/1942,,26,10,0.14,3,13
1/31/1942,,22,18,0.02,0.3,13
2/1/1942,,20,-2,0,0,
2/2/1942,,,-21,0,0,
2/3/1942,,20,-12,0,0,
2/4/1942,,31,20,0,0,
2/5/1942,,30,20,0,0,
2/6/1942,,34,,0,0,
2/7/1942,,32,16,0,0,
2/8/1942,,,-12,0,0,
2/9/1942,,24,-16,0,0,
2/10/1942,,24,6,0,0,
2/11/1942,,34,12,0,0,
2/12/1942,,29,,0,0,
2/13/1942,,40,1,0,0,
2/14/1942,,42,20,0,0,
2/15/1942,,43,23,0,0,9
2/16/1942,,36,22,0.18,2.5,11
2/17/1942,,36,24,0,0,
2/18/1942,,26,-5,0,0.1,
2/19/1942,,22,,0,0,
2/20/1942,,20,-15,0,0,
2/21/1942,,20,-15,0,0,
2/22/1942,,28,-4,0,0,
2/23/1942,,28,-4,0,0,
2/24/1942,,32,-10,0,0,
2/25/1942,,33,12,0,0,
2/26/1942,,,2,0,0,
2/27/1942,,36,16,0,0,
2/28/1942,,48,22,0.1,1.5,10
3/1/1942,,46,14,0,0,10
3/2/1942,,40,24,0,0,
3/3/1942,,48,18,0,0,
3/4/1942,,43,13,0,0,
3/5/1942,,42,30,0,0,
3/6/1942,,38,,0,0,
3/7/1942,,38,12,0.27,2,
3/8/1942,,36,22,0,0,
3/9/1942,,36,18,1.4,12,24
3/10/1942,,38,20,0,0,
3/11/1942,,38,2,0.32,2.1,
3/12/1942,,42,-2,0,0,
3/13/1942,,46,-2,0,0,
3/14/1942,,51,8,0,0,
3/15/1942,,50,6,0,0,22
3/16/1942,,44,24,0,0,
3/17/1942,,40,32,0.43,0,
3/18/1942,,48,28,0.1,0,
3/19/1942,,42,9,0,0,
3/20/1942,,42,6,0,0,
3/21/1942,,37,32,0,0,
3/22/1942,,42,24,0.22,1.5,
3/23/1942,,42,24,0,0,
3/24/1942,,44,14,0,0,
3/25/1942,,48,13,0,0,
3/26/1942,,46,22,0,0,21
3/27/1942,,46,30,0,0,
3/28/1942,,36,24,0.09,0.3,
3/29/1942,,38,21,0,0,
3/30/1942,,48,21,0,0,
3/31/1942,,43,25,0,0,17
4/1/1942,,47,20,0,,
4/2/1942,,42,24,0,,
4/3/1942,,46,15,0,,9
4/4/1942,,52,23,0,,8
4/5/1942,,49,28,0.29,,6
4/6/1942,,34,26,0.45,3.3,8
4/7/1942,,49,22,0,,
4/8/1942,,46,16,0,,
4/9/1942,,47,14,0,,
4/10/1942,,49,20,0,,3
4/11/1942,,48,29,0,,
4/12/1942,,44,19,0,,
4/13/1942,,52,17,0,,
4/14/1942,,65,34,0,,
4/15/1942,,73,37,0,,0
4/16/1942,,72,38,0,,
4/17/1942,,64,37,0.13,,
4/18/1942,,46,32,0,,
4/19/1942,,53,26,0,,
4/20/1942,,57,26,0,,
4/21/1942,,65,23,0,,
4/22/1942,,74,26,0,,
4/23/1942,,76,30,0,,
4/24/1942,,83,34,0,,
4/25/1942,,85,34,0,,
4/26/1942,,77,45,0,,
4/27/1942,,82,47,0,,
4/28/1942,,67,44,0,,
4/29/1942,,78,44,0,,
4/30/1942,,71,47,0.36,,
5/1/1942,,79,48,0,,
5/2/1942,,71,52,0.1,,
5/3/1942,,63,42,0.1,,
5/4/1942,,52,32,0,,
5/5/1942,,57,30,0,,
5/6/1942,,63,25,0,,
5/7/1942,,69,33,0,,
5/8/1942,,76,28,0.01,,
5/9/1942,,66,40,0.15,,
5/10/1942,,66,25,0,,
5/11/1942,,70,27,0,,
5/12/1942,,67,44,0.57,,
5/13/1942,,63,38,0,,
5/14/1942,,77,49,0.1,,
5/15/1942,,58,32,0,,
5/16/1942,,51,42,0.4,,
5/17/1942,,68,30,0,,
5/18/1942,,57,43,0.25,,
5/19/1942,,65,45,0.01,,
5/20/1942,,61,31,0,,
5/21/1942,,66,31,0,,
5/22/1942,,72,35,0,,
5/23/1942,,63,42,0.04,,
5/24/1942,,65,38,0.02,,
5/25/1942,,76,30,0,,
5/26/1942,,64,47,0.34,,
5/27/1942,,66,36,0,,
5/28/1942,,65,38,0,,
5/29/1942,,69,52,0,,
5/30/1942,,66,49,0.31,,
5/31/1942,,55,46,0,,
6/1/1942,,64,51,0,,
6/2/1942,,63,48,0.01,,
6/3/1942,,75,53,0.01,,
6/4/1942,,74,54,0.01,,
6/5/1942,,72,42,0,,
6/6/1942,,63,52,0.98,,
6/7/1942,,66,45,0,,
6/8/1942,,72,37,0,,
6/9/1942,,77,38,0,,
6/10/1942,,83,46,0,,
6/11/1942,,75,60,0.39,,
6/12/1942,,71,60,0,,
6/13/1942,,67,46,0,,
6/14/1942,,63,38,0,,
6/15/1942,,71,37,0,,
6/16/1942,,74,41,0,,
6/17/1942,,77,42,0,,
6/18/1942,,73,51,0.01,,
6/19/1942,,70,54,0.05,,
6/20/1942,,74,50,0,,
6/21/1942,,75,54,0.17,,
6/22/1942,,65,45,0,,
6/23/1942,,62,48,0.01,,
6/24/1942,,63,40,0,,
6/25/1942,,72,41,0,,
6/26/1942,,73,46,0,,
6/27/1942,,79,46,0,,
6/28/1942,,80,56,0,,
6/29/1942,,83,63,0,,
6/30/1942,,79,61,0.08,,
7/1/1942,,77,42,0,,
7/2/1942,,68,42,0,,
7/3/1942,,66,53,0.39,,
7/4/1942,,67,47,0,,
7/5/1942,,71,46,0,,
7/6/1942,,63,42,0.14,,
7/7/1942,,68,48,0,,
7/8/1942,,59,41,0.09,,
7/9/1942,,70,38,0,,
7/10/1942,,76,55,0,,
7/11/1942,,73,50,0.01,,
7/12/1942,,86,49,0,,
7/13/1942,,85,64,0,,
7/14/1942,,71,45,0,,
7/15/1942,,74,44,0,,
7/16/1942,,78,51,0,,
7/17/1942,,76,60,0.2,,
7/18/1942,,89,60,0,,
7/19/1942,,87,66,0.03,,
7/20/1942,,73,67,0,,
7/21/1942,,77,56,0,,
7/22/1942,,78,52,0,,
7/23/1942,,75,57,0,,
7/24/1942,,81,51,0,,
7/25/1942,,80,55,0,,
7/26/1942,,80,56,0,,
7/27/1942,,76,57,0.1,,
7/28/1942,,78,54,0,,
7/29/1942,,79,58,0.74,,
7/30/1942,,73,54,0.1,,
7/31/1942,,71,63,0.09,,
8/1/1942,,71,46,0,,
8/2/1942,,71,61,0,,
8/3/1942,,74,46,0,,
8/4/1942,,75,46,0,,
8/5/1942,,71,40,0,,
8/6/1942,,78,47,0,,
8/7/1942,,79,54,0,,
8/8/1942,,79,54,0,,
8/9/1942,,75,63,0,,
8/10/1942,,,57,0.04,,
8/11/1942,,71,49,0,,
8/12/1942,,76,37,0,,
8/13/1942,,78,48,0,,
8/14/1942,,83,54,0,,
8/15/1942,,76,63,0.15,,
8/16/1942,,73,59,0.08,,
8/17/1942,,73,49,0,,
8/18/1942,,73,45,0,,
8/19/1942,,80,56,0,,
8/20/1942,,78,66,0,,
8/21/1942,,88,51,0,,
8/22/1942,,86,62,0.75,,
8/23/1942,,62,48,0.06,,
8/24/1942,,66,35,0,,
8/25/1942,,71,40,0,,
8/26/1942,,75,57,0,,
8/27/1942,,74,58,0.7,,
8/28/1942,,69,59,0,,
8/29/1942,,75,53,0,,
8/30/1942,,75,60,0,,
8/31/1942,,85,62,0,,
9/1/1942,,84,61,0,0,
9/2/1942,,80,65,0.06,0,
9/3/1942,,72,47,0,0,
9/4/1942,,67,34,0,0,
9/5/1942,,65,45,0.06,0,
9/6/1942,,72,32,0,0,
9/7/1942,,72,50,0,0,
9/8/1942,,73,59,0,0,
9/9/1942,,70,60,0,0,
9/10/1942,,77,54,0.2,0,
9/11/1942,,80,50,0,0,
9/12/1942,,78,54,0.25,0,
9/13/1942,,73,44,0,0,
9/14/1942,,62,51,0.13,0,
9/15/1942,,72,58,0.13,0,
9/16/1942,,74,54,0.14,0,
9/17/1942,,73,57,0.23,0,
9/18/1942,,78,58,0.07,0,
9/19/1942,,74,45,0.52,0,
9/20/1942,,60,35,0,0,
9/21/1942,,63,38,0,0,
9/22/1942,,60,38,0.26,0,
9/23/1942,,47,31,0.75,0,
9/24/1942,,47,32,0.66,0.4,
9/25/1942,,45,31,0.28,0,
9/26/1942,,41,36,0.81,0,
9/27/1942,,44,32,0.1,0.2,0
