Date,AvgTemp,MaxTemp,MinTemp,Precip,Snowfall,SnowDepth
7/1/2011,,79,41,0,0,0
7/2/2011,,79,48,0,0,0
7/3/2011,,81,47,0,0,0
7/4/2011,,79,42,0,0,0
7/5/2011,,83,52,0.21,0,0
7/6/2011,,83,55,0,0,0
7/7/2011,,75,43,0,0,0
7/8/2011,,79,45,0,0,0
7/9/2011,,78,44,0,0,0
7/10/2011,,76,45,0,0,0
7/11/2011,,84,64,0,0,0
7/12/2011,,84,53,0.23,0,0
7/13/2011,,75,46,0,0,0
7/14/2011,,73,43,0,0,0
7/15/2011,,77,43,0,0,0
7/16/2011,,80,46,0.03,0,0
7/17/2011,,85,63,0,0,0
7/18/2011,,86,67,1.06,0,0
7/19/2011,,88,61,0,0,0
7/20/2011,,81,59,0,0,0
7/21/2011,,86,67,0.08,0,0
7/22/2011,,85,52,0,0,0
7/23/2011,,86,52,0,0,0
7/24/2011,,81,61,0,0,0
7/25/2011,,71,55,0,0,0
7/26/2011,,79,51,0.25,0,0
7/27/2011,,72,45,0,0,0
7/28/2011,,71,,0,0,0
7/29/2011,,82,62,0,0,0
7/30/2011,,83,49,0,0,0
7/31/2011,,85,,0,0,0
8/1/2011,,86,47,0,0,0
8/2/2011,,85,49,0,0,0
8/3/2011,,80,54,0.16,0,0
8/4/2011,,75,56,0,0,0
8/5/2011,,85,56,0,0,0
8/6/2011,,85,56,0,0,0
8/7/2011,,83,59,0.34,0,0
8/8/2011,,77,50,0.42,0,0
8/9/2011,,77,50,0,0,0
8/10/2011,,77,55,1.86,0,0
8/11/2011,,67,40,0,0,0
8/12/2011,,77,43,0,0,0
8/13/2011,,80,52,0.01,0,0
8/14/2011,,74,53,0.31,0,0
8/15/2011,,67,44,0,0,0
8/16/2011,,77,44,0,0,0
8/17/2011,,81,48,0,0,0
8/18/2011,,77,48,0.13,0,0
8/19/2011,,78,48,0,0,0
8/20/2011,,78,50,0,0,0
8/21/2011,,78,50,0.03,0,0
8/22/2011,,67,41,0,0,0
8/23/2011,,71,41,0,0,0
8/24/2011,,79,57,0,0,0
8/25/2011,,78,58,0.58,0,0
8/26/2011,,66,41,0,0,0
8/27/2011,,75,40,0.02,0,0
8/28/2011,,72,43,0,0,0
8/29/2011,,74,43,0,0,0
8/30/2011,,76,43,0.05,0,0
8/31/2011,,79,43,0.05,0,0
9/1/2011,,70,60,0.04,0,0
