Date,AvgTemp,MaxTemp,MinTemp,Precip,Snowfall,SnowDepth
9/13/2008,,,,0,0,
9/14/2008,,,,0.86,0,
9/15/2008,,,,0,0,
9/16/2008,,,,0,0,
9/17/2008,,,,0,0,
9/18/2008,,,,0,0,
9/21/2008,,,,,,
9/22/2008,,,,0,0,
9/23/2008,,,,0,0,
9/24/2008,,,,0,0,
9/25/2008,,,,0,0,
9/26/2008,,,,0,0,
9/27/2008,,,,0,0,
9/28/2008,,,,0.08,0,
9/29/2008,,,,0,0,
9/30/2008,,,,0.15,0,
10/1/2008,,,,0.53,0,
10/2/2008,,,,0.13,0,
10/3/2008,,,,0.09,0,
10/5/2008,,,,,,
10/6/2008,,,,0,0,
10/7/2008,,,,0,0,
10/8/2008,,,,0,0,
10/9/2008,,,,0.35,0,
10/10/2008,,,,0,0,
10/12/2008,,,,,,
10/13/2008,,,,0,0,
10/14/2008,,,,0.34,0,
10/15/2008,,,,0,0,
10/16/2008,,,,0.09,0,
10/17/2008,,,,0,0,
10/18/2008,,,,0,0,
10/19/2008,,,,0,0,
10/20/2008,,,,0.12,0,
10/21/2008,,,,0.09,0,
10/22/2008,,,,0,0,
10/23/2008,,,,0,0,
10/24/2008,,,,0,0,
10/25/2008,,,,0.02,0,
10/26/2008,,,,0.01,0,
10/27/2008,,,,0.56,0,
10/28/2008,,,,0.22,0,
10/30/2008,,,,0,0,
10/31/2008,,,,0,0,
11/1/2008,,,,0,0,
11/2/2008,,,,0,0,
11/3/2008,,,,0.08,0,
11/4/2008,,,,0,0,
11/5/2008,,,,0,0,
11/8/2008,,,,,,
11/9/2008,,,,0.34,0,
11/10/2008,,,,0.23,0,
11/11/2008,,,,0.11,0,
11/12/2008,,,,0,,
11/13/2008,,,,0.33,,
11/14/2008,,,,0.27,,
11/15/2008,,,,0.07,,
11/16/2008,,,,0,,
11/22/2008,,,,,,
11/23/2008,,,,0,,
11/25/2008,,,,,,
11/26/2008,,,,0,,
11/27/2008,,,,0.01,,
11/28/2008,,,,0.14,,
11/29/2008,,,,0.11,,
11/30/2008,,,,0,,
12/1/2008,,,,0.12,,
12/3/2008,,,,0,,
12/4/2008,,,,0.21,,
12/5/2008,,,,0.04,,
12/6/2008,,,,0.08,,
12/7/2008,,,,0.12,,
12/9/2008,,,,,,
12/10/2008,,,,0.04,,
12/11/2008,,,,0.07,,
12/12/2008,,,,0,,
12/13/2008,,,,0.06,,
12/14/2008,,,,0.24,,
12/15/2008,,,,0.49,,
12/16/2008,,,,0.01,,
12/17/2008,,,,0.14,,
12/18/2008,,,,0,,
12/20/2008,,,,,,
12/21/2008,,,,0.05,,
12/22/2008,,,,0.11,,
12/23/2008,,,,0,,
12/24/2008,,,,0.12,,
12/25/2008,,,,0.31,,
12/26/2008,,,,0.12,,
12/27/2008,,,,0.14,,
12/28/2008,,,,1.03,,
12/29/2008,,,,0.37,,
12/30/2008,,,,0.2,,
12/31/2008,,,,0.02,,
1/1/2009,,,,0,,
1/2/2009,,,,0.09,,
1/4/2009,,,,0,,
1/5/2009,,,,0.11,,
1/6/2009,,,,0,0,
1/7/2009,,,,0,0,
1/8/2009,,,,0.04,,
1/9/2009,,,,0,,
1/12/2009,,,,,,
1/13/2009,,,,0.09,,
1/14/2009,,,,0,,
1/15/2009,,,,0,,
1/16/2009,,,,0.06,,
1/17/2009,,,,0,,
1/18/2009,,,,0.21,,
1/19/2009,,,,0,0,
1/20/2009,,,,0,0,
1/21/2009,,,,0,,
1/22/2009,,,,0,,
1/23/2009,,,,0,0,
1/24/2009,,,,0,,
1/26/2009,,,,,,
1/29/2009,,,,0,,
1/30/2009,,,,0.06,,
1/31/2009,,,,0.05,,
2/1/2009,,,,0.04,,
2/2/2009,,,,0.04,,
2/3/2009,,,,0.02,,
2/4/2009,,,,0,0,
2/7/2009,,,,,,
2/8/2009,,,,0,,
2/9/2009,,,,0,0,
2/10/2009,,,,0.29,,
2/11/2009,,,,0,0,
2/12/2009,,,,0.13,,
2/13/2009,,,,0.15,,
2/16/2009,,,,,,
2/17/2009,,,,0.03,,
2/18/2009,,,,0.16,,
2/19/2009,,,,0.19,,
2/22/2009,,,,,,
2/25/2009,,,,0,0,
2/26/2009,,,,0.12,,
3/1/2009,,,,0,,
3/2/2009,,,,0,0,
3/4/2009,,,,,,
3/5/2009,,,,0,0,
3/6/2009,,,,0,,
3/9/2009,,,,,,
3/10/2009,,,,0,0,
3/11/2009,,,,0.19,,
3/15/2009,,,,0,0,
3/17/2009,,,,,,
3/18/2009,,,,0,0,
3/19/2009,,,,0,0,
3/20/2009,,,,0,0,
3/21/2009,,,,0.05,,
3/28/2009,,,,0,,
3/29/2009,,,,0,,
3/30/2009,,,,0.28,,
3/31/2009,,,,0,0,
4/1/2009,,,,0.23,0,
4/2/2009,,,,0,,
4/3/2009,,,,0,,
4/4/2009,,,,0.46,,
4/6/2009,,,,0,0,
4/7/2009,,,,0,0,
4/8/2009,,,,0,,
4/9/2009,,,,0,0,
4/10/2009,,,,0,0,
4/13/2009,,,,,,
4/14/2009,,,,0,0,
4/15/2009,,,,0,0,
4/16/2009,,,,0,0,
4/17/2009,,,,0,0,
4/18/2009,,,,0,0,
4/24/2009,,,,,,0
4/25/2009,,,,0.16,,
4/26/2009,,,,0.09,,
4/30/2009,,,,0,0,
5/1/2009,,,,0.12,,
5/2/2009,,,,0,,
5/3/2009,,,,0,0,
5/4/2009,,,,0,0,
5/5/2009,,,,0,0,
5/6/2009,,,,0,0,
5/7/2009,,,,0,0,
5/8/2009,,,,0.27,,
5/9/2009,,,,0,,
5/10/2009,,,,0,0,
5/11/2009,,,,0,0,
5/12/2009,,,,0,0,
5/13/2009,,,,0,0,
5/14/2009,,,,0.79,,
5/15/2009,,,,0.1,,
5/16/2009,,,,0.14,,
6/1/2009,,,,0.23,,
6/2/2009,,,,0.05,,
6/3/2009,,,,0,0,
6/6/2009,,,,0,,
6/7/2009,,,,0.04,,
6/8/2009,,,,0,,
6/12/2009,,,,,,
6/14/2009,,,,,,
6/15/2009,,,,0,0,
6/16/2009,,,,0,0,
6/17/2009,,,,0,0,
6/18/2009,,,,0,0,
6/19/2009,,,,0,0,
6/20/2009,,,,0.03,,
6/29/2009,,,,,,
6/30/2009,,,,0.29,,
7/1/2009,,,,0,,
7/2/2009,,,,0.02,,
7/4/2009,,,,,,
7/6/2009,,,,,,
7/7/2009,,,,0,,
7/8/2009,,,,0,0,
7/9/2009,,,,0,0,
7/10/2009,,,,0,0,
7/13/2009,,,,,,
7/15/2009,,,,,,
7/16/2009,,,,0.69,,
7/17/2009,,,,0.17,,
7/18/2009,,,,0,,
7/25/2009,,,,,,
7/26/2009,,,,0.86,,
7/27/2009,,,,0,,
7/28/2009,,,,0.32,,
7/29/2009,,,,0,,
7/30/2009,,,,0,0,
7/31/2009,,,,,,
8/3/2009,,,,,,
8/4/2009,,,,0.11,,
8/5/2009,,,,0.02,,
8/6/2009,,,,0,0,
8/7/2009,,,,0,0,
8/9/2009,,,,0.5,,
8/11/2009,,,,0,,
8/12/2009,,,,0,0,
8/13/2009,,,,0,0,
8/16/2009,,,,,,
8/17/2009,,,,0.8,,
8/18/2009,,,,0,0,
8/19/2009,,,,0,0,
8/20/2009,,,,0.45,,
8/21/2009,,,,0.43,,
8/22/2009,,,,0.36,,
8/23/2009,,,,0,,
8/24/2009,,,,0,0,
8/25/2009,,,,0,0,
8/26/2009,,,,0.09,,
8/28/2009,,,,,,
8/29/2009,,,,0.62,,
8/31/2009,,,,,,
9/1/2009,,,,0,0,
9/2/2009,,,,0,0,
9/3/2009,,,,0,0,
9/4/2009,,,,0,0,
9/5/2009,,,,0,0,
9/6/2009,,,,0,0,
9/7/2009,,,,0,0,
9/8/2009,,,,0,0,
9/9/2009,,,,0,0,
9/10/2009,,,,0,0,
9/12/2009,,,,0,0,
9/15/2009,,,,,,
9/16/2009,,,,0,0,
9/17/2009,,,,0,0,
9/18/2009,,,,0,,
9/21/2009,,,,,,
9/22/2009,,,,0.3,,
9/23/2009,,,,0,,
9/24/2009,,,,0,0,
9/25/2009,,,,0,0,
9/26/2009,,,,0,0,
9/28/2009,,,,0.15,,
9/29/2009,,,,0.27,,
10/2/2009,,,,,,
10/3/2009,,,,0.8,,
10/4/2009,,,,0.1,,
10/5/2009,,,,0.26,,
10/6/2009,,,,0,,
10/7/2009,,,,1.22,,
10/8/2009,,,,0,,
10/9/2009,,,,0,0,
10/10/2009,,,,0,0,
10/12/2009,,,,,,0
10/13/2009,,,,0.12,,
10/14/2009,,,,0,0,
10/15/2009,,,,0,0,
10/16/2009,,,,0,0,
10/18/2009,,,,0,0,
10/19/2009,,,,0,0,
10/20/2009,,,,0,0,
10/21/2009,,,,0,,
10/22/2009,,,,1.2,,
10/23/2009,,,,0,0,
10/24/2009,,,,0.65,,
10/25/2009,,,,0.04,,
10/26/2009,,,,0.02,,
10/27/2009,,,,0.72,,
10/28/2009,,,,0,0,
10/29/2009,,,,0,0,
10/30/2009,,,,0.19,,
10/31/2009,,,,0.67,,
11/1/2009,,,,0.06,,
11/2/2009,,,,0.04,,
11/3/2009,,,,0.09,,
11/5/2009,,,,,,0
11/6/2009,,,,0,,
11/9/2009,,,,,,
11/10/2009,,,,0,0,
11/11/2009,,,,0,0,
11/12/2009,,,,0,0,
11/13/2009,,,,0,0,
11/15/2009,,,,0.02,,
11/16/2009,,,,0,0,
11/17/2009,,,,0,0,
11/18/2009,,,,0,0,
11/19/2009,,,,0,,
11/20/2009,,,,0.03,,
11/21/2009,,,,0,0,
11/23/2009,,,,0,,
11/24/2009,,,,0,0,
11/25/2009,,,,0.05,,
11/26/2009,,,,0.2,,
11/27/2009,,,,0.53,0,
11/30/2009,,,,0.12,,
3/11/2010,,,,0.03,,
3/12/2010,,,,0,,
3/13/2010,,,,0.03,,
3/14/2010,,,,0,,
3/15/2010,,,,0,0,
3/16/2010,,,,0,0,
3/17/2010,,,,0,0,
3/18/2010,,,,0,0,
3/19/2010,,,,0,,
3/22/2010,,,,,,0
3/23/2010,,,,0,0,
3/24/2010,,,,0,0,
3/25/2010,,,,0,0,
3/26/2010,,,,0,,
3/27/2010,,,,0,0,
3/28/2010,,,,0.07,0,
3/29/2010,,,,0,0,
3/30/2010,,,,0,0,
3/31/2010,,,,0,0,
4/1/2010,,,,0,0,
4/2/2010,,,,0,0,
4/3/2010,,,,0,0,
4/4/2010,,,,0.35,0,
4/5/2010,,,,0.26,0,
4/9/2010,,,,,,
4/10/2010,,,,0,0,
4/12/2010,,,,,,0
4/13/2010,,,,0,0,
4/14/2010,,,,0,0,
4/15/2010,,,,0.03,,
4/16/2010,,,,0.12,,
4/17/2010,,,,0.06,,
4/19/2010,,,,,,
4/20/2010,,,,0,0,
4/21/2010,,,,0,0,
4/22/2010,,,,0,0,
4/23/2010,,,,0,0,
4/24/2010,,,,0,0,
4/26/2010,,,,0,0,
4/27/2010,,,,0,0,
4/28/2010,,,,0,0,
4/29/2010,,,,0,0,
4/30/2010,,,,0,0,
5/1/2010,,,,0.1,,
5/3/2010,,,,,,
5/4/2010,,,,0,0,
5/5/2010,,,,0.28,,
5/6/2010,,,,0.17,,
5/7/2010,,,,0,0,
5/8/2010,,,,0.28,,
5/10/2010,,,,0,0,
5/11/2010,,,,0,0,
5/12/2010,,,,0,0,
5/13/2010,,,,0,0,
5/14/2010,,,,0.1,,
5/17/2010,,,,,,0
5/18/2010,,,,0,0,
5/19/2010,,,,0,0,
5/20/2010,,,,0,0,
6/6/2010,,,,0.87,,
6/7/2010,,,,0.1,,
6/8/2010,,,,0,0,
6/9/2010,,,,0.33,,
6/10/2010,,,,0.38,,
6/11/2010,,,,0,0,
6/12/2010,,,,0.81,,
6/14/2010,,,,,,
6/18/2010,,,,,,
6/19/2010,,,,0,0,
6/20/2010,,,,0.04,,
6/21/2010,,,,0,0,
6/22/2010,,,,0.3,,
6/23/2010,,,,0.07,,
6/24/2010,,,,0.47,,
6/25/2010,,,,0,,
6/26/2010,,,,0.24,,
6/28/2010,,,,0.21,,
6/29/2010,,,,0,0,
6/30/2010,,,,0,0,
7/1/2010,,,,0,0,
7/2/2010,,,,0,0,
7/6/2010,,,,,,
7/7/2010,,,,0.02,,
7/8/2010,,,,0.03,,
7/9/2010,,,,0.01,0,
7/10/2010,,,,0,0,
7/12/2010,,,,0.02,,
7/13/2010,,,,0,0,
7/14/2010,,,,0,0,
7/15/2010,,,,0,,
7/16/2010,,,,0.1,,
7/17/2010,,,,0.24,,
7/19/2010,,,,,,
7/20/2010,,,,0,0,
7/21/2010,,,,0.99,,
7/22/2010,,,,0,0,
7/23/2010,,,,0.01,,
