Date,AvgTemp,MaxTemp,MinTemp,Precip,Snowfall,SnowDepth
8/9/2015,,,,0,0,
8/10/2015,,,,0,,
8/11/2015,,,,0.12,,
8/12/2015,,,,0,,
8/13/2015,,,,0,,
8/14/2015,,,,0,,
8/15/2015,,,,0,,
8/16/2015,,,,0,,
8/17/2015,,,,0,,
8/18/2015,,,,0.04,,
8/19/2015,,,,0.15,,
8/20/2015,,,,0.85,,
8/21/2015,,,,0.22,,
8/22/2015,,,,0,,
8/23/2015,,,,0,,
8/24/2015,,,,0.66,,
8/25/2015,,,,0.09,,
8/26/2015,,,,0.09,,
8/27/2015,,,,0,,
8/28/2015,,,,0,,
8/29/2015,,,,0.19,,
8/30/2015,,,,0,,
8/31/2015,,,,0,,
9/1/2015,,,,0,,
9/3/2015,,,,0.05,,
9/4/2015,,,,0,,
9/5/2015,,,,0,,
9/7/2015,,,,0,,
9/9/2015,,,,0.1,,
9/10/2015,,,,0.8,,
9/12/2015,,,,0,,
9/13/2015,,,,0,,
9/14/2015,,,,0,,
9/15/2015,,,,0,,
9/16/2015,,,,0,,
9/17/2015,,,,0,,
9/18/2015,,,,0.19,,
9/19/2015,,,,0.45,,
9/20/2015,,,,0.03,,
9/21/2015,,,,0,,
9/22/2015,,,,0,,
9/23/2015,,,,0,,
9/24/2015,,,,0,,
9/25/2015,,,,0,,
9/26/2015,,,,0,,
9/27/2015,,,,0,,
9/28/2015,,,,0,,
9/29/2015,,,,0.27,,
9/30/2015,,,,0,,
10/1/2015,,,,0,,
10/2/2015,,,,0,,
10/3/2015,,,,0,,
10/4/2015,,,,0.01,,
10/5/2015,,,,0,,
10/6/2015,,,,0,,
10/7/2015,,,,0,,
10/8/2015,,,,0,,
10/9/2015,,,,0.49,,
10/10/2015,,,,0,,
10/11/2015,,,,0,,
10/12/2015,,,,0,,
10/13/2015,,,,0.06,,
10/14/2015,,,,0.06,,
10/15/2015,,,,0.02,,
10/16/2015,,,,0.12,,
10/17/2015,,,,0,,
10/18/2015,,,,0,,
10/22/2015,,,,0.44,,
10/24/2015,,,,0.14,,
10/25/2015,,,,0.76,,
10/26/2015,,,,0,,
10/27/2015,,,,0.03,,
10/29/2015,,,,0.63,,
11/1/2015,,,,0.52,,
11/2/2015,,,,0,,
11/3/2015,,,,0,,
11/4/2015,,,,0,,
11/5/2015,,,,0,,
11/6/2015,,,,0.92,,
11/7/2015,,,,0.11,,
11/8/2015,,,,0.11,,
11/9/2015,,,,0,,
11/10/2015,,,,0,,
11/12/2015,,,,0.94,,
11/13/2015,,,,0.44,,
11/20/2015,,,,0.92,,
11/24/2015,,,,0.23,,
11/27/2015,,,,0.43,,
12/3/2015,,,,0.76,,
12/12/2015,,,,0.12,,
12/14/2015,,,,0.52,,
12/15/2015,,,,1.32,,
12/18/2015,,,,0.42,,
12/19/2015,,,,0,,
12/20/2015,,,,0,,
12/21/2015,,,,0,,
12/22/2015,,,,0.03,,
12/24/2015,,,,0.85,,
12/25/2015,,,,0,,
12/26/2015,,,,0,,
12/27/2015,,,,0,,
12/29/2015,,,,,6.3,
3/28/2016,,,,0.45,,
3/29/2016,,,,0,,
3/31/2016,,,,0.52,,
4/1/2016,,,,0.5,,
4/9/2016,,,,0.4,,
4/15/2016,,,,0.35,,
4/16/2016,,,,0,,
4/17/2016,,,,0,,
4/18/2016,,,,0.02,,
4/19/2016,,,,0,,
4/20/2016,,,,0,,
4/21/2016,,,,0,,
4/22/2016,,,,0.3,,
4/23/2016,,,,0,,
4/24/2016,,,,0.04,,
4/26/2016,,,,0.65,,
4/27/2016,,,,0.04,,
4/30/2016,,,,0,0,
5/1/2016,,,,0,0,
5/2/2016,,,,0,,
5/3/2016,,,,0,0,
5/4/2016,,,,0.04,,
5/5/2016,,,,0.08,,
5/6/2016,,,,0,,
5/7/2016,,,,0.02,,
5/8/2016,,,,0.08,,
5/9/2016,,,,0,0,
5/10/2016,,,,0,0,
5/11/2016,,,,0,,
5/12/2016,,,,0,0,
5/13/2016,,,,0.24,,
5/14/2016,,,,0.02,,
5/15/2016,,,,0.01,0.4,
5/16/2016,,,,0,,
5/17/2016,,,,0.02,,
5/18/2016,,,,0,0,
5/19/2016,,,,0,0,
5/20/2016,,,,0,,
5/21/2016,,,,0,,
5/22/2016,,,,0,0,
5/23/2016,,,,0,,
5/25/2016,,,,0.08,,0
5/26/2016,,,,0.24,,
5/27/2016,,,,0.18,,
5/28/2016,,,,0.14,,
5/29/2016,,,,0.18,,
5/30/2016,,,,0.06,,
5/31/2016,,,,0,,
6/1/2016,,,,0,,
6/2/2016,,,,0.32,,
