,Date,MaxTemp,MinTemp,Precip,Snowfall,SnowDepth
1454,12/25/1945,25.0,18.0,0.12,1.7,8.0
1805,12/25/1946,20.0,13.0,0.22,4.5,9.0
3084,12/25/1950,11.0,-7.0,0.0,0.4,14.0
3449,12/25/1951,17.0,-16.0,0.0,0.0,11.0
3815,12/25/1952,37.0,30.0,0.05,0.8,1.0
4180,12/25/1953,41.0,31.0,0.0,0.0,0.0
4545,12/25/1954,36.0,16.0,0.0,0.0,4.0
4910,12/25/1955,36.0,19.0,0.01,0.4,13.0
5276,12/25/1956,26.0,-1.0,0.0,0.0,9.0
5641,12/25/1957,36.0,17.0,0.3,3.0,3.0
6006,12/25/1958,10.0,-18.0,0.0,0.0,19.0
6371,12/25/1959,33.0,21.0,0.03,0.6,4.0
6737,12/25/1960,28.0,19.0,0.08,1.1,8.0
7102,12/25/1961,32.0,2.0,0.0,0.0,12.0
7832,12/25/1963,32.0,17.0,0.09,2.0,11.0
8198,12/25/1964,29.0,23.0,0.0,0.0,15.0
8563,12/25/1965,29.0,9.0,0.0,0.0,3.0
8928,12/25/1966,18.0,9.0,0.0,0.0,4.0
9293,12/25/1967,25.0,15.0,0.22,3.2,7.0
10024,12/25/1969,25.0,9.0,0.06,2.0,10.0
10389,12/25/1970,25.0,16.0,0.12,2.8,14.0
11120,12/25/1972,25.0,16.0,0.0,0.0,13.0
11485,12/25/1973,33.0,9.0,0.69,4.0,6.0
11850,12/25/1974,29.0,19.0,0.04,0.4,10.0
12215,12/25/1975,27.0,25.0,0.06,0.1,3.0
12581,12/25/1976,27.0,19.0,0.07,1.2,16.0
12946,12/25/1977,32.0,10.0,0.47,6.7,12.0
13311,12/25/1978,33.0,21.0,0.03,0.4,18.0
13676,12/25/1979,34.0,21.0,0.0,0.0,5.0
14042,12/25/1980,5.0,-23.0,0.05,1.5,17.0
14771,12/25/1982,39.0,34.0,0.39,0.0,0.0
15501,12/25/1984,16.0,-1.0,0.0,0.0,4.0
15866,12/25/1985,1.0,-20.0,0.0,0.0,18.0
16231,12/25/1986,36.0,31.0,0.0,0.0,4.0
16596,12/25/1987,35.0,29.0,0.09,1.1,5.0
16962,12/25/1988,35.0,14.0,0.0,0.0,6.0
17327,12/25/1989,20.0,12.0,0.0,0.2,14.0
17831,12/25/1953,40.0,30.0,0.01,0.1,4.0
18196,12/25/1954,37.0,21.0,0.0,0.0,2.0
18561,12/25/1955,30.0,20.0,0.14,1.4,20.0
18927,12/25/1956,21.0,5.0,0.0,0.0,5.0
19292,12/25/1957,34.0,20.0,0.37,3.7,0.0
20022,12/25/1959,29.0,18.0,0.0,0.0,3.0
20388,12/25/1960,27.0,18.0,0.59,5.9,10.0
20753,12/25/1961,27.0,12.0,0.0,0.0,17.0
21118,12/25/1962,21.0,7.0,0.1,3.7,15.0
21483,12/25/1963,24.0,18.0,0.09,1.7,19.0
21849,12/25/1964,28.0,22.0,0.01,0.0,12.0
22214,12/25/1965,20.0,6.0,0.0,0.0,3.0
22579,12/25/1966,17.0,7.0,0.0,0.0,8.0
23310,12/25/1968,1.0,-22.0,0.01,0.1,19.0
23675,12/25/1969,25.0,13.0,0.04,0.3,12.0
24040,12/25/1970,26.0,11.0,0.22,4.6,12.0
24405,12/25/1971,31.0,1.0,0.19,4.2,5.0
24771,12/25/1972,31.0,18.0,0.12,1.8,14.0
25136,12/25/1973,34.0,21.0,0.98,5.5,6.0
25501,12/25/1974,25.0,15.0,0.08,1.5,15.0
25866,12/25/1975,27.0,22.0,0.04,0.1,5.0
26232,12/25/1976,24.0,14.0,0.02,0.9,22.0
26689,12/25/2002,30.0,20.0,0.0,0.0,2.0
