Game,Team,Opp,W/L,R,RA,D/N,Att,Team,HR Count
1,ARI,SFG,W,6,5,D,49016,ARI,1
1,CHC,STL,L,3,4,N,47566,CHC,1
1,NYY,TBR,L,3,7,D,31042,NYY,0
1,SFG,ARI,L,5,6,D,49016,SF,2
1,STL,CHC,W,4,3,N,47566,STL,1
1,TBR,NYY,W,7,3,D,31042,TB,2
1,ATL,NYM,L,0,6,D,44384,ATL,0
1,BAL,TOR,W,3,2,D,45667,BAL,1
1,BOS,PIT,W,5,3,D,36594,BOS,1
1,CIN,PHI,L,3,4,D,43804,CIN,1
1,CLE,TEX,W,8,5,N,48350,CLE,2
1,COL,MIL,W,7,5,D,43336,COL,1
1,HOU,SEA,W,3,0,N,41678,HOU,2
1,KCR,MIN,L,1,7,D,39615,KC,1
1,LAA,OAK,L,2,4,N,36067,LAA,1
1,LAD,SDP,W,14,3,D,53701,LAD,4
1,MIA,WSN,L,2,4,D,42744,MIA,0
1,MIL,COL,L,5,7,D,43336,MIL,0
1,MIN,KCR,W,7,1,D,39615,MIN,1
1,NYM,ATL,W,6,0,D,44384,NYM,0
1,OAK,LAA,W,4,2,N,36067,OAK,3
1,PHI,CIN,W,4,3,D,43804,PHI,2
1,PIT,BOS,L,3,5,D,36594,PIT,0
1,SDP,LAD,L,3,14,D,53701,SD,1
1,SEA,HOU,L,0,3,N,41678,SEA,0
1,TEX,CLE,L,5,8,N,48350,TEX,3
1,TOR,BAL,L,2,3,D,45667,TOR,0
1,WSN,MIA,W,4,2,D,42744,WSH,2
2,ARI,SFG,L,4,8,N,19378,ARI,2
2,CHC,STL,W,2,1,N,46760,CHC,0
1,CHW,DET,L,3,6,D,36534,CHW,0
2,CLE,TEX,W,4,3,N,23574,CLE,1
2,COL,MIL,W,6,5,N,21458,COL,0
1,DET,CHW,W,6,3,D,36534,DET,3
2,HOU,SEA,W,2,1,N,21406,HOU,2
2,LAA,OAK,W,7,6,N,11225,LAA,1
2,LAD,SDP,L,0,4,N,42196,LAD,0
2,MIL,COL,L,5,6,N,21458,MIL,1
2,NYY,TBR,W,5,0,N,19366,NYY,2
2,OAK,LAA,L,6,7,N,11225,OAK,2
2,SDP,LAD,W,4,0,N,42196,SD,1
2,SEA,HOU,L,1,2,N,21406,SEA,0
2,SFG,ARI,W,8,4,N,19378,SF,1
2,STL,CHC,L,1,2,N,46760,STL,0
2,TBR,NYY,L,0,5,N,19366,TB,0
2,TEX,CLE,L,3,4,N,23574,TEX,1
3,ARI,SFG,W,8,6,N,14675,ARI,0
2,ATL,NYM,W,3,1,N,28113,ATL,0
2,BAL,TOR,W,3,1,N,16086,BAL,2
2,BOS,PIT,W,3,0,N,36137,BOS,1
2,CIN,PHI,W,2,0,N,19944,CIN,1
3,CLE,TEX,W,9,6,N,24649,CLE,2
3,COL,MIL,L,1,6,N,21824,COL,0
3,HOU,SEA,W,5,3,N,20303,HOU,1
2,KCR,MIN,L,1,9,D,15171,KC,0
3,LAA,OAK,W,5,0,N,13405,LAA,0
3,LAD,SDP,W,3,1,N,38373,LAD,1
2,MIA,WSN,L,4,6,N,22715,MIA,1
3,MIL,COL,W,6,1,N,21824,MIL,3
2,MIN,KCR,W,9,1,D,15171,MIN,1
2,NYM,ATL,L,1,3,N,28113,NYM,1
3,NYY,TBR,L,1,4,N,12737,NYY,1
3,OAK,LAA,L,0,5,N,13405,OAK,0
2,PHI,CIN,L,0,2,N,19944,PHI,0
2,PIT,BOS,L,0,3,N,36137,PIT,0
3,SDP,LAD,L,1,3,N,38373,SD,1
3,SEA,HOU,L,3,5,N,20303,SEA,1
3,SFG,ARI,L,6,8,N,14675,SF,1
3,TBR,NYY,W,4,1,N,12737,TB,1
3,TEX,CLE,L,6,9,N,24649,TEX,2
2,TOR,BAL,L,1,3,N,16086,TOR,0
2,WSN,MIA,W,6,4,N,22715,WSH,1
4,ARI,SFG,W,9,3,N,15308,ARI,3
3,ATL,NYM,L,2,6,N,23100,ATL,2
3,CHC,STL,W,6,4,D,44039,CHC,1
2,CHW,DET,W,11,2,D,10842,CHW,3
3,CIN,PHI,W,7,4,D,10586,CIN,2
4,COL,MIL,W,2,1,D,23828,COL,2
2,DET,CHW,L,2,11,D,10842,DET,1
4,HOU,SEA,L,2,4,N,18362,HOU,2
3,KCR,MIN,L,3,5,D,16078,KC,2
4,LAA,OAK,L,1,5,D,13292,LAA,0
4,LAD,SDP,W,10,2,D,36501,LAD,2
3,MIA,WSN,W,4,3,D,19418,MIA,1
4,MIL,COL,L,1,2,D,23828,MIL,1
3,MIN,KCR,W,5,3,D,16078,MIN,0
3,NYM,ATL,W,6,2,N,23100,NYM,1
4,OAK,LAA,W,5,1,D,13292,OAK,1
3,PHI,CIN,L,4,7,D,10586,PHI,2
4,SDP,LAD,L,2,10,D,36501,SD,1
4,SEA,HOU,W,4,2,N,18362,SEA,1
4,SFG,ARI,L,3,9,N,15308,SF,1
3,STL,CHC,L,4,6,D,44039,STL,0
4,TBR,TOR,L,2,5,N,12678,TB,0
3,TOR,TBR,W,5,2,N,12678,TOR,1
3,WSN,MIA,L,3,4,D,19418,WSH,3
5,ARI,CLE,W,7,3,N,22443,ARI,0
4,ATL,PIT,L,4,5,D,36484,ATL,0
3,BAL,NYY,W,6,5,N,25248,BAL,2
3,BOS,DET,L,5,6,D,45013,BOS,1
4,CHC,MIL,L,1,2,N,28728,CHC,1
3,CHW,MIN,L,1,3,N,14004,CHW,0
4,CIN,STL,W,2,0,N,44653,CIN,1
4,CLE,ARI,L,3,7,N,22443,CLE,1
5,COL,LAD,W,2,1,D,49169,COL,1
3,DET,BOS,W,6,5,D,45013,DET,1
5,HOU,KCR,L,1,5,N,30491,HOU,0
4,KCR,HOU,W,5,1,N,30491,KC,1
5,LAA,SEA,W,5,1,N,43911,LAA,2
5,LAD,COL,L,1,2,D,49169,LAD,0
4,MIA,NYM,W,7,2,N,27891,MIA,1
5,MIL,CHC,W,2,1,N,28728,MIL,0
4,MIN,CHW,W,3,1,N,14004,MIN,0
4,NYM,MIA,L,2,7,N,27891,NYM,1
4,NYY,BAL,L,5,6,N,25248,NYY,2
5,OAK,TEX,L,5,10,N,34235,OAK,2
4,PHI,WSN,L,6,7,D,45121,PHI,2
3,PIT,ATL,W,5,4,D,36484,PIT,2
5,SDP,SFG,W,7,6,D,43441,SD,2
5,SEA,LAA,L,1,5,N,43911,SEA,0
5,SFG,SDP,L,6,7,D,43441,SF,2
4,STL,CIN,L,0,2,N,44653,STL,0
5,TBR,TOR,W,10,8,N,12842,TB,1
4,TEX,OAK,W,10,5,N,34235,TEX,2
4,TOR,TBR,L,8,10,N,12842,TOR,2
4,WSN,PHI,W,7,6,D,45121,WSH,3
6,ARI,CLE,W,11,2,N,28437,ARI,1
5,ATL,PIT,L,4,6,N,31756,ATL,0
4,BAL,NYY,W,5,4,D,38916,BAL,0
4,BOS,DET,L,1,4,D,32622,BOS,0
5,CHC,MIL,W,11,6,N,43080,CHC,0
4,CHW,MIN,W,6,2,D,23024,CHW,2
5,CIN,STL,L,4,10,D,46558,CIN,2
5,CLE,ARI,L,2,11,N,28437,CLE,0
6,COL,LAD,W,4,2,N,48012,COL,3
4,DET,BOS,W,4,1,D,32622,DET,2
6,HOU,KCR,L,3,7,N,35373,HOU,1
5,KCR,HOU,W,7,3,N,35373,KC,3
6,LAA,SEA,W,5,4,N,42668,LAA,2
6,LAD,COL,L,2,4,N,48012,LAD,1
5,MIA,NYM,W,8,1,N,33936,MIA,1
6,MIL,CHC,L,6,11,N,43080,MIL,3
5,MIN,CHW,L,2,6,D,23024,MIN,1
5,NYM,MIA,L,1,8,N,33936,NYM,1
5,NYY,BAL,L,4,5,D,38916,NYY,0
6,OAK,TEX,W,6,1,N,44410,OAK,1
5,PHI,WSN,W,17,3,N,37241,PHI,2
4,PIT,ATL,W,6,4,N,31756,PIT,0
6,SDP,SFG,W,2,1,N,42397,SD,0
6,SEA,LAA,L,4,5,N,42668,SEA,1
6,SFG,SDP,L,1,2,N,42397,SF,0
5,STL,CIN,W,10,4,D,46558,STL,2
6,TBR,TOR,W,3,2,N,21838,TB,0
5,TEX,OAK,L,1,6,N,44410,TEX,1
5,TOR,TBR,L,2,3,N,21838,TOR,0
5,WSN,PHI,L,3,17,N,37241,WSH,0
7,ARI,CLE,W,3,2,D,30191,ARI,1
6,ATL,PIT,L,5,6,D,22713,ATL,3
5,BAL,NYY,L,3,7,D,42487,BAL,0
5,BOS,DET,W,7,5,D,33662,BOS,0
6,CHC,MIL,W,7,4,D,38483,CHC,2
5,CHW,MIN,L,1,4,D,24074,CHW,0
6,CIN,STL,W,8,0,D,45200,CIN,2
6,CLE,ARI,L,2,3,D,30191,CLE,0
7,COL,LAD,L,6,10,D,33529,COL,1
5,DET,BOS,L,5,7,D,33662,DET,1
7,HOU,KCR,W,5,4,D,32411,HOU,3
6,KCR,HOU,L,4,5,D,32411,KC,3
7,LAA,SEA,W,10,9,D,37175,LAA,2
7,LAD,COL,W,10,6,D,33529,LAD,1
6,MIA,NYM,L,2,5,N,27420,MIA,0
7,MIL,CHC,L,4,7,D,38483,MIL,2
6,MIN,CHW,W,4,1,D,24074,MIN,2
6,NYM,MIA,W,5,2,N,27420,NYM,2
6,NYY,BAL,W,7,3,D,42487,NYY,1
7,OAK,TEX,L,1,8,D,36905,OAK,0
6,PHI,WSN,W,4,3,D,36917,PHI,0
5,PIT,ATL,W,6,5,D,22713,PIT,1
7,SDP,SFG,L,3,5,D,40537,SD,2
7,SEA,LAA,L,9,10,D,37175,SEA,2
7,SFG,SDP,W,5,3,D,40537,SF,2
6,STL,CIN,L,0,8,D,45200,STL,0
7,TBR,TOR,W,7,2,D,15341,TB,3
6,TEX,OAK,W,8,1,D,36905,TEX,2
6,TOR,TBR,L,2,7,D,15341,TOR,1
6,WSN,PHI,L,3,4,D,36917,WSH,1
8,ARI,SFG,L,1,4,D,42129,ARI,1
6,BOS,DET,L,1,2,D,24672,BOS,0
7,CHC,LAD,W,3,2,N,41166,CHC,0
7,CIN,PIT,W,7,1,N,28264,CIN,2
8,COL,SDP,L,3,5,N,20504,COL,2
6,DET,BOS,W,2,1,D,24672,DET,1
8,HOU,SEA,L,0,6,D,44856,HOU,0
7,KCR,OAK,L,0,2,D,40019,KC,0
8,LAD,CHC,L,2,3,N,41166,LAD,0
7,NYM,PHI,W,4,3,N,33359,NYM,2
7,NYY,TBR,W,8,1,D,46955,NYY,3
8,OAK,KCR,W,2,0,D,40019,OAK,1
7,PHI,NYM,L,3,4,N,33359,PHI,1
6,PIT,CIN,L,1,7,N,28264,PIT,0
8,SDP,COL,W,5,3,N,20504,SD,2
8,SEA,HOU,W,6,0,D,44856,SEA,0
8,SFG,ARI,W,4,1,D,42129,SF,0
7,STL,WSN,L,6,14,N,27413,STL,1
8,TBR,NYY,L,1,8,D,46955,TB,1
7,WSN,STL,W,14,6,N,27413,WSH,0
9,ARI,SFG,W,4,3,N,41562,ARI,0
7,ATL,MIA,L,4,8,N,36519,ATL,1
6,BAL,BOS,L,1,8,N,37497,BAL,0
7,BOS,BAL,W,8,1,N,37497,BOS,0
6,CHW,CLE,L,1,2,D,35002,CHW,1
8,CIN,PIT,W,6,2,N,11027,CIN,2
7,CLE,CHW,W,2,1,D,35002,CLE,1
9,COL,SDP,W,3,2,N,20664,COL,3
7,DET,MIN,W,2,1,D,21237,DET,1
9,HOU,SEA,W,7,5,N,18527,HOU,1
8,LAA,TEX,W,6,5,N,34044,LAA,2
7,MIA,ATL,W,8,4,N,36519,MIA,2
8,MIL,TOR,W,4,3,N,48456,MIL,2
7,MIN,DET,L,1,2,D,21237,MIN,0
8,NYM,PHI,W,14,4,N,28659,NYM,7
8,PHI,NYM,L,4,14,N,28659,PHI,1
7,PIT,CIN,L,2,6,N,11027,PIT,0
9,SDP,COL,L,2,3,N,20664,SD,1
9,SEA,HOU,L,5,7,N,18527,SEA,0
9,SFG,ARI,L,3,4,N,41562,SF,0
8,STL,WSN,L,3,8,N,30663,STL,2
7,TEX,LAA,L,5,6,N,34044,TEX,2
7,TOR,MIL,L,3,4,N,48456,TOR,0
8,WSN,STL,W,8,3,N,30663,WSH,3
10,ARI,SFG,L,2,6,N,41656,ARI,0
8,ATL,MIA,W,5,4,N,16808,ATL,3
7,BAL,BOS,W,12,5,N,32211,BAL,5
8,BOS,BAL,L,5,12,N,32211,BOS,1
8,CHC,LAD,L,0,2,N,40844,CHC,0
7,CHW,CLE,W,2,1,N,15628,CHW,0
9,CIN,PIT,W,9,2,N,12327,CIN,0
8,CLE,CHW,L,1,2,N,15628,CLE,0
10,COL,SDP,L,0,6,D,20968,COL,0
8,DET,MIN,W,5,3,D,23738,DET,1
10,HOU,SEA,W,10,5,N,14479,HOU,0
8,KCR,OAK,L,3,8,N,24380,KC,1
9,LAA,TEX,L,3,8,N,34599,LAA,1
9,LAD,CHC,W,2,0,N,40844,LAD,1
8,MIA,ATL,L,4,5,N,16808,MIA,2
9,MIL,TOR,W,2,0,N,29919,MIL,1
8,MIN,DET,L,3,5,D,23738,MIN,1
9,NYM,PHI,W,5,4,N,28272,NYM,1
8,NYY,TBR,W,8,4,D,38002,NYY,1
9,OAK,KCR,W,8,3,N,24380,OAK,0
9,PHI,NYM,L,4,5,N,28272,PHI,1
8,PIT,CIN,L,2,9,N,12327,PIT,1
10,SDP,COL,W,6,0,D,20968,SD,1
10,SEA,HOU,L,5,10,N,14479,SEA,2
10,SFG,ARI,W,6,2,N,41656,SF,0
9,STL,WSN,W,6,1,D,31647,STL,1
9,TBR,NYY,L,4,8,D,38002,TB,1
8,TEX,LAA,W,8,3,N,34599,TEX,3
8,TOR,MIL,L,0,2,N,29919,TOR,0
9,WSN,STL,L,1,6,D,31647,WSH,0
8,BAL,TOR,W,2,1,N,32957,BAL,0
9,BOS,PIT,W,4,3,D,32400,BOS,0
9,CHC,LAD,W,4,0,D,38379,CHC,2
8,CHW,CLE,W,10,4,N,15060,CHW,2
10,CIN,MIL,L,1,5,N,13574,CIN,0
9,CLE,CHW,L,4,10,N,15060,CLE,2
11,COL,SFG,W,3,1,N,41915,COL,1
9,DET,MIN,L,5,11,D,22573,DET,2
9,KCR,OAK,W,3,1,N,22160,KC,0
10,LAA,TEX,L,3,8,D,30255,LAA,1
10,LAD,CHC,L,0,4,D,38379,LAD,0
9,MIA,NYM,L,8,9,N,23192,MIA,1
10,MIL,CIN,W,5,1,N,13574,MIL,2
9,MIN,DET,W,11,5,D,22573,MIN,3
10,NYM,MIA,W,9,8,N,23192,NYM,4
9,NYY,TBR,W,3,2,N,34772,NYY,2
10,OAK,KCR,L,1,3,N,22160,OAK,1
9,PIT,BOS,L,3,4,D,32400,PIT,1
11,SFG,COL,L,1,3,N,41915,SF,0
10,TBR,NYY,L,2,3,N,34772,TB,1
9,TEX,LAA,W,8,3,D,30255,TEX,2
9,TOR,BAL,L,1,2,N,32957,TOR,0
11,ARI,LAD,L,1,7,N,49438,ARI,0
9,ATL,SDP,W,5,2,N,41149,ATL,1
9,BAL,TOR,W,6,4,N,39547,BAL,4
10,BOS,TBR,L,5,10,N,36813,BOS,0
10,CHC,PIT,L,2,4,D,40430,CHC,0
9,CHW,MIN,W,2,1,N,18466,CHW,1
11,CIN,MIL,L,4,10,N,23850,CIN,2
10,CLE,DET,L,6,7,N,25423,CLE,1
12,COL,SFG,L,2,8,N,42738,COL,0
10,DET,CLE,W,7,6,N,25423,DET,2
11,HOU,OAK,W,7,2,N,15385,HOU,1
10,KCR,LAA,W,7,1,N,26838,KC,2
11,LAA,KCR,L,1,7,N,26838,LAA,0
11,LAD,ARI,W,7,1,N,49438,LAD,1
10,MIA,NYM,W,3,2,N,24194,MIA,0
11,MIL,CIN,W,10,4,N,23850,MIL,1
10,MIN,CHW,L,1,2,N,18466,MIN,0
11,NYM,MIA,L,2,3,N,24194,NYM,1
10,NYY,STL,W,4,3,N,39102,NYY,2
11,OAK,HOU,L,2,7,N,15385,OAK,2
10,PHI,WSN,L,2,3,D,38664,PHI,1
10,PIT,CHC,W,4,2,D,40430,PIT,0
11,SDP,ATL,L,2,5,N,41149,SD,0
11,SEA,TEX,W,2,1,N,41855,SEA,1
12,SFG,COL,W,8,2,N,42738,SF,2
10,STL,NYY,L,3,4,N,39102,STL,1
11,TBR,BOS,W,10,5,N,36813,TB,4
10,TEX,SEA,L,1,2,N,41855,TEX,0
10,TOR,BAL,L,4,6,N,39547,TOR,1
10,WSN,PHI,W,3,2,D,38664,WSH,0
12,ARI,LAD,L,4,8,N,48070,ARI,1
10,ATL,SDP,W,4,2,N,41149,ATL,2
10,BAL,TOR,L,1,2,D,40743,BAL,0
11,BOS,TBR,W,2,1,D,36686,BOS,1
11,CHC,PIT,L,7,8,D,41814,CHC,2
10,CHW,MIN,L,0,6,D,25938,CHW,0
12,CIN,MIL,W,7,5,D,31008,CIN,1
11,CLE,DET,W,13,6,D,26691,CLE,4
13,COL,SFG,W,5,0,D,42371,COL,1
11,DET,CLE,L,6,13,D,26691,DET,1
12,HOU,OAK,W,10,6,D,20140,HOU,1
11,KCR,LAA,W,3,2,N,24162,KC,2
12,LAA,KCR,L,2,3,N,24162,LAA,0
12,LAD,ARI,W,8,4,N,48070,LAD,2
11,MIA,NYM,W,5,4,N,25137,MIA,4
12,MIL,CIN,L,5,7,D,31008,MIL,3
11,MIN,CHW,W,6,0,D,25938,MIN,0
12,NYM,MIA,L,4,5,N,25137,NYM,1
11,NYY,STL,W,3,2,D,43031,NYY,0
12,OAK,HOU,L,6,10,D,20140,OAK,2
11,PHI,WSN,W,4,2,D,35626,PHI,1
11,PIT,CHC,W,8,7,D,41814,PIT,4
12,SDP,ATL,L,2,4,N,41149,SD,2
12,SEA,TEX,W,5,0,N,34927,SEA,1
13,SFG,COL,L,0,5,D,42371,SF,0
11,STL,NYY,L,2,3,D,43031,STL,2
12,TBR,BOS,L,1,2,D,36686,TB,0
11,TEX,SEA,L,0,5,N,34927,TEX,0
11,TOR,BAL,W,2,1,D,40743,TOR,1
11,WSN,PHI,L,2,4,D,35626,WSH,1
13,ARI,LAD,W,3,1,D,39822,ARI,1
11,ATL,SDP,W,9,2,D,37147,ATL,1
11,BAL,TOR,W,11,4,D,38188,BAL,4
12,BOS,TBR,W,7,5,D,36209,BOS,1
12,CHC,PIT,L,1,6,D,39422,CHC,0
11,CHW,MIN,W,3,1,D,19511,CHW,1
13,CIN,MIL,L,2,4,D,12625,CIN,1
12,CLE,DET,L,1,4,D,17739,CLE,0
14,COL,SFG,W,4,3,D,41455,COL,1
12,DET,CLE,W,4,1,D,17739,DET,1
12,KCR,LAA,W,1,0,D,27950,KC,0
13,LAA,KCR,L,0,1,D,27950,LAA,0
13,LAD,ARI,L,1,3,D,39822,LAD,0
12,MIA,NYM,W,4,2,D,20028,MIA,1
13,MIL,CIN,W,4,2,D,12625,MIL,3
12,MIN,CHW,L,1,3,D,19511,MIN,1
13,NYM,MIA,L,2,4,D,20028,NYM,0
