age,length
1.4,62
1.2,67
2,83
2,88
2.2,91
2.6,100
2.6,109
2.8,109
2.8,123
3,115
3.2,118
3,122
3.4,122
3,122
3.2,130
3.4,130
3.2,131
3.4,131
3.6,137
3.8,140
3.6,140
3.4,140
3.8,142
3.6,143
3.4,150
3.8,150
3.6,150
3.8,150
4,135
4,138
4.2,140
4,140
4.2,140
4.4,140
4,144
4.2,145
4,145
4.4,146
4.6,146
4.4,150
4.2,150
4,150
4.6,150
4.4,150
4.2,150
4.6,150
4.4,150
4.8,150
4.4,152
4.4,153
4.6,154
4.8,155
4.6,157
4.4,158
4.8,160
4.6,160
4.2,160
4.8,160
4.6,161
4.4,162
4.8,162
4.2,162
4.6,165
4.8,167
4.8,169
4.6,170
4.8,170
4.4,170
4.6,171
5,150
5.4,150
5.2,160
5,160
5.2,170
5.4,171
5.8,180
5.6,188
6,170
