AM_Height,PM_Height
1728.75,1720.25
1538.25,1528.5
1462.25,1452.5
1782.5,1776.5
1671,1667
1581.75,1571
1673.75,1664.5
1721.75,1708.5
1646.5,1636
1793.75,1781.75
1825.25,1814
1801.5,1787
1742.5,1729.75
1720.5,1711.5
1728.25,1717.25
1753.75,1742.75
1725.5,1716.75
1598,1592.25
1756.25,1747
1674,1662.5
1688.75,1677
1688.75,1681
1620.75,1613.5
1679,1668.25
1557.25,1550.25
1704.5,1696.5
1632.75,1619
1587,1581.5
1598.75,1590.5
1592.25,1583.5
1719.5,1709.25
1807.5,1795
1624,1619.5
1705.25,1694.5
1692.75,1686
1795.25,1782
1643.5,1628.75
1677.25,1668.25
1647.75,1641.5
1620,1608.25
1727.5,1721.25
