Antimony,Gold
3.08,1
6.15,1
2.35,1
0.3,0
0.3,0
9.62,1
0.51,0
3.71,1
4.32,0
0.8,0
8.45,1
0.6,0
0.2,0
0.4,0
0.3,0
5.6,1
0.2,0
0.3,0
0.1,0
0.1,0
0.2,0
0.1,0
3.5,1
0.1,0
2.3,0
0.3,0
0.3,0
0.2,0
0.5,0
0.4,0
0.41,0
0.22,0
0.31,0
0.41,1
0.22,0
1.11,1
0.53,0
0.52,0
4.22,1
1.2,1
0.32,0
0.91,0
0.22,0
1.43,1
1.22,1
2.54,1
1.11,0
0.43,0
0.42,0
4.99,1
1.11,1
0.7,1
0.39,0
3.19,1
1.92,1
4.12,1
2.47,1
18.2,1
1.21,1
8.32,1
6.32,1
1.82,1
2.14,1
0.56,0
