X1,Y1,X2,Y2
9.55,183.13,1.74,65.01
7.98,204.44,0.13,13.55
13.42,121.54,0.2,16.58
13.4,111.86,0.76,22.87
7.67,206.74,0.78,22.01
5.97,205.72,1.65,53.96
7.97,201.99,1.08,30.74
9.27,184.84,1.19,27.99
5.11,199.13,1.14,25.93
13.73,103.98,1.04,21.46
10.18,172.73,1.51,41.86
10.12,176.17,0.54,10.96
14.49,84.04,0.99,26.38
8.07,191.19,1.29,36.45
5.37,199.63,0.65,18.59
12.68,129.29,0.59,20.62
14.49,94.63,1.56,50.17
8.75,197.84,1.36,42.14
11.92,153.8,1.72,60.97
12.4,141.56,0.58,18.37
7.59,203.92,1.23,36.89
11.83,151.72,1.08,28.28
7.93,199.56,1.43,43.12
9.78,177.54,0.41,14.93
8.48,198.03,0.8,23.89
7.85,203.49,0.84,20.06
7.73,205.66,1.45,40.22
10.54,177.86,1.56,45.42
7.04,206.99,0.09,9.21
10.01,176.63,0.97,25.04
9.13,191.12,1.2,36.39
8.92,190.03,0.81,15.87
13.63,105.41,1.09,24.84
9.69,184.2,1.36,40.31
10.06,187,1.43,46.18
,,0.24,14.56
,,1.39,35.95
,,0.66,17.3
,,0.32,15.46
