actor_id,film_id,last_update
1,1,"2006-02-15 05:05:03"
1,23,"2006-02-15 05:05:03"
1,25,"2006-02-15 05:05:03"
1,106,"2006-02-15 05:05:03"
1,140,"2006-02-15 05:05:03"
1,166,"2006-02-15 05:05:03"
1,277,"2006-02-15 05:05:03"
1,361,"2006-02-15 05:05:03"
1,438,"2006-02-15 05:05:03"
1,499,"2006-02-15 05:05:03"
1,506,"2006-02-15 05:05:03"
1,509,"2006-02-15 05:05:03"
1,605,"2006-02-15 05:05:03"
1,635,"2006-02-15 05:05:03"
1,749,"2006-02-15 05:05:03"
1,832,"2006-02-15 05:05:03"
1,939,"2006-02-15 05:05:03"
1,970,"2006-02-15 05:05:03"
1,980,"2006-02-15 05:05:03"
2,3,"2006-02-15 05:05:03"
2,31,"2006-02-15 05:05:03"
2,47,"2006-02-15 05:05:03"
2,105,"2006-02-15 05:05:03"
2,132,"2006-02-15 05:05:03"
2,145,"2006-02-15 05:05:03"
2,226,"2006-02-15 05:05:03"
2,249,"2006-02-15 05:05:03"
2,314,"2006-02-15 05:05:03"
2,321,"2006-02-15 05:05:03"
2,357,"2006-02-15 05:05:03"
2,369,"2006-02-15 05:05:03"
2,399,"2006-02-15 05:05:03"
2,458,"2006-02-15 05:05:03"
2,481,"2006-02-15 05:05:03"
2,485,"2006-02-15 05:05:03"
2,518,"2006-02-15 05:05:03"
2,540,"2006-02-15 05:05:03"
2,550,"2006-02-15 05:05:03"
2,555,"2006-02-15 05:05:03"
2,561,"2006-02-15 05:05:03"
2,742,"2006-02-15 05:05:03"
2,754,"2006-02-15 05:05:03"
2,811,"2006-02-15 05:05:03"
2,958,"2006-02-15 05:05:03"
3,17,"2006-02-15 05:05:03"
3,40,"2006-02-15 05:05:03"
3,42,"2006-02-15 05:05:03"
3,87,"2006-02-15 05:05:03"
3,111,"2006-02-15 05:05:03"
3,185,"2006-02-15 05:05:03"
3,289,"2006-02-15 05:05:03"
3,329,"2006-02-15 05:05:03"
3,336,"2006-02-15 05:05:03"
3,341,"2006-02-15 05:05:03"
3,393,"2006-02-15 05:05:03"
3,441,"2006-02-15 05:05:03"
3,453,"2006-02-15 05:05:03"
3,480,"2006-02-15 05:05:03"
3,539,"2006-02-15 05:05:03"
3,618,"2006-02-15 05:05:03"
3,685,"2006-02-15 05:05:03"
3,827,"2006-02-15 05:05:03"
3,966,"2006-02-15 05:05:03"
3,967,"2006-02-15 05:05:03"
3,971,"2006-02-15 05:05:03"
3,996,"2006-02-15 05:05:03"
4,23,"2006-02-15 05:05:03"
4,25,"2006-02-15 05:05:03"
4,56,"2006-02-15 05:05:03"
4,62,"2006-02-15 05:05:03"
4,79,"2006-02-15 05:05:03"
4,87,"2006-02-15 05:05:03"
4,355,"2006-02-15 05:05:03"
4,379,"2006-02-15 05:05:03"
4,398,"2006-02-15 05:05:03"
4,463,"2006-02-15 05:05:03"
4,490,"2006-02-15 05:05:03"
4,616,"2006-02-15 05:05:03"
4,635,"2006-02-15 05:05:03"
4,691,"2006-02-15 05:05:03"
4,712,"2006-02-15 05:05:03"
4,714,"2006-02-15 05:05:03"
4,721,"2006-02-15 05:05:03"
4,798,"2006-02-15 05:05:03"
4,832,"2006-02-15 05:05:03"
4,858,"2006-02-15 05:05:03"
4,909,"2006-02-15 05:05:03"
4,924,"2006-02-15 05:05:03"
5,19,"2006-02-15 05:05:03"
5,54,"2006-02-15 05:05:03"
5,85,"2006-02-15 05:05:03"
5,146,"2006-02-15 05:05:03"
5,171,"2006-02-15 05:05:03"
5,172,"2006-02-15 05:05:03"
5,202,"2006-02-15 05:05:03"
5,203,"2006-02-15 05:05:03"
5,286,"2006-02-15 05:05:03"
5,288,"2006-02-15 05:05:03"
5,316,"2006-02-15 05:05:03"
5,340,"2006-02-15 05:05:03"
5,369,"2006-02-15 05:05:03"
5,375,"2006-02-15 05:05:03"
5,383,"2006-02-15 05:05:03"
5,392,"2006-02-15 05:05:03"
5,411,"2006-02-15 05:05:03"
5,503,"2006-02-15 05:05:03"
5,535,"2006-02-15 05:05:03"
5,571,"2006-02-15 05:05:03"
5,650,"2006-02-15 05:05:03"
5,665,"2006-02-15 05:05:03"
5,687,"2006-02-15 05:05:03"
5,730,"2006-02-15 05:05:03"
5,732,"2006-02-15 05:05:03"
5,811,"2006-02-15 05:05:03"
5,817,"2006-02-15 05:05:03"
5,841,"2006-02-15 05:05:03"
5,865,"2006-02-15 05:05:03"
6,29,"2006-02-15 05:05:03"
6,53,"2006-02-15 05:05:03"
6,60,"2006-02-15 05:05:03"
6,70,"2006-02-15 05:05:03"
6,112,"2006-02-15 05:05:03"
6,164,"2006-02-15 05:05:03"
6,165,"2006-02-15 05:05:03"
6,193,"2006-02-15 05:05:03"
6,256,"2006-02-15 05:05:03"
6,451,"2006-02-15 05:05:03"
6,503,"2006-02-15 05:05:03"
6,509,"2006-02-15 05:05:03"
6,517,"2006-02-15 05:05:03"
6,519,"2006-02-15 05:05:03"
