Jersey,Name,Position,Inches,Pounds,Class
0,"Rooks, Patrick",G,74,190,freshman
1,"Ajukwa, Austin",G,78,205,sophomore
3,"Holmes, Avry",G,74,205,junior
5,"Blossomgame, Jaron",F,79,215,sophomore
10,"DeVoe, Gabe",G,75,200,freshman
12,"Hall, Rod",G,73,205,senior
15,"Grantham, Donte",F,80,205,freshman
20,"Roper, Jordan",G,72,165,junior
21,"Harrison, Damarcus",G,76,205,senior
33,"Smith, Josh",F,80,245,junior
35,"Nnoko, Landry",C,82,255,junior
44,"McGillan, Riley",G,72,175,junior
50,"Djitte, Sidy",C,82,240,sophomore
