Entity,Code,Year,Avocados | 00000572 || Production | 005510 || tonnes
Africa,,1961,63439
Africa,,1962,65118
Africa,,1963,61760
Africa,,1964,62759
Africa,,1965,66269
Africa,,1966,68331
Africa,,1967,71416
Africa,,1968,73906
Africa,,1969,76704
Africa,,1970,78464
Africa,,1971,80181
Africa,,1972,86052
Africa,,1973,87090
Africa,,1974,97017
Africa,,1975,117384
Africa,,1976,112374
Africa,,1977,116720
Africa,,1978,120298
Africa,,1979,131592
Africa,,1980,137343
Africa,,1981,137245
Africa,,1982,140689
Africa,,1983,150873
Africa,,1984,149515
Africa,,1985,156918
Africa,,1986,168065
Africa,,1987,181384
Africa,,1988,189131
Africa,,1989,196018
Africa,,1990,205623
Africa,,1991,234461.94
Africa,,1992,239741.3
Africa,,1993,264154.53
Africa,,1994,258595.94
Africa,,1995,242995.1
Africa,,1996,257004.84
Africa,,1997,259819.86
Africa,,1998,325988.06
Africa,,1999,299752.38
Africa,,2000,401407.62
Africa,,2001,313646.88
Africa,,2002,347076.53
Africa,,2003,348166.3
Africa,,2004,355088.22
Africa,,2005,439234.34
Africa,,2006,410779.9
Africa,,2007,414582.5
Africa,,2008,442440.66
Africa,,2009,492367.3
Africa,,2010,584002.2
Africa,,2011,552134.1
Africa,,2012,566996.56
Africa,,2013,541373.25
Africa,,2014,737862.7
Africa,,2015,654604.3
Africa,,2016,696774.2
Africa,,2017,738076.3
Africa,,2018,833306.75
Africa,,2019,840557.3
Africa,,2020,1057604.1
Africa,,2021,1069854.4
Africa (FAO),,1961,63439
Africa (FAO),,1962,65118
Africa (FAO),,1963,61760
Africa (FAO),,1964,62759
Africa (FAO),,1965,66269
Africa (FAO),,1966,68331
Africa (FAO),,1967,71416
Africa (FAO),,1968,73906
Africa (FAO),,1969,76704
Africa (FAO),,1970,78464
Africa (FAO),,1971,80181
Africa (FAO),,1972,86052
Africa (FAO),,1973,87090
Africa (FAO),,1974,97017
Africa (FAO),,1975,117384
Africa (FAO),,1976,112374
Africa (FAO),,1977,116720
Africa (FAO),,1978,120298
Africa (FAO),,1979,131592
Africa (FAO),,1980,137343
Africa (FAO),,1981,137245
Africa (FAO),,1982,140689
Africa (FAO),,1983,150873
Africa (FAO),,1984,149515
Africa (FAO),,1985,156918
Africa (FAO),,1986,168065
Africa (FAO),,1987,181384
Africa (FAO),,1988,189131
Africa (FAO),,1989,196018
Africa (FAO),,1990,205623
Africa (FAO),,1991,234461.94
Africa (FAO),,1992,239741.3
Africa (FAO),,1993,264154.53
Africa (FAO),,1994,258595.92
Africa (FAO),,1995,242995.1
Africa (FAO),,1996,257004.84
Africa (FAO),,1997,259819.84
Africa (FAO),,1998,325988.06
Africa (FAO),,1999,299752.38
Africa (FAO),,2000,401407.62
Africa (FAO),,2001,313646.88
Africa (FAO),,2002,347076.5
Africa (FAO),,2003,348166.3
Africa (FAO),,2004,355088.22
Africa (FAO),,2005,439234.34
Africa (FAO),,2006,410779.9
Africa (FAO),,2007,414582.5
Africa (FAO),,2008,442440.66
Africa (FAO),,2009,492367.3
Africa (FAO),,2010,584002.1
Africa (FAO),,2011,552134.1
Africa (FAO),,2012,566996.56
Africa (FAO),,2013,541373.25
Africa (FAO),,2014,737862.7
Africa (FAO),,2015,654604.3
Africa (FAO),,2016,696774.2
Africa (FAO),,2017,738076.3
