Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2020,221999,AVOCADOS ALL ,53,Monterey ,223,5.56,1240,2379.84,Tons ,2951000
2020,221999,AVOCADOS ALL ,65,Riverside ,3020,  ,  ,  ,Tons ,88697000
2020,221999,AVOCADOS ALL ,71,San Bernardino ,370,2.16,799,2617.02,Tons ,2091000
2020,221999,AVOCADOS ALL ,73,San Diego ,14400,3.51,50500,3028.87,Tons ,152958000
2020,221999,AVOCADOS ALL ,79,San Luis Obispo ,4240,5.9,25000,1886.76,Tons ,47169000
2020,221999,AVOCADOS ALL ,83,Santa Barbara ,5770,4.89,28200,2842.59,Tons ,80161000
2020,221999,AVOCADOS ALL ,111,Ventura ,16400,4.29,70300,2556.57,Tons ,179727000
2019,221999,AVOCADOS ALL ,53,Monterey ,225,6.58,1480,2500,Tons ,3700000
2019,221999,AVOCADOS ALL ,65,Riverside ,2940,5.48,16100,2505.53,Tons ,40339000
2019,221999,AVOCADOS ALL ,71,San Bernardino ,397,3.53,1400,2604.29,Tons ,3646000
2019,221999,AVOCADOS ALL ,73,San Diego ,14900,2.38,35400,3958.08,Tons ,140116000
2019,221999,AVOCADOS ALL ,79,San Luis Obispo ,4440,2.75,12200,3186.48,Tons ,38875000
2019,221999,AVOCADOS ALL ,83,Santa Barbara ,5410,1.98,10700,3309.44,Tons ,35411000
2019,221999,AVOCADOS ALL ,111,Ventura ,16500,3.02,49800,2349.02,Tons ,116981000
2019,221999,AVOCADOS ALL ,991,Sum of Others ,1151,  ,  ,  ,  ,4357000
2018 ,221999 ,AVOCADOS ALL ,53 ,Monterey ,256 ,4.53 ,1160 ,2250.00 ,Tons ,2610000
2018 ,221999 ,AVOCADOS ALL ,65 ,Riverside ,4270 ,3.79 ,16200 ,2378.27 ,Tons ,38528000
2018 ,221999 ,AVOCADOS ALL ,71 ,San Bernardino ,457 ,3.85 ,1760 ,2379.55 ,Tons ,4188000
2018 ,221999 ,AVOCADOS ALL ,73 ,San Diego ,17700 ,2.66 ,47100 ,2569.81 ,Tons ,121038000
2018 ,221999 ,AVOCADOS ALL ,79 ,San Luis Obispo ,4160 ,4.62 ,19200 ,2403.39 ,Tons ,46145000
2018 ,221999 ,AVOCADOS ALL ,83 ,Santa Barbara ,4930 ,4.56 ,22500 ,2338.53 ,Tons ,52617000
2018 ,221999 ,AVOCADOS ALL ,111 ,Ventura ,17100 ,3.08 ,52700 ,1959.24 ,Tons ,103252000
2018 ,221999 ,AVOCADOS ALL ,991 ,Sum of Others ,1136 ,2.26 ,2572 ,2417.57 ,Tons ,6218000
2017 ,221999 ,AVOCADOS ALL ,53 ,Monterey ,383 ,3.08 ,1180 ,3239.83 ,Tons ,3823000
2017 ,221999 ,AVOCADOS ALL ,65 ,Riverside ,4520 ,3.92 ,17700 ,2258.36 ,Tons ,39973000
2017 ,221999 ,AVOCADOS ALL ,71 ,San Bernardino ,477 ,3.08 ,1470 ,2349.66 ,Tons ,3454000
2017 ,221999 ,AVOCADOS ALL ,73 ,San Diego ,15000 ,2.30 ,34500 ,3541.74 ,Tons ,122190000
2017 ,221999 ,AVOCADOS ALL ,79 ,San Luis Obispo ,4080 ,2.35 ,9570 ,2852.14 ,Tons ,27295000
2017 ,221999 ,AVOCADOS ALL ,83 ,Santa Barbara ,4270 ,2.46 ,10500 ,3676.76 ,Tons ,38606000
2017 ,221999 ,AVOCADOS ALL ,111 ,Ventura ,17400 ,3.12 ,54300 ,2185.64 ,Tons ,118680000
2017 ,221999 ,AVOCADOS ALL ,991 ,Sum of Others ,1178 ,1.80 ,2126 ,3331.14 ,Tons ,7082000
2016,221999,AVOCADOS ALL,53,Monterey,245,5.39,1320,2430.3,Tons,3208000
2016,221999,AVOCADOS ALL,65,Riverside,4190,4.15,17400,1919.08,Tons,33392000
2016,221999,AVOCADOS ALL,71,San Bernardino,505,3.09,1560,1360.26,Tons,2122000
2016,221999,AVOCADOS ALL,73,San Diego,17700,3.28,58000,2348.72,Tons,136226000
2016,221999,AVOCADOS ALL,79,San Luis Obispo,4010,4.96,19900,2242.61,Tons,44628000
2016,221999,AVOCADOS ALL,83,Santa Barbara,4980,4.94,24600,2580.61,Tons,63483000
2016,221999,AVOCADOS ALL,111,Ventura,18500,3.33,61600,2094.16,Tons,129000000
2016,221999,AVOCADOS ALL,991,Sum of Others,1281,3.79,4851,1907.85,Tons,9255000
2015,221999,AVOCADOS ALL,53,Monterey,229,2.20,503,2910.54,Tons,1464000
2015,221999,AVOCADOS ALL,65,Riverside,4630,2.27,10500,2433.24,Tons,25549000
2015,221999,AVOCADOS ALL,71,San Bernardino,505,3.21,1620,1266.05,Tons,2051000
2015,221999,AVOCADOS ALL,73,San Diego,18300,2.34,42900,2574.69,Tons,110454000
2015,221999,AVOCADOS ALL,79,San Luis Obispo,4110,2.21,9070,1831.64,Tons,16613000
2015,221999,AVOCADOS ALL,83,Santa Barbara,6510,3.59,23400,2004.32,Tons,46901000
2015,221999,AVOCADOS ALL,111,Ventura,19500,2.90,56500,3341.91,Tons,188818000
2015,221999,AVOCADOS ALL,991,Sum of Others,1297,2.42,3139,2719.43,Tons,8536300
2014,221999,AVOCADOS ALL,53,Monterey,229,2.51,575,2120.00,Tons,1219000
2014,221999,AVOCADOS ALL,65,Riverside,5670,3.30,18700,1890.00,Tons,35343000
2014,221999,AVOCADOS ALL,71,San Bernardino,200,4.11,822,1608.27,Tons,1322000
2014,221999,AVOCADOS ALL,73,San Diego,18400,3.21,59100,2606.40,Tons,154038000
2014,221999,AVOCADOS ALL,79,San Luis Obispo,4630,2.48,11500,1975.13,Tons,22714000
2014,221999,AVOCADOS ALL,83,Santa Barbara,7300,3.62,26400,2270.30,Tons,59936000
2014,221999,AVOCADOS ALL,111,Ventura,19700,2.46,48400,2644.17,Tons,127978000
2014,221999,AVOCADOS ALL,991,Sum of Others,1346,2.81,3782,2403.91,Tons,9091600
2013,221999,AVOCADOS ALL,053,Monterey,237,5.99,1420,2114.08,tons,3002000
2013,221999,AVOCADOS ALL,065,Riverside,6463,3.74,24200,1702.77,tons,41207000
