Date,AvgTemp,MaxTemp,MinTemp,Precip,Snowfall,SnowDepth
4/15/1953,,46,33,0.3,0,0
4/16/1953,,37,23,0.56,1,0
4/17/1953,,30,20,0.1,1,0
4/18/1953,,35,21,0.15,1.5,1
4/19/1953,,38,28,0.04,0.4,0
4/20/1953,,32,24,0,0,0
4/21/1953,,56,24,0,0,0
4/22/1953,,60,35,0.08,0,0
4/23/1953,,53,35,0,0,0
4/24/1953,,59,30,0,0,0
4/25/1953,,44,37,0.42,0,0
4/26/1953,,38,31,1.37,9.4,0
4/27/1953,,35,32,0.5,4.8,1
4/28/1953,,45,27,0,0,0
4/29/1953,,55,30,0,0,0
4/30/1953,,52,37,0.15,0,0
5/1/1953,,43,37,0.18,0,0
5/2/1953,,60,39,0,0,0
5/3/1953,,62,37,0,0,0
5/4/1953,,58,39,0,0,0
5/5/1953,,64,36,0,0,0
5/6/1953,,75,37,0,0,0
5/7/1953,,77,42,0,0,0
5/8/1953,,81,42,0,0,0
5/9/1953,,85,47,0,0,0
5/10/1953,,75,52,0,0,0
5/11/1953,,66,43,0,0,0
5/12/1953,,51,35,0.16,0,0
5/13/1953,,41,31,0,0,0
5/14/1953,,53,27,0,0,0
5/15/1953,,61,32,0,0,0
5/16/1953,,61,42,0,0,0
5/17/1953,,66,37,0,0,0
5/18/1953,,69,38,0,0,0
5/19/1953,,67,33,0,0,0
5/20/1953,,73,47,0,0,0
5/21/1953,,73,39,0.01,0,0
5/22/1953,,47,36,0,0,0
5/23/1953,,65,35,0,0,0
5/24/1953,,72,41,0,0,0
5/25/1953,,60,50,0.16,0,0
5/26/1953,,55,43,0.05,0,0
5/27/1953,,61,39,0,0,0
5/28/1953,,63,35,0,0,0
5/29/1953,,49,42,0.33,0,0
5/30/1953,,51,42,0.81,0,0
5/31/1953,,56,45,0.1,0,0
6/1/1953,,68,43,0,0,0
6/2/1953,,70,41,0,0,0
6/3/1953,,68,47,0.16,0,0
6/4/1953,,75,51,0.07,0,0
6/5/1953,,67,43,0.03,0,0
6/6/1953,,51,40,0.05,0,0
6/7/1953,,61,38,0,0,0
6/8/1953,,68,45,0.63,0,0
6/9/1953,,61,45,0.01,0,0
6/10/1953,,70,42,0,0,0
6/11/1953,,63,46,1.02,0,0
6/12/1953,,62,51,0,0,0
6/13/1953,,73,42,0,0,0
6/14/1953,,73,52,0,0,0
6/15/1953,,74,51,0,0,0
6/16/1953,,65,52,0.26,0,0
6/17/1953,,69,48,0.01,0,0
