Date,AvgTemp,MaxTemp,MinTemp,Precip,Snowfall,SnowDepth
6/1/2002,,78,49,0,0,
6/2/2002,,,42,0,0,0
6/3/2002,,62,31,0,0,0
6/4/2002,,,47,0.06,0,0
6/5/2002,,62,40,0,0,0
6/6/2002,,71,32,0,0,0
6/7/2002,,76,42,0.01,0,0
6/8/2002,,75,52,0.19,0,0
6/9/2002,,79,35,0,0,0
6/10/2002,,81,55,0,0,0
6/11/2002,,,60,0.72,0,0
6/12/2002,,74,53,0.03,0,0
6/13/2002,,78,47,0,0,0
6/14/2002,,,50,0.95,0,0
6/15/2002,,,48,0.89,0,0
6/16/2002,,62,49,0.15,0,0
6/17/2002,,69,43,0,0,0
6/18/2002,,76,36,0,0,0
6/19/2002,,82,46,0,0,0
6/20/2002,,83,63,0,0,0
6/21/2002,,77,45,0,0,0
6/22/2002,,76,53,0.04,0,0
6/23/2002,,80,59,0.48,0,0
6/24/2002,,65,56,0.44,0,0
6/25/2002,,88,56,0,0,0
6/26/2002,,83,63,0.1,0,0
6/27/2002,,74,52,0,0,0
6/28/2002,,85,50,0,0,0
6/29/2002,,87,54,0,0,0
6/30/2002,,88,57,0,0,0
7/1/2002,,91,69,0,0,0
7/2/2002,,88,68,0,0,0
7/3/2002,,86,67,0.26,0,0
7/4/2002,,,48,0,0,0
7/5/2002,,74,40,0,0,0
7/6/2002,,83,49,0,0,0
7/7/2002,,86,68,0,0,0
7/8/2002,,83,64,0.99,0,0
7/9/2002,,80,60,0,0,0
7/10/2002,,77,42,0,0,0
7/11/2002,,77,41,0,0,0
7/12/2002,,80,39,0,0,0
7/13/2002,,84,46,0,0,0
7/14/2002,,85,54,0,0,0
7/15/2002,,83,50,0,0,0
7/16/2002,,91,56,0,0,0
7/17/2002,,89,66,0,0,0
7/18/2002,,,58,0,0,0
7/19/2002,,79,44,0,0,0
7/20/2002,,85,50,0,0,0
7/21/2002,,85,64,0.88,0,0
7/22/2002,,83,67,0.01,0,0
7/23/2002,,,47,0,0,0
7/24/2002,,79,42,0,0,0
7/25/2002,,76,47,0.01,0,0
7/26/2002,,79,59,0.3,0,0
7/27/2002,,87,56,0,0,0
7/28/2002,,,66,0,0,0
7/29/2002,,77,61,0.71,0,0
7/30/2002,,87,57,0,0,0
7/31/2002,,90,61,0,0,0
8/1/2002,,78,61,2.25,0,0
8/2/2002,,75,52,0,0,0
8/3/2002,,81,48,0,0,0
8/4/2002,,79,62,0.04,0,0
8/5/2002,,73,50,0,0,0
8/6/2002,,69,43,0,0,0
8/7/2002,,75,40,0,0,0
