Date,AvgTemp,MaxTemp,MinTemp,Precip,Snowfall,SnowDepth
5/1/1998,,74,40,0,0,0
5/2/1998,,68,48,0,0,0
5/3/1998,,65,42,0,0,0
5/4/1998,,69,34,0,0,0
5/5/1998,,77,46,0,0,0
5/6/1998,,64,40,0.11,0,0
5/7/1998,,74,41,0,0,0
5/8/1998,,78,50,0,0,0
5/9/1998,,74,42,0,0,0
5/10/1998,,64,35,0,0,0
5/11/1998,,76,37,0,0,0
5/12/1998,,71,47,0.01,0,0
5/13/1998,,62,52,0.05,0,0
5/14/1998,,68,41,0.01,0,0
5/15/1998,,75,45,0,0,0
5/16/1998,,83,57,0,0,0
5/17/1998,,73,52,0,0,0
5/18/1998,,68,52,0.1,0,0
5/19/1998,,82,50,0.01,0,0
5/20/1998,,84,45,0,0,0
5/21/1998,,58,42,0,0,0
5/22/1998,,54,31,0,0,0
5/23/1998,,67,36,0,0,0
5/24/1998,,73,37,0,0,0
5/25/1998,,78,41,0,0,0
5/26/1998,,73,40,0,0,0
5/27/1998,,68,40,0,0,0
5/28/1998,,80,50,0,0,0
5/29/1998,,78,49,0.04,0,0
5/30/1998,,69,35,0,0,0
5/31/1998,,61,43,1.51,0,0
6/1/1998,,52,30,0.09,0,0
6/2/1998,,55,41,0.55,0,0
6/3/1998,,50,37,0.55,0,0
6/4/1998,,54,38,0,0,0
6/5/1998,,53,33,0,0,0
6/6/1998,,58,44,0,0,0
6/7/1998,,52,44,0,0,0
6/8/1998,,57,39,0,0,0
6/9/1998,,65,37,0,0,0
6/10/1998,,71,40,0,0,0
6/11/1998,,74,54,0,0,0
6/12/1998,,65,57,0.9,0,0
6/13/1998,,60,49,0.4,0,0
6/14/1998,,69,47,0,0,0
6/15/1998,,77,48,0,0,0
6/16/1998,,78,55,0,0,0
6/17/1998,,76,56,0.02,0,0
6/18/1998,,71,52,0,0,0
6/19/1998,,80,58,0,0,0
6/20/1998,,71,54,0.04,0,0
6/21/1998,,84,59,0,0,0
6/22/1998,,81,58,0.11,0,0
6/23/1998,,78,53,0,0,0
6/24/1998,,74,50,0,0,0
6/25/1998,,76,59,0.01,0,0
6/26/1998,,87,63,0.13,0,0
6/27/1998,,74,54,0,0,0
6/28/1998,,83,57,0,0,0
6/29/1998,,78,58,0.11,0,0
6/30/1998,,82,56,0.18,0,0
7/1/1998,,74,46,0,0,0
7/2/1998,,71,45,0,0,0
7/3/1998,,83,55,0,0,0
7/4/1998,,76,55,0,0,0
7/5/1998,,77,46,0,0,0
7/6/1998,,80,56,0.15,0,0
7/7/1998,,65,48,0.02,0,0
7/8/1998,,79,48,0,0,0
7/9/1998,,82,58,0,0,0
7/10/1998,,75,48,0.03,0,0
7/11/1998,,75,46,0,0,0
7/12/1998,,83,58,0.63,0,0
7/13/1998,,76,59,0.6,0,0
7/14/1998,,84,59,0,0,0
7/15/1998,,90,62,0,0,0
7/16/1998,,87,65,0.1,0,0
7/17/1998,,77,54,0,0,0
7/18/1998,,78,47,0,0,0
7/19/1998,,83,56,0,0,0
7/20/1998,,79,56,1.13,0,0
7/21/1998,,85,64,0,0,0
7/22/1998,,85,56,0,0,0
7/23/1998,,75,59,0,0,0
7/24/1998,,68,46,0.06,0,0
7/25/1998,,69,46,0,0,0
7/26/1998,,75,44,0,0,0
7/27/1998,,79,53,0.66,0,0
7/28/1998,,74,54,0,0,0
7/29/1998,,70,58,0.02,0,0
7/30/1998,,73,55,0.03,0,0
7/31/1998,,73,47,0,0,0
8/1/1998,,76,47,0,0,0
8/2/1998,,81,51,0,0,0
8/3/1998,,85,54,0,0,0
8/4/1998,,83,60,0,0,0
8/5/1998,,88,64,0,0,0
8/6/1998,,86,65,0,0,0
8/7/1998,,84,69,0,0,0
8/8/1998,,73,68,0.19,0,0
8/9/1998,,79,69,0.05,0,0
8/10/1998,,85,62,0.5,0,0
8/11/1998,,78,61,0,0,0
8/12/1998,,74,46,0,0,0
8/13/1998,,78,48,0,0,0
8/14/1998,,81,54,0,0,0
8/15/1998,,81,60,0.05,0,0
8/16/1998,,70,46,0,0,0
8/17/1998,,78,50,0.13,0,0
8/18/1998,,78,48,0.14,0,0
8/19/1998,,69,42,0,0,0
8/20/1998,,76,47,0.01,0,0
8/21/1998,,74,61,0.27,0,0
8/22/1998,,78,51,0,0,0
8/23/1998,,75,54,0.49,0,0
8/24/1998,,76,58,0.77,0,0
8/25/1998,,77,60,0,0,0
8/26/1998,,73,55,0.02,0,0
8/27/1998,,81,56,0,0,0
8/28/1998,,83,62,0.11,0,0
8/29/1998,,75,54,0.01,0,0
8/30/1998,,73,49,0.23,0,0
8/31/1998,,72,48,0,0,0
9/1/1998,,72,46,0,0,0
9/2/1998,,78,50,0.14,0,0
9/3/1998,,66,52,0.35,0,0
9/4/1998,,64,48,0.06,0,0
9/5/1998,,71,52,0,0,0
9/6/1998,,84,57,0,0,0
9/7/1998,,73,44,0,0,0
9/8/1998,,64,47,0.15,0,0
9/9/1998,,65,51,0,0,0
9/10/1998,,66,44,0,0,0
9/11/1998,,76,47,0,0,0
9/12/1998,,83,55,0,0,0
9/13/1998,,75,50,0,0,0
9/14/1998,,63,55,0.23,0,0
9/15/1998,,68,58,0.63,0,0
9/16/1998,,73,42,0,0,0
9/17/1998,,72,44,0,0,0
9/18/1998,,72,52,0,0,0
9/19/1998,,79,57,0,0,0
9/20/1998,,77,56,0,0,0
9/21/1998,,76,56,0.12,0,0
9/22/1998,,60,36,0.03,0,0
9/23/1998,,55,34,0.01,0,0
9/24/1998,,62,40,0.23,0,0
9/25/1998,,64,51,0,0,0
9/26/1998,,73,51,0,0,0
9/27/1998,,67,55,0.32,0,0
9/28/1998,,63,40,0,0,0
9/29/1998,,65,,0,0,0
9/30/1998,,61,38,0.13,0,0
10/1/1998,,53,38,0.15,0,0
10/2/1998,,54,38,0.22,0.2,0
10/3/1998,,53,29,0,0,0
10/4/1998,,54,29,0,0,0
10/5/1998,,59,29,0,0,0
10/6/1998,,55,37,0.39,0,0
10/7/1998,,56,49,1.23,0,0
10/8/1998,,60,44,0.06,0,0
10/9/1998,,55,31,0,0,0
10/10/1998,,60,31,0,0,0
10/11/1998,,64,43,0,0,0
10/12/1998,,62,47,0,0,0
10/13/1998,,64,45,0.08,0,0
10/14/1998,,50,37,0.1,0,0
10/15/1998,,50,28,0,0,0
10/16/1998,,53,30,0,0,0
10/17/1998,,62,46,0,0,0
10/18/1998,,71,56,0.17,0,0
10/19/1998,,62,44,0.08,0,0
10/20/1998,,55,42,0.11,0,0
10/21/1998,,46,33,0.05,0,0
10/22/1998,,42,26,0,0,0
10/23/1998,,52,31,0,0,0
10/24/1998,,66,37,0,0,0
10/25/1998,,66,39,0,0,0
10/26/1998,,50,40,0.09,0,0
10/27/1998,,48,40,0.02,0,0
10/28/1998,,61,47,0,0,0
10/29/1998,,54,28,0,0,0
10/30/1998,,50,30,0,0,0
10/31/1998,,53,33,0,0,0
11/1/1998,,51,43,0.01,0,0
11/2/1998,,50,28,0,0,0
11/3/1998,,40,28,0,0,0
11/4/1998,,35,27,0,0,0
11/5/1998,,39,30,0,0,0
11/6/1998,,41,32,0,0,0
11/7/1998,,38,34,0.05,0.1,0
11/8/1998,,43,31,0,0,0
11/9/1998,,43,34,0.02,0,0
11/10/1998,,44,36,0.06,0,0
11/11/1998,,54,36,1.92,0,0
11/12/1998,,41,30,0,0,0
11/13/1998,,35,27,0.05,0.5,0
11/14/1998,,39,28,0,0,0
11/15/1998,,43,32,0.44,0.3,0
11/16/1998,,38,30,0.07,0.7,1
11/17/1998,,35,28,0.06,0.6,0
11/18/1998,,39,29,0.01,0,0
11/19/1998,,43,35,0.28,0,0
11/20/1998,,45,31,0.15,0.4,0
11/21/1998,,35,20,0.05,0.5,0
11/22/1998,,39,20,0,0,0
11/23/1998,,49,34,0,0,0
11/24/1998,,47,37,0.11,0,0
11/25/1998,,41,31,0,0,0
11/26/1998,,43,35,0.12,0,0
11/27/1998,,40,35,0.04,0,0
11/28/1998,,46,29,0,0,0
11/29/1998,,40,32,0,0,0
11/30/1998,,57,39,0.34,0,0
