Date,AvgTemp,MaxTemp,MinTemp,Precip,Snowfall,SnowDepth
12/22/2017,,,,,0.2,6.5
12/23/2017,,,,,3,9.4
12/24/2017,,,,0.09,1.9,10
12/25/2017,,,,,0,10
12/26/2017,,,,0.45,4.4,12.9
12/27/2017,,,,0.3,3.5,14
12/28/2017,,,,0,0,13.5
12/29/2017,,,,0,0,13
12/30/2017,,,,0,0,12.5
12/31/2017,,,,0,0,12
1/1/2018,,,,0.12,1.9,12.5
1/2/2018,,,,0.05,1,13
1/3/2018,,,,0.08,1.4,13.5
1/4/2018,,,,0.04,1.6,13.5
1/5/2018,,,,0,0,13
1/6/2018,,,,0,0,13
1/7/2018,,,,0,0,12.5
1/8/2018,,,,0.22,2.3,14
1/9/2018,,,,0.02,0.1,14
1/10/2018,,,,0,0,14
1/11/2018,,,,0,0,12.5
1/12/2018,,,,0.32,0.1,9.5
1/13/2018,,,,0,0,9
1/14/2018,,,,0.06,1.8,10.5
1/15/2018,,,,0,0,10.5
1/16/2018,,,,0.06,2.4,11
1/17/2018,,,,0,0,11
1/18/2018,,,,0,0,11
1/19/2018,,,,0,0,11
1/20/2018,,,,0,0,10.5
1/21/2018,,,,0,0,9.5
1/22/2018,,,,0,0,9
1/23/2018,,,,0.29,3.2,12
1/24/2018,,,,0.03,0.2,12
1/25/2018,,,,0,0,12
1/26/2018,,,,0.02,0.5,12.5
1/27/2018,,,,0,,11
1/28/2018,,,,0.02,0.2,11
1/29/2018,,,,0,0.1,11
1/30/2018,,,,0.01,0.2,11
1/31/2018,,,,0.07,1.2,12
2/1/2018,,,,0.18,2.3,14
2/2/2018,,,,0.17,1.4,14.5
2/3/2018,,,,0.03,4,14.5
2/4/2018,,,,0.18,1.6,15.5
2/5/2018,,,,0,0,15.5
2/6/2018,,,,0,0.1,15.5
2/7/2018,,,,0,0,15
2/8/2018,,,,0,0.2,15
2/9/2018,,,,0,0,15
2/10/2018,,,,0,0,15
2/11/2018,,,,0,0,15
2/12/2018,,,,0.09,1.6,16.5
2/13/2018,,,,0.03,0.9,17
2/14/2018,,,,0,0,17
