Date,AvgTemp,MaxTemp,MinTemp,Precip,SnowFall,SnowDepth
1/1/1948,,19,2,0,0,12
1/2/1948,,33,11,0,0,11
1/3/1948,,27,9,0,0,10
1/4/1948,,31,22,0.17,3.4,14
1/5/1948,,30,23,0.01,0.3,13
1/6/1948,,31,22,0.09,2.1,14
1/7/1948,,24,11,0,0,14
1/8/1948,,30,22,0.16,2.5,14
1/9/1948,,29,5,0.06,0.7,16
1/10/1948,,25,-1,0.02,0.2,16
1/11/1948,,33,10,0.2,1.9,17
1/12/1948,,33,2,0.13,0.6,16
1/13/1948,,13,-5,0.08,0.9,16
1/14/1948,,4,-15,0,0,17
1/15/1948,,16,-10,0.08,1,17
1/16/1948,,16,-3,0.03,0.3,18
1/17/1948,,2,-14,0,0,18
1/18/1948,,9,-17,0,0,18
1/19/1948,,17,4,0.04,0.9,18
1/20/1948,,29,-1,0.06,0.9,19
1/21/1948,,30,-1,0.04,1.1,20
1/22/1948,,-1,-16,0.01,0.2,20
1/23/1948,,10,-24,0.03,0.5,20
1/24/1948,,17,-1,0,0,20
1/25/1948,,20,,0,0,19
1/26/1948,,17,6,0.11,3.6,20
1/27/1948,,11,-3,0.03,0.5,22
1/28/1948,,21,-2,0.01,0.2,22
1/29/1948,,19,-13,0.01,0.2,22
1/30/1948,,5,-22,0,0,22
1/31/1948,,12,-14,0,0,22
2/1/1948,,24,-6,0.02,0.4,22
2/2/1948,,23,1,0.22,3.4,25
2/3/1948,,10,-9,0,0,25
2/4/1948,,24,-8,0,0.1,25
2/5/1948,,22,6,0.01,0.2,25
2/6/1948,,21,-1,0.03,0.4,25
2/7/1948,,19,,0.08,1.6,27
2/8/1948,,7,-12,0.01,0.2,27
2/9/1948,,8,-11,0.01,0.2,27
2/10/1948,,18,-15,0,0,27
2/11/1948,,25,-2,0,0,26
2/12/1948,,27,5,0,0,24
2/13/1948,,24,4,0.06,1.4,25
2/14/1948,,23,5,0.13,1.7,26
2/15/1948,,17,6,0.06,2.2,28
2/16/1948,,39,16,0,0,24
2/17/1948,,33,24,0.03,0.5,21
2/18/1948,,25,11,0,0,20
2/19/1948,,34,7,0.06,0.6,18
2/20/1948,,11,3,0.13,2.8,21
2/21/1948,,15,-8,0,0.1,21
2/22/1948,,21,3,0,0,20
2/23/1948,,24,2,0,0,19
2/24/1948,,35,20,0.32,0.3,16
2/25/1948,,34,25,0.01,0,15
2/26/1948,,33,24,0.01,0.1,14
2/27/1948,,27,16,0,0,14
2/28/1948,,27,18,0.08,2.3,16
2/29/1948,,21,2,0,0,16
3/1/1948,,20,-12,0,0,16
3/2/1948,,20,-8,0,0,15
3/3/1948,,24,4,0,0,15
3/4/1948,,22,-18,0,0,14
3/5/1948,,29,-21,0,0,13
3/6/1948,,31,-15,0,0,13
3/7/1948,,27,23,0.16,3,15
3/8/1948,,28,10,0.03,0.7,15
3/9/1948,,22,12,0.02,0.5,16
3/10/1948,,20,-11,0,0.1,16
3/11/1948,,16,-28,0,0,16
3/12/1948,,24,-20,0,0,16
3/13/1948,,31,-14,0,0,13
3/14/1948,,45,4,0,0,10
3/15/1948,,36,20,0.08,0,6
3/16/1948,,43,33,0,0,5
3/17/1948,,40,10,0,0,4
3/18/1948,,34,20,0,0,4
3/19/1948,,36,28,0.68,0,2
3/20/1948,,53,28,0,0,2
3/21/1948,,50,32,0,0,1
3/22/1948,,46,32,0,0,0
3/23/1948,,52,20,0,0,0
3/24/1948,,49,27,0,0,0
3/25/1948,,34,24,0,0,0
3/26/1948,,44,29,0.12,0,0
3/27/1948,,37,22,0,0,0
3/28/1948,,35,10,0,0,0
3/29/1948,,33,26,0.39,5.9,5
3/30/1948,,41,9,0,0,3
3/31/1948,,37,24,0.12,0,0
4/1/1948,,40,33,0.12,0,0
4/2/1948,,36,26,0,0,0
4/3/1948,,39,16,0,0,0
4/4/1948,,50,28,0,0,0
4/5/1948,,51,31,0,0,0
4/6/1948,,59,24,0,0,0
4/7/1948,,48,29,0.2,0,0
4/8/1948,,45,28,0.28,0,0
4/9/1948,,31,17,0,0,0
4/10/1948,,47,17,0,0,0
4/11/1948,,45,35,0.4,0,0
4/12/1948,,43,31,0,0,0
4/13/1948,,52,21,0,0,0
4/14/1948,,58,23,0,0,0
4/15/1948,,61,29,0,0,0
4/16/1948,,57,36,0.13,0,0
4/17/1948,,48,20,0,0,0
4/18/1948,,45,34,0,0,0
4/19/1948,,51,36,0.06,0,0
4/20/1948,,45,34,0.15,0,0
4/21/1948,,59,27,0,0,0
4/22/1948,,68,28,0,0,0
4/23/1948,,55,34,0,0,0
4/24/1948,,50,42,0.4,0,0
4/25/1948,,65,45,0,0,0
4/26/1948,,62,50,0.4,0,0
4/27/1948,,58,45,0.01,0,0
4/28/1948,,62,34,0.12,0,0
4/29/1948,,60,37,0,0,0
4/30/1948,,55,36,0,0,0
5/1/1948,,58,35,0,0,0
5/2/1948,,62,35,0,0,0
5/3/1948,,58,37,0,0,0
5/4/1948,,60,36,0,0,0
5/5/1948,,70,37,0.05,0,0
5/6/1948,,49,40,0.91,0,0
5/7/1948,,43,34,0,0,0
5/8/1948,,42,31,0,0,0
5/9/1948,,49,29,0,0,0
5/10/1948,,54,29,0,0,0
5/11/1948,,55,34,0,0,0
5/12/1948,,64,35,0,0,0
5/13/1948,,69,38,0,0,0
5/14/1948,,68,44,0,0,0
5/15/1948,,67,38,0.41,0,0
5/16/1948,,63,45,0.02,0,0
5/17/1948,,61,42,0,0,0
5/18/1948,,56,35,0,0,0
5/19/1948,,57,34,0,0,0
5/20/1948,,71,41,0.05,0,0
5/21/1948,,51,39,0,0,0
5/22/1948,,61,35,0,0,0
5/23/1948,,49,36,0,0,0
5/24/1948,,52,35,0,0,0
5/25/1948,,62,30,0,0,0
5/26/1948,,77,35,0,0,0
5/27/1948,,76,47,0,0,0
5/28/1948,,55,40,0.02,0,0
5/29/1948,,59,34,0,0,0
5/30/1948,,68,35,0,0,0
5/31/1948,,75,39,0,0,0
6/1/1948,,78,45,0,0,0
6/2/1948,,85,46,0,0,0
6/3/1948,,88,50,0,0,0
6/4/1948,,69,50,0.06,0,0
6/5/1948,,58,39,0,0,0
6/6/1948,,75,35,0,0,0
6/7/1948,,61,43,0.1,0,0
6/8/1948,,74,48,0,0,0
6/9/1948,,74,45,0,0,0
6/10/1948,,68,43,0.05,0,0
6/11/1948,,67,42,0,0,0
6/12/1948,,74,59,0,0,0
6/13/1948,,68,44,0,0,0
6/14/1948,,67,39,0,0,0
6/15/1948,,58,39,0,0,0
6/16/1948,,63,40,0,0,0
6/17/1948,,66,39,0,0,0
6/18/1948,,71,41,0,0,0
6/19/1948,,67,42,0,0,0
6/20/1948,,79,39,0,0,0
6/21/1948,,66,47,0,0,0
6/22/1948,,64,55,0.31,0,0
6/23/1948,,81,56,0.08,0,0
6/24/1948,,68,53,0.44,0,0
6/25/1948,,63,45,0,0,0
6/26/1948,,69,45,0,0,0
6/27/1948,,79,55,0,0,0
6/28/1948,,77,54,1.31,0,0
6/29/1948,,78,52,0,0,0
6/30/1948,,64,48,0,0,0
7/1/1948,,70,43,0,0,0
7/2/1948,,74,46,0,0,0
7/3/1948,,76,52,0.01,0,0
7/4/1948,,89,60,0,0,0
7/5/1948,,81,60,0.07,0,0
7/6/1948,,72,54,0,0,0
7/7/1948,,80,51,0,0,0
7/8/1948,,81,51,0,0,0
7/9/1948,,85,58,0.14,0,0
7/10/1948,,90,59,0,0,0
7/11/1948,,86,56,0,0,0
7/12/1948,,79,54,0,0,0
7/13/1948,,78,58,0,0,0
7/14/1948,,76,51,0,0,0
7/15/1948,,83,49,0,0,0
7/16/1948,,79,58,0,0,0
7/17/1948,,82,57,0.35,0,0
7/18/1948,,65,51,0,0,0
7/19/1948,,80,48,0,0,0
7/20/1948,,77,50,0,0,0
7/21/1948,,68,47,0,0,0
7/22/1948,,60,54,0.33,0,0
7/23/1948,,67,53,0.06,0,0
7/24/1948,,70,50,0,0,0
7/25/1948,,77,47,0.23,0,0
7/26/1948,,80,56,0,0,0
7/27/1948,,72,54,0,0,0
7/28/1948,,75,49,0,0,0
7/29/1948,,86,51,0,0,0
7/30/1948,,75,62,0.74,0,0
7/31/1948,,75,57,0.16,0,0
8/1/1948,,63,52,0.01,0,0
8/2/1948,,71,52,0,0,0
8/3/1948,,68,49,0,0,0
8/4/1948,,70,52,0,0,0
8/5/1948,,67,45,0,0,0
8/6/1948,,66,50,0,0,0
8/7/1948,,72,47,0,0,0
8/8/1948,,72,48,0,0,0
8/9/1948,,77,48,0,0,0
8/10/1948,,66,50,1.07,0,0
8/11/1948,,73,58,0.15,0,0
8/12/1948,,65,53,0.12,0,0
8/13/1948,,72,54,0.01,0,0
8/14/1948,,75,53,0,0,0
8/15/1948,,82,54,0,0,0
8/16/1948,,73,54,0.08,0,0
8/17/1948,,75,58,0,0,0
8/18/1948,,66,55,0.12,0,0
8/19/1948,,76,53,0,0,0
8/20/1948,,85,53,0,0,0
8/21/1948,,71,57,0.02,0,0
8/22/1948,,83,63,0,0,0
8/23/1948,,80,58,0,0,0
8/24/1948,,90,69,0.01,0,0
8/25/1948,,90,64,0,0,0
8/26/1948,,92,64,0,0,0
8/27/1948,,93,67,0,0,0
8/28/1948,,82,65,0.17,0,0
8/29/1948,,68,58,0,0,0
8/30/1948,,69,52,0,0,0
8/31/1948,,71,44,0,0,0
9/1/1948,,59,48,0.11,0,0
9/2/1948,,75,54,0.02,0,0
9/3/1948,,81,54,0,0,0
9/4/1948,,86,56,0,0,0
9/5/1948,,88,58,0,0,0
9/6/1948,,83,58,0.33,0,0
9/7/1948,,74,52,1.04,0,0
9/8/1948,,68,49,0.07,0,0
9/9/1948,,67,45,0.27,0,0
9/10/1948,,63,42,0,0,0
9/11/1948,,72,48,0.07,0,0
9/12/1948,,79,50,0,0,0
9/13/1948,,66,52,0,0,0
9/14/1948,,65,46,0,0,0
9/15/1948,,62,52,0.04,0,0
9/16/1948,,64,52,0,0,0
9/17/1948,,79,57,0,0,0
9/18/1948,,76,52,0,0,0
9/19/1948,,70,48,0,0,0
9/20/1948,,67,45,0,0,0
9/21/1948,,58,38,0,0,0
9/22/1948,,61,38,0,0,0
9/23/1948,,66,41,0,0,0
9/24/1948,,68,43,0,0,0
9/25/1948,,72,44,0,0,0
9/26/1948,,70,42,0,0,0
9/27/1948,,71,39,0,0,0
9/28/1948,,75,42,0,0,0
9/29/1948,,78,42,0,0,0
9/30/1948,,65,49,0,0,0
10/1/1948,,67,46,0,0,0
10/2/1948,,57,35,0,0,0
10/3/1948,,60,32,0,0,0
10/4/1948,,64,32,0,0,0
10/5/1948,,60,39,0,0,0
10/6/1948,,63,47,0,0,0
10/7/1948,,65,46,0.02,0,0
10/8/1948,,59,40,0.09,0,0
10/9/1948,,46,40,0.83,0,0
10/10/1948,,45,40,0.77,0,0
10/11/1948,,47,43,0.4,0,0
10/12/1948,,47,42,0.6,0,0
10/13/1948,,54,42,0.05,0,0
10/14/1948,,55,38,0,0,0
10/15/1948,,57,34,0,0,0
10/16/1948,,56,39,0,0,0
10/17/1948,,40,27,0.48,4.6,0
10/18/1948,,37,24,0.11,1.1,2
10/19/1948,,37,32,0.16,1.5,0
10/20/1948,,42,30,0,0,0
10/21/1948,,50,33,0,0,0
10/22/1948,,54,35,0.12,0,0
10/23/1948,,49,31,0.03,0,0
10/24/1948,,52,29,0,0,0
10/25/1948,,55,33,0,0,0
10/26/1948,,54,40,0,0,0
10/27/1948,,62,38,0,0,0
10/28/1948,,60,33,0,0,0
10/29/1948,,47,38,0,0,0
10/30/1948,,49,42,0,0,0
10/31/1948,,52,46,0.02,0,0
11/1/1948,,53,45,0,0,0
11/2/1948,,54,46,0,0,0
11/3/1948,,51,48,0,0,0
11/4/1948,,55,47,0.05,0,0
11/5/1948,,55,51,0.56,0,0
11/6/1948,,56,43,0.52,0,0
11/7/1948,,46,38,0.01,0,0
11/8/1948,,43,32,0.03,0,0
11/9/1948,,48,38,0.67,0,0
11/10/1948,,46,27,0.14,0.3,0
11/11/1948,,39,31,0.24,2.5,0
11/12/1948,,38,28,0.52,3,0
11/13/1948,,35,28,0.26,2.9,4
11/14/1948,,34,21,0.02,0.2,3
11/15/1948,,38,32,0.02,0,0
11/16/1948,,50,30,0.28,0,0
11/17/1948,,46,35,1,0,0
11/18/1948,,39,29,0,0,0
11/19/1948,,37,33,0.05,0,0
11/20/1948,,33,28,0.79,3.3,3
11/21/1948,,32,24,0.02,0.5,3
11/22/1948,,38,31,0,0,2
11/23/1948,,36,31,0.04,0.4,2
11/24/1948,,34,27,0,0,2
11/25/1948,,38,34,0.15,0,1
11/26/1948,,41,36,0.05,0,0
11/27/1948,,38,30,0.03,0,0
11/28/1948,,30,21,0,0,0
11/29/1948,,34,21,0.02,0.5,0
11/30/1948,,34,28,0.15,1.9,2
12/1/1948,,32,22,0.02,0.5,2
12/2/1948,,36,25,0,0,2
12/3/1948,,46,24,0,0,0
12/4/1948,,50,31,0,0,0
12/5/1948,,46,37,0.17,0,0
12/6/1948,,37,23,0.15,1.2,1
12/7/1948,,29,19,0,0,0
12/8/1948,,31,18,0.47,5.9,5
12/9/1948,,29,17,0.29,6.6,9
12/10/1948,,25,9,0.12,2.4,13
12/11/1948,,32,16,0.01,0.2,13
12/12/1948,,37,27,0.01,0.2,11
12/13/1948,,28,23,0,0,10
12/14/1948,,27,15,0.01,0.1,9
12/15/1948,,27,20,0,0,8
12/16/1948,,35,14,0.05,0,7
12/17/1948,,25,13,0.07,1.7,8
12/18/1948,,29,10,0.02,0.3,8
12/19/1948,,26,4,0.01,0.2,8
12/20/1948,,32,26,0.09,1.7,8
12/21/1948,,35,26,0.03,0.4,8
12/22/1948,,32,19,0.05,0.8,9
12/23/1948,,24,6,0.04,0.5,9
12/24/1948,,23,-3,0.06,1.3,10
12/25/1948,,3,-10,0,0,10
12/26/1948,,24,-2,0,0,10
12/27/1948,,27,12,0,0,9
12/28/1948,,32,24,0,0,9
12/29/1948,,32,8,0.04,1,10
12/30/1948,,25,1,0,0,10
12/31/1948,,30,10,0,0,10
1/1/1949,,31,20,0,0,10
1/2/1949,,31,15,0,0,8
1/3/1949,,25,8,0,0,8
1/4/1949,,30,11,0,0,8
1/5/1949,,35,19,0.15,0.2,6
1/6/1949,,35,13,0.1,1.6,7
1/7/1949,,43,33,0.01,0,5
1/8/1949,,40,27,0,0,3
1/9/1949,,36,25,0,0,2
1/10/1949,,25,10,0,0,2
1/11/1949,,21,8,0,0,2
1/12/1949,,26,17,0.09,1.3,3
1/13/1949,,28,22,0.25,3.6,7
1/14/1949,,26,7,0.01,0.1,7
1/15/1949,,35,19,0.41,0,4
1/16/1949,,43,14,0.25,0,1
1/17/1949,,17,5,0,0,1
1/18/1949,,29,17,0.19,2.7,1
1/19/1949,,30,5,0.66,9.8,11
1/20/1949,,9,-5,0.03,0.4,12
1/21/1949,,28,8,0.19,2.9,14
1/22/1949,,26,9,0.03,0.6,15
1/23/1949,,21,6,0.11,1.7,15
1/24/1949,,22,10,0.11,2,19
1/25/1949,,10,-5,0,0,19
1/26/1949,,18,6,0,2.1,20
1/27/1949,,25,12,0.04,0.8,19
1/28/1949,,24,-4,0.37,6.1,23
1/29/1949,,9,-15,0.12,1.6,25
1/30/1949,,20,-6,0,0,24
1/31/1949,,21,6,0.01,1.2,24
2/1/1949,,22,10,0.16,5.4,28
2/2/1949,,16,-2,0.12,2,29
2/3/1949,,22,4,0.11,1.8,29
2/4/1949,,26,16,0.04,1.1,29
2/5/1949,,18,11,0.02,0.8,29
2/6/1949,,30,16,0.18,3.7,30
2/7/1949,,27,11,0.1,2.5,31
2/8/1949,,33,21,0.02,0.3,28
2/9/1949,,26,13,0.01,0.4,29
2/10/1949,,15,5,0.02,0.3,29
2/11/1949,,16,-5,0,0,27
2/12/1949,,42,16,0,0,23
2/13/1949,,30,10,0.05,1.1,23
2/14/1949,,24,7,0,0.8,22
2/15/1949,,29,17,0.3,3.5,25
2/16/1949,,28,11,0.01,0.2,23
2/17/1949,,22,3,0.07,1.4,23
2/18/1949,,44,21,0,0,18
2/19/1949,,22,12,0,0,18
2/20/1949,,20,10,0,0.1,17
2/21/1949,,24,12,0,0,16
2/22/1949,,33,24,0,0,15
2/23/1949,,37,26,0,0,14
2/24/1949,,35,20,0.62,0.1,10
2/25/1949,,21,6,0.02,0.2,10
2/26/1949,,17,-3,0,0,10
2/27/1949,,32,15,0.2,4,13
2/28/1949,,15,1,0.01,0.2,13
3/1/1949,,18,-10,0,0,13
3/2/1949,,27,8,0.01,0.3,13
3/3/1949,,27,4,0,0,13
3/4/1949,,35,25,0.09,0,10
3/5/1949,,37,20,0,0,8
3/6/1949,,20,3,0,0,8
3/7/1949,,33,,0,0.2,8
3/8/1949,,36,13,0.01,0.2,8
3/9/1949,,24,7,0,0.1,8
3/10/1949,,28,8,0,0,8
3/11/1949,,26,9,0,0,8
3/12/1949,,25,13,0,0,8
3/13/1949,,32,16,0,0,8
3/14/1949,,27,15,0.06,0.9,8
3/15/1949,,20,5,0,0,8
3/16/1949,,22,7,0.01,0.3,8
3/17/1949,,24,13,0.02,0.5,9
3/18/1949,,16,1,0,0,9
3/19/1949,,23,-3,0,0,8
3/20/1949,,31,2,0.2,2.7,10
3/21/1949,,36,31,0.05,0,8
3/22/1949,,38,26,0.48,0,6
3/23/1949,,28,22,0,0,6
3/24/1949,,34,23,0,0,6
3/25/1949,,41,33,0.27,0,3
3/26/1949,,47,30,0,0,2
3/27/1949,,39,33,0.45,0,2
3/28/1949,,36,30,0,0,2
3/29/1949,,42,30,0.02,0.3,1
3/30/1949,,44,25,0,0,0
3/31/1949,,45,30,0,0,0
4/1/1949,,36,23,0,0,0
4/2/1949,,43,24,0,0,0
4/3/1949,,46,23,0,0,0
4/4/1949,,55,25,0,0,0
4/5/1949,,51,29,0,0,0
4/6/1949,,48,32,0,0,0
4/7/1949,,39,31,0,0,0
4/8/1949,,39,26,0,0,0
4/9/1949,,39,23,0,0,0
4/10/1949,,52,24,0,0,0
4/11/1949,,62,30,0,0,0
4/12/1949,,66,32,0,0,0
4/13/1949,,54,32,0,0,0
4/14/1949,,42,30,0,0,0
4/15/1949,,36,28,0,0,0
4/16/1949,,37,21,0,0,0
4/17/1949,,46,20,0,0,0
4/18/1949,,55,31,0,0,0
4/19/1949,,53,27,0,0,0
4/20/1949,,55,29,0.07,0,0
4/21/1949,,70,45,0.02,0,0
4/22/1949,,50,40,0.41,0,0
4/23/1949,,47,32,0.02,0,0
4/24/1949,,40,24,0,0,0
4/25/1949,,56,25,0.01,0,0
4/26/1949,,56,36,0.05,0,0
4/27/1949,,51,32,0,0,0
4/28/1949,,54,28,0,0,0
4/29/1949,,69,37,0.02,0,0
4/30/1949,,79,37,0,0,0
5/1/1949,,62,47,0.1,0,0
5/2/1949,,56,45,0.32,0,0
5/3/1949,,78,38,0,0,0
5/4/1949,,77,52,0.07,0,0
5/5/1949,,65,50,1.5,0,0
5/6/1949,,56,45,0.17,0,0
5/7/1949,,60,36,0,0,0
5/8/1949,,69,36,0,0,0
5/9/1949,,53,36,0,0,0
5/10/1949,,47,31,0,0,0
5/11/1949,,52,30,0.05,0,0
5/12/1949,,51,29,0,0,0
5/13/1949,,61,35,0.09,0,0
5/14/1949,,54,38,0,0,0
5/15/1949,,60,38,0,0,0
5/16/1949,,76,36,0,0,0
5/17/1949,,70,46,0.32,0,0
5/18/1949,,79,55,0.57,0,0
5/19/1949,,59,40,0,0,0
5/20/1949,,60,33,0,0,0
5/21/1949,,63,35,0,0,0
5/22/1949,,66,44,0,0,0
5/23/1949,,69,39,0.01,0,0
5/24/1949,,49,36,0,0,0
5/25/1949,,50,36,0,0,0
5/26/1949,,46,36,0,0,0
5/27/1949,,51,33,0,0,0
5/28/1949,,55,32,0,0,0
5/29/1949,,64,34,0,0,0
5/30/1949,,74,38,0,0,0
5/31/1949,,78,42,0,0,0
6/1/1949,,75,44,0,0,0
6/2/1949,,73,52,0.06,0,0
6/3/1949,,81,57,0,0,0
6/4/1949,,72,43,0,0,0
6/5/1949,,66,43,0,0,0
6/6/1949,,58,43,0.03,0,0
6/7/1949,,47,36,0,0,0
6/8/1949,,64,31,0,0,0
6/9/1949,,74,38,0,0,0
6/10/1949,,82,48,0,0,0
6/11/1949,,87,52,0,0,0
6/12/1949,,90,60,0,0,0
6/13/1949,,76,53,0,0,0
6/14/1949,,67,53,0.53,0,0
6/15/1949,,68,49,0.36,0,0
6/16/1949,,73,47,0,0,0
