Year,Date,AvgTemp,MaxTemp,MinTemp,Precip,SnowFall,SnowDepth,Month,Day,Year,month_name
1948,1948-01-01,,19.0,2.0,0.0,0.0,12.0,1,1,1948,January
1949,1949-01-20,,9.0,-5.0,0.03,0.4,12.0,1,20,1949,January
1950,1950-01-18,,26.0,-6.0,0.27,4.3,13.0,1,18,1950,January
1951,1951-01-01,,36.0,23.0,0.0,0.0,19.0,1,1,1951,January
1952,1952-01-25,,27.0,9.0,0.14,2.3,12.0,1,25,1952,January
1953,1953-01-23,,33.0,32.0,0.3,2.5,13.0,1,23,1953,January
1954,1954-01-15,,28.0,20.0,0.03,0.9,12.0,1,15,1954,January
1955,1955-01-26,,17.0,-2.0,0.12,1.4,12.0,1,26,1955,January
1956,1956-01-01,,24.0,12.0,0.0,0.0,17.0,1,1,1956,January
1957,1957-01-01,,10.0,-18.0,0.05,1.0,14.0,1,1,1957,January
1958,1958-01-01,,10.0,4.0,0.02,0.2,17.0,1,1,1958,January
1959,1959-01-01,,33.0,16.0,0.03,0.1,18.0,1,1,1959,January
1960,1960-01-08,,24.0,2.0,0.18,2.3,12.0,1,8,1960,January
1961,1961-01-01,,12.0,-8.0,0.0,0.0,13.0,1,1,1961,January
1962,1962-01-01,,25.0,5.0,0.13,1.9,19.0,1,1,1962,January
1963,1963-01-01,,17.0,1.0,0.0,0.0,13.0,1,1,1963,January
1964,1964-01-01,,26.0,19.0,0.02,0.2,20.0,1,1,1964,January
1965,1965-01-01,,24.0,16.0,0.0,0.0,17.0,1,1,1965,January
1966,1966-01-14,,22.0,-4.0,0.03,0.5,12.0,1,14,1966,January
1967,1967-01-06,,15.0,6.0,0.09,1.0,12.0,1,6,1967,January
1968,1968-01-01,,3.0,-17.0,0.06,1.0,13.0,1,1,1968,January
1969,1969-01-01,,10.0,-17.0,0.12,1.3,22.0,1,1,1969,January
1970,1970-01-12,,23.0,11.0,0.3,6.7,13.0,1,12,1970,January
1971,1971-01-01,,24.0,15.0,0.04,0.5,12.0,1,1,1971,January
1972,1972-01-08,,33.0,7.0,0.01,0.2,12.0,1,8,1972,January
1973,1973-01-01,,28.0,18.0,0.12,2.3,17.0,1,1,1973,January
