,Date,AvgTemp,MaxTemp,MinTemp,Precip,Snowfall,SnowDepth
359,12/25/1948,,3.0,-10.0,0.0,0.0,10.0
724,12/25/1949,,37.0,12.0,0.0,0.0,3.0
1089,12/25/1950,,4.0,-8.0,0.0,0.0,21.0
1454,12/25/1951,,20.0,-10.0,0.0,0.0,12.0
1820,12/25/1952,,33.0,29.0,0.06,0.6,0.0
2185,12/25/1953,,37.0,30.0,0.17,1.3,1.0
2550,12/25/1954,,36.0,15.0,0.01,0.0,3.0
2915,12/25/1955,,30.0,18.0,0.02,0.3,13.0
3281,12/25/1956,,18.0,4.0,0.0,0.0,10.0
3646,12/25/1957,,34.0,19.0,0.42,4.2,1.0
4011,12/25/1958,,13.0,-11.0,0.0,0.0,23.0
4376,12/25/1959,,32.0,20.0,0.01,0.1,4.0
4742,12/25/1960,,26.0,19.0,0.02,0.2,12.0
5107,12/25/1961,,30.0,10.0,0.01,0.1,14.0
5472,12/25/1962,,21.0,11.0,0.21,2.7,9.0
5837,12/25/1963,,27.0,16.0,0.08,2.4,13.0
6203,12/25/1964,,29.0,21.0,0.01,0.2,16.0
6568,12/25/1965,,21.0,7.0,0.0,0.0,5.0
6933,12/25/1966,,16.0,8.0,0.0,0.0,5.0
7298,12/25/1967,,26.0,,0.17,2.2,9.0
7664,12/25/1968,,,-12.0,0.0,0.1,13.0
8029,12/25/1969,,21.0,10.0,0.05,1.0,10.0
8394,12/25/1970,,23.0,14.0,0.19,2.6,14.0
8759,12/25/1971,,24.0,-3.0,0.32,3.7,4.0
9125,12/25/1972,,26.0,16.0,0.22,2.4,9.0
9490,12/25/1973,,35.0,17.0,0.62,3.3,4.0
9855,12/25/1974,,23.0,11.0,0.06,1.0,16.0
10220,12/25/1975,,27.0,22.0,0.05,0.2,3.0
10586,12/25/1976,,26.0,17.0,0.07,1.7,21.0
10951,12/25/1977,,25.0,5.0,0.28,5.9,16.0
11316,12/25/1978,,27.0,18.0,0.06,1.6,21.0
11681,12/25/1979,,29.0,18.0,0.0,0.0,4.0
12047,12/25/1980,,9.0,-25.0,0.01,0.3,28.0
12412,12/25/1981,,25.0,5.0,0.02,0.3,3.0
12777,12/25/1982,,47.0,26.0,0.05,0.0,2.0
13142,12/25/1983,,9.0,-13.0,0.03,1.0,21.0
13508,12/25/1984,,12.0,-3.0,0.07,1.2,10.0
13873,12/25/1985,,2.0,-17.0,0.0,0.0,22.0
14238,12/25/1986,,34.0,32.0,0.04,0.3,6.0
14603,12/25/1987,,32.0,21.0,0.06,1.3,10.0
14969,12/25/1988,,25.0,15.0,0.11,1.9,9.0
15334,12/25/1989,,22.0,-1.0,0.24,4.3,14.0
15699,12/25/1990,,18.0,1.0,0.09,1.4,6.0
16064,12/25/1991,,24.0,2.0,0.0,0.0,8.0
16430,12/25/1992,,25.0,7.0,0.55,8.0,9.0
16795,12/25/1993,,13.0,-23.0,0.2,4.8,8.0
17160,12/25/1994,,43.0,23.0,0.0,0.0,0.0
17525,12/25/1995,,24.0,,0.04,0.6,34.0
17891,12/25/1996,,16.0,-3.0,0.05,0.4,17.0
18256,12/25/1997,,35.0,30.0,0.01,0.2,2.0
18621,12/25/1998,15.0,27.0,3.0,0.0,0.0,8.0
18986,12/25/1999,23.0,32.0,13.0,0.01,0.1,6.0
19352,12/25/2000,5.0,16.0,-6.0,0.0,0.0,14.0
19717,12/25/2001,21.0,24.0,18.0,0.08,3.0,4.0
20082,12/25/2002,23.0,30.0,16.0,0.0,0.6,7.0
20447,12/25/2003,24.0,26.0,21.0,0.1,4.1,13.0
20813,12/25/2004,,8.0,-9.0,0.0,,
21178,12/25/2005,,36.0,29.0,0.0,0.0,10.0
21543,12/25/2006,,35.0,30.0,0.01,0.1,0.0
21908,12/25/2007,,33.0,27.0,0.0,0.0,4.0
22274,12/25/2008,,26.0,15.0,0.05,1.6,18.0
22639,12/25/2009,,36.0,26.0,0.04,0.1,10.0
23004,12/25/2010,,28.0,11.0,0.0,0.0,8.0
23369,12/25/2011,,35.0,21.0,0.07,0.6,2.0
23735,12/25/2012,,26.0,19.0,0.0,0.1,10.0
24100,12/25/2013,10.0,20.0,-2.0,0.19,2.9,14.2
24465,12/25/2014,35.0,37.0,33.0,0.02,0.1,9.8
24830,12/25/2015,33.0,36.0,31.0,0.0,0.0,0.0
25196,12/25/2016,21.0,28.0,12.0,0.01,0.0,9.8
25561,12/25/2017,16.0,20.0,3.0,0.22,3.7,9.8
25926,12/25/2018,26.0,28.0,20.0,0.01,0.1,5.9
26291,12/25/2019,33.0,35.0,32.0,0.0,0.0,9.1
26657,12/25/2020,19.0,21.0,15.0,0.0,0.5,3.9
27022,12/25/2021,36.0,39.0,31.0,0.0,0.0,7.1
