,Date,AvgTemp,MaxTemp,MinTemp,Precip,SnowFall,SnowDepth,Month,Day,Year,month_name
0,1948-01-01,,19.0,2.0,0.0,0.0,12.0,1,1,1948,January
1,1948-01-02,,33.0,11.0,0.0,0.0,11.0,1,2,1948,January
2,1948-01-03,,27.0,9.0,0.0,0.0,10.0,1,3,1948,January
3,1948-01-04,,31.0,22.0,0.17,3.4,14.0,1,4,1948,January
4,1948-01-05,,30.0,23.0,0.01,0.3,13.0,1,5,1948,January
5,1948-01-06,,31.0,22.0,0.09,2.1,14.0,1,6,1948,January
6,1948-01-07,,24.0,11.0,0.0,0.0,14.0,1,7,1948,January
7,1948-01-08,,30.0,22.0,0.16,2.5,14.0,1,8,1948,January
8,1948-01-09,,29.0,5.0,0.06,0.7,16.0,1,9,1948,January
9,1948-01-10,,25.0,-1.0,0.02,0.2,16.0,1,10,1948,January
10,1948-01-11,,33.0,10.0,0.2,1.9,17.0,1,11,1948,January
11,1948-01-12,,33.0,2.0,0.13,0.6,16.0,1,12,1948,January
12,1948-01-13,,13.0,-5.0,0.08,0.9,16.0,1,13,1948,January
13,1948-01-14,,4.0,-15.0,0.0,0.0,17.0,1,14,1948,January
14,1948-01-15,,16.0,-10.0,0.08,1.0,17.0,1,15,1948,January
15,1948-01-16,,16.0,-3.0,0.03,0.3,18.0,1,16,1948,January
16,1948-01-17,,2.0,-14.0,0.0,0.0,18.0,1,17,1948,January
17,1948-01-18,,9.0,-17.0,0.0,0.0,18.0,1,18,1948,January
18,1948-01-19,,17.0,4.0,0.04,0.9,18.0,1,19,1948,January
19,1948-01-20,,29.0,-1.0,0.06,0.9,19.0,1,20,1948,January
20,1948-01-21,,30.0,-1.0,0.04,1.1,20.0,1,21,1948,January
21,1948-01-22,,-1.0,-16.0,0.01,0.2,20.0,1,22,1948,January
22,1948-01-23,,10.0,-24.0,0.03,0.5,20.0,1,23,1948,January
23,1948-01-24,,17.0,-1.0,0.0,0.0,20.0,1,24,1948,January
24,1948-01-25,,20.0,,0.0,0.0,19.0,1,25,1948,January
25,1948-01-26,,17.0,6.0,0.11,3.6,20.0,1,26,1948,January
26,1948-01-27,,11.0,-3.0,0.03,0.5,22.0,1,27,1948,January
27,1948-01-28,,21.0,-2.0,0.01,0.2,22.0,1,28,1948,January
28,1948-01-29,,19.0,-13.0,0.01,0.2,22.0,1,29,1948,January
29,1948-01-30,,5.0,-22.0,0.0,0.0,22.0,1,30,1948,January
30,1948-01-31,,12.0,-14.0,0.0,0.0,22.0,1,31,1948,January
