filename,path,extension,size,mime_type,modified_date
ds-video-catalog.csv,ds-video-catalog.csv,csv,58906,text/csv,2023-05-15 18:01:33
ds-datasets.csv,ds-datasets.csv,csv,75844,text/csv,2023-05-27 07:30:58
ds-jupyter-notebooks.csv,ds-jupyter-notebooks.csv,csv,99403,text/csv,2023-05-27 07:31:14
DS-Students.csv,DS108-Databases/NoSQL/Data/DS-Students.csv,csv,12452,text/csv,2021-11-18 13:17:16
addresses.csv,DS108-Databases/SQL/Workshops/Week-2/08-Export-to-CSV/addresses.csv,csv,52009,text/csv,2021-12-03 16:18:53
staff.csv,DS108-Databases/SQL/Workshops/Week-2/08-Export-to-CSV/staff.csv,csv,309,text/csv,2021-12-03 16:23:44
actor.csv,DS108-Databases/SQL/Workshops/Week-2/08-Export-to-CSV/actor.csv,csv,8033,text/csv,2021-12-03 16:19:53
film.csv,DS108-Databases/SQL/Workshops/Week-2/08-Export-to-CSV/film.csv,csv,203420,text/csv,2021-12-03 16:21:18
film_category.csv,DS108-Databases/SQL/Workshops/Week-2/08-Export-to-CSV/film_category.csv,csv,28348,text/csv,2021-12-03 16:21:50
customer.csv,DS108-Databases/SQL/Workshops/Week-2/08-Export-to-CSV/customer.csv,csv,61425,text/csv,2021-12-03 16:20:59
language.csv,DS108-Databases/SQL/Workshops/Week-2/08-Export-to-CSV/language.csv,csv,221,text/csv,2021-12-03 16:22:41
film_actor.csv,DS108-Databases/SQL/Workshops/Week-2/08-Export-to-CSV/film_actor.csv,csv,28696,text/csv,2021-12-03 16:21:33
city.csv,DS108-Databases/SQL/Workshops/Week-2/08-Export-to-CSV/city.csv,csv,23177,text/csv,2021-12-03 16:20:26
country.csv,DS108-Databases/SQL/Workshops/Week-2/08-Export-to-CSV/country.csv,csv,3884,text/csv,2021-12-03 16:20:41
payment.csv,DS108-Databases/SQL/Workshops/Week-2/08-Export-to-CSV/payment.csv,csv,63022,text/csv,2021-12-03 16:23:15
film_text.csv,DS108-Databases/SQL/Workshops/Week-2/08-Export-to-CSV/film_text.csv,csv,117996,text/csv,2021-12-03 16:22:09
category.csv,DS108-Databases/SQL/Workshops/Week-2/08-Export-to-CSV/category.csv,csv,539,text/csv,2021-12-03 16:20:09
rental.csv,DS108-Databases/SQL/Workshops/Week-2/08-Export-to-CSV/rental.csv,csv,80552,text/csv,2021-12-03 16:23:29
store.csv,DS108-Databases/SQL/Workshops/Week-2/08-Export-to-CSV/store.csv,csv,105,text/csv,2021-12-03 16:23:58
inventory.csv,DS108-Databases/SQL/Workshops/Week-2/08-Export-to-CSV/inventory.csv,csv,31440,text/csv,2021-12-03 16:22:24
Grades071122C.csv,DS108-Databases/SQL/Data/Grades071122C.csv,csv,28579,text/csv,2023-01-19 17:21:25
Grades071122B.csv,DS108-Databases/SQL/Data/Grades071122B.csv,csv,53121,text/csv,2023-01-19 17:21:25
Grades071122A.csv,DS108-Databases/SQL/Data/Grades071122A.csv,csv,196655,text/csv,2023-01-19 17:21:25
EmployeeAttrition.csv,DS102-Statistical-Programming-in-R/Workshops/Week-3/06-tTests/EmployeeAttrition.csv,csv,227974,text/csv,2021-10-08 20:58:33
top10s.csv,DS102-Statistical-Programming-in-R/Workshops/Week-3/09-FinalProjectR/top10s.csv,csv,48986,text/csv,2021-10-08 20:58:33
top10s.csv,DS102-Statistical-Programming-in-R/Workshops/Week-3/07-DataExplorationR/top10s.csv,csv,48986,text/csv,2021-10-08 20:58:33
student-mat.csv,DS102-Statistical-Programming-in-R/Workshops/Week-2/05-AnatomyDpylr/student-mat.csv,csv,42379,text/csv,2021-10-08 20:58:33
student-mat.csv,DS102-Statistical-Programming-in-R/Workshops/Week-2/04-AnatomyGGplot/student-mat.csv,csv,42379,text/csv,2021-10-08 20:58:33
